콘텐츠명,평일오픈시간,평일클로즈시간,주말오픈시간,주말클로즈시간,휴식시작시간,휴식종료시간,난이도,장애인주차구역,장애인엘레베이터,장애인화장실,장애인화장실유효공간,장애인관람석및열람석,영유아돌봄시설,안내소접근가능여부,기타시설
공천포,,,,,,,,,,,,,,,
제주민속촌,8:30,17:00,8:30,17:00,,,1,y,,y,y,,n,y,"휠체어, 유모차,"
제주빅볼랜드,9:30,18:30,9:30,18:30,,,,,,,,,,,
마오름(맞보기)(안덕),,,,,,,,,,,,,,,
"과오름(큰오름, 샛오름, 말젯오름)",,,,,,,,,,,,,,,
제주월드21(철거),15:30,22:30,12:20,22:30,,,,,,,,,,,
신양해안도로,,,,,,,,,,,,,,,
너븐숭이 4.3기념관,9:00,16:00,9:00,16:00,,,1,y,y,y,y,y,y,y,"휠체어, 유모차, "
백약이오름,,,,,,,,,,,,,,,
디스커버제주,11:00,15:00,11:00,15:00,,,,,,,,,,,
"광이오름 (괭이오름, 肝列岳)",,,,,,,,,,,,,,,
오름터 민속마을,,,,,,,,,,,,,,,
제주승마공원,9:00,18:00,9:00,18:00,,,,,,,,,,,
제주실탄사격장,10:00,18:30,10:00,18:30,,,,,,,,,,,
서귀포 축구공원,,,,,,,,,,,,,,,
제주카약,,,,,,,,,,,,,,,
클럽나인브릿지,7:00,22:00,7:00,22:00,,,,,,,,,,,
서귀포시립기당미술관,9:00,18:00,9:00,18:00,,,,,,,,,,,
서건도,,,,,,,,,,,,,,,
새신오름(신서악),,,,,,,,,,,,,,,
묵리처녀당,,,,,,,,,,,,,,,
법화사지,,,,,,,,,,,,,,,
보롬왓,9:00,18:00,9:00,18:00,,,,,,,,,,,
제주프린지페스티벌,,,,,,,,,,,,,,,
귀빈사,,,,,,,,,,,,,,,
스쿠버스쿨,,,,,,,,,,,,,,,
쇠소깍제트,9:00,18:00,9:00,18:00,,,,,,,,,,,
수악 (물오름),,,,,,,,,,,,,,,
타보카 월정리투명카약,9:00,18:00,9:00,18:00,,,,,,,,,,,
신양포구,,,,,,,,,,,,,,,
지포뮤지엄,10:00,18:00,10:00,18:00,,,,,,,,,,,
"방주오름 (방지오름, 방제오름)",,,,,,,,,,,,,,,
천지연폭포,9:00,22:00,9:00,22:00,,,2,y,n,y,y,n,n,y,"휠체어, 유모차"
쌍용굴(한림공원),8:30,18:00,8:30,18:00,,,,,,,,,,,
쉬리의언덕,,,,,,,,,,,,,,,
시민축구장,,,,,,,,,,,,,,,
제주돌마을공원,9:00,18:00,9:00,18:00,,,,,,,,,,,
삼매봉,,,,,,,,,,,,,,,
삼사석,,,,,,,,,,,,,,,
제주월드컵경기장,6:00,22:00,6:00,22:00,,,,,,,,,,,
안돌오름,,,,,,,,,,,,,,,
붉은오름(표선면),,,,,,,,,,,,,,,
제주베니스랜드,9:00,18:00,9:00,18:00,,,3,y,n,y,y,,n,y,휠체어
추사 유배길 - 2코스 인연의 길,,,,,,,,,,,,,,,
붉은오름 자연휴양림,8:00,17:00,8:00,17:00,,,3,y,y,y,y,,n,n,"휠체어, 유모차,"
서귀포자연휴양림,9:00,18:00,9:00,18:00,,,2,y,,y,y,,n,n,"휠체어, 유모차"
엉알해안,,,,,,,,,,,,,,,
비양도,9:20,15:36,,,,,,,,,,,,,
산세미오름 (삼산이오름),,,,,,,,,,,,,,,
한라산영실코스,,,,,,,,,,,,,,,
강창학 종합경기장,,,,,,,,,,,,,,,
민오름(조천읍),,,,,,,,,,,,,,,
그랑블루호(선상낚시),9:00,22:00,9:00,22:00,,,,,,,,,,,
비자림,9:00,18:00,8:00,18:00,,,2,n,,y,y,,n,y,"휠체어, 유모차"
삼각봉,,,,,,,,,,,,,,,
김만덕객주,,,,,,,1,y,n,n,n,n,n,y,-
마원,9:00,18:00,9:00,18:00,,,,,,,,,,,
법정악(법정이),,,,,,,,,,,,,,,
고내리포구,,,,,,,,,,,,,,,
빌레못동굴,,,,,,,,,,,,,,,
