"여행일정ID","언어코드","제목","조회수","공유수","여행시작일","여행종료일","인원","여행기간","태그","등록일시","수정일시","추천일정등록여부","공개여부","댓글수","댓글수_1","북마크수","사용여부","SNS공유수","인기점수"
"1492","KR","1",0,0,17/05/30,17/06/03,1,4,"혼자,휴식과 치유 여행",17/05/14,18/04/13,"n","N",0,0,0,"y",0,
"1522","KR","6월 혼행인듯 아닌듯",0,0,17/06/09,17/06/11,1,2,"혼자,휴식과 치유 여행",17/05/23,18/04/13,"n","N",0,0,0,"y",0,
"1700","KR","ㄱㄱ",1,0,17/07/06,17/07/08,1,2,"혼자,휴식과 치유 여행",17/07/05,19/07/21,"n","N",0,0,0,"y",0,2
"1708","KR","ㅗㅓ",0,0,17/07/25,17/07/27,1,2,"혼자,휴식과 치유 여행",17/07/08,18/04/13,"n","N",0,0,0,"y",0,
"1770","KR","제주도",0,0,17/08/23,17/08/26,1,3,"혼자,휴식과 치유 여행",17/07/20,18/04/13,"n","N",0,0,0,"y",0,
"1804","KR","2017 여름",0,0,17/08/04,17/08/07,1,3,"혼자,휴식과 치유 여행",17/07/28,18/04/13,"n","N",0,0,0,"y",0,
"1863","KR","독고다이",2,0,17/09/07,17/09/11,1,4,"혼자,휴식과 치유 여행",17/08/09,20/05/31,"n","Y",0,0,0,"y",0,4
"1985","KR","진호와 한슬이의 1000일 기념 제주도 여행 ♥",0,0,17/09/04,17/09/07,1,3,"혼자,휴식과 치유 여행",17/09/02,18/04/13,"n","Y",0,0,0,"y",0,
"2049","KR","1",0,0,17/09/11,17/09/12,1,1,"혼자,휴식과 치유 여행",17/09/09,18/04/13,"n","N",0,0,0,"y",0,
"2204","KR","효도여행",0,0,17/10/15,17/10/17,1,2,"혼자,휴식과 치유 여행",17/10/12,18/04/13,"n","N",0,0,0,"y",0,
"2247","KR","팔순 노부모님과 중년의 두 딸 부부가 함께하는 죽기전 소원 들어주기 두 번째 제주도 여행",0,0,17/10/20,17/10/22,1,2,"혼자,휴식과 치유 여행",17/10/18,18/04/13,"n","N",0,0,0,"y",0,
"2255","KR","2017 여의도순복음총회신학교 졸업여행 일정 1안",0,0,17/10/26,17/10/27,1,1,"혼자,휴식과 치유 여행",17/10/20,18/04/13,"n","N",0,0,0,"y",0,
"1852","KR","제주도 2박3일 여행",0,0,17/08/09,17/08/11,1,2,"혼자,휴식과 치유 여행",17/08/05,18/04/13,"n","Y",0,0,0,"y",0,
"1864","KR","하나",0,0,17/09/10,17/09/13,1,3,"혼자,휴식과 치유 여행",17/08/10,18/04/13,"n","N",0,0,0,"y",0,
"1946","KR","dd",0,0,17/09/12,17/09/13,1,1,"혼자,휴식과 치유 여행",17/08/28,18/04/13,"n","N",0,0,0,"y",0,
"1966","KR","가족여행",1,0,17/09/01,17/09/03,1,2,"혼자,휴식과 치유 여행",17/08/29,18/06/06,"n","Y",0,0,0,"y",0,2
"2121","KR","가족여행",0,0,17/10/06,17/10/09,1,3,"혼자,휴식과 치유 여행",17/09/24,18/04/13,"n","N",0,0,0,"y",0,
"2136","KR","우리여행",0,0,17/10/01,17/10/05,1,4,"혼자,휴식과 치유 여행",17/09/28,18/04/13,"n","N",0,0,0,"y",0,
"2257","KR","#thejosgojeju2018",0,0,18/03/06,18/03/10,1,4,"혼자,휴식과 치유 여행",17/10/21,18/04/13,"n","Y",0,0,0,"y",0,
"1707","KR","몽쿠들의 제주도 여행",0,0,17/07/10,17/07/13,1,3,"혼자,휴식과 치유 여행",17/07/07,18/04/13,"n","N",0,0,0,"y",0,
"1799","KR","미란이네 가족여행",0,0,17/08/01,17/08/04,1,3,"혼자,휴식과 치유 여행",17/07/27,18/04/13,"n","Y",0,0,0,"y",0,
"1868","KR","남자 넷이서 2박3일 제주도한바퀴 동-서부",0,0,17/08/29,17/08/31,1,2,"혼자,휴식과 치유 여행",17/08/11,18/04/13,"n","Y",0,0,0,"y",0,
"1876","KR","어머니 칠순기념 여행",0,0,17/08/20,17/08/22,1,2,"혼자,휴식과 치유 여행",17/08/16,18/04/13,"n","Y",0,0,0,"y",0,
"1924","KR","신혼^^",0,0,17/09/10,17/09/11,1,1,"혼자,휴식과 치유 여행",17/08/23,18/04/13,"n","N",0,0,0,"y",0,
"1969","kr","켄싱턴리조트",2,0,17/09/25,17/09/27,7,3,"휴식과 치유 여행,부모,효도",17/08/29,18/12/18,"n","y",0,0,0,"y",0,4
"1981","KR","제주한바퀴(해안도로 중심)",0,0,17/09/07,17/09/08,1,1,"혼자,휴식과 치유 여행",17/09/01,18/04/13,"n","N",0,0,0,"y",0,
"2020","KR","지우선우",0,0,17/09/09,17/09/12,1,3,"혼자,휴식과 치유 여행",17/09/08,18/04/13,"n","N",0,0,0,"y",0,
"2025","KR","9월9일 여행",0,0,17/09/09,17/09/10,1,1,"혼자,휴식과 치유 여행",17/09/08,18/04/13,"n","Y",0,0,0,"y",0,
"2074","KR","떠나요! 제주도!",0,0,17/09/16,17/09/19,1,3,"혼자,휴식과 치유 여행",17/09/12,18/04/13,"n","Y",0,0,0,"y",0,
"2117","KR","제주여행",1,0,17/09/25,17/09/26,1,1,"혼자,휴식과 치유 여행",17/09/21,18/05/30,"n","Y",0,0,0,"y",0,2
"2129","KR","asd",1,0,17/10/01,17/10/04,1,3,"혼자,휴식과 치유 여행",17/09/26,19/03/18,"n","N",0,0,0,"n",0,2
"1813","KR","제주도 여행",0,0,17/08/01,17/08/03,1,2,"혼자,휴식과 치유 여행",17/07/31,18/04/13,"n","N",0,0,0,"y",0,
"1819","KR","2017여름",0,0,17/08/31,17/09/03,1,3,"혼자,휴식과 치유 여행",17/08/01,18/04/13,"n","N",0,0,0,"y",0,
"1778","KR","첫제주도",0,0,17/07/24,17/07/26,1,2,"혼자,휴식과 치유 여행",17/07/21,18/04/13,"n","Y",0,0,0,"y",0,
"1789","KR","1일 핫스팟 여행",1,0,17/07/26,17/07/27,1,1,"혼자,휴식과 치유 여행",17/07/25,18/05/21,"n","Y",0,0,0,"y",0,2
"1820","KR","2017-8월 제주여행",0,0,17/08/21,17/08/23,1,2,"혼자,휴식과 치유 여행",17/08/01,18/04/13,"n","N",0,0,0,"y",0,
