"이벤트ID","관련콘텐츠명","이벤트내용","이벤트시작일시","이벤트종료일시","이벤트상시진행여부","링크URL"
137,"선우스타일","흑백사진촬영시 드레스대여 원하시면 1만원에 대여가능(예약제), 야외스냅촬영시 웨딩,만삭드레스 무료대여",00/01/01,99/12/31,"y","http://www.sunwoost.com"
142,"뜨레향 펜션","친환경 감귤밭에서 감귤체험 (유료)행사합니다",18/11/26,18/12/30,"n",""
144,"코즈게스트하우스","제주도 인증 깨끗하고 안전한 숙소 지정 기념 특별할인 / 숙박요금 할인, 연박할인, 당일예약할인 등",18/11/01,18/12/31,"n","https://m.store.naver.com/accommodations/detail?id=1494577199"
160,"랜딩 다이닝(Landing dining)","랜딩 다이닝 봄 디너 프로모션 ?  성인 : 60,000원 ㅣ 소인: 35,000원 (월~목 한정)",19/03/04,19/03/28,"n","https://www.shinhwaworld.com/promotions.php?pmid=485&date=2019/3/1&url_lang=ko_KR"
159,"제주돌문화공원","「2019 설문대할망 페스티벌」 행사 기간(19. 5. 1. 수 ~ 5. 31. 금 ) 동안 무료입장",19/05/01,19/05/31,"n","http://www.jeju.go.kr/jejustonepark/index.htm"
157,"데판야","발렌타인 디너 / 데판야만의 특별한 철판 코스 디너(2/13 ~ 2/17)]",19/02/13,19/02/17,"n","https://www.shinhwaworld.com/promotions.php?pmid=459&date=2019/2/1&url_lang=ko_KR"
158,"르 쉬느아 (Le Chinois)","[발렌타인 디너 / 맛과 건강함 모두 살린 디너(2월 14일)]",19/02/14,19/02/14,"n","https://www.shinhwaworld.com/promotions.php?pmid=461&date=2019/2/1&url_lang=ko_KR"
155,"디 아일렛 라운지","달콤한 초콜릿의 모든 것, 뚜슐레 쇼콜라 초콜릿 뷔페 2+1 할인",19/02/01,19/02/24,"n","https://www.shinhwaworld.com/promotions.php?pmid=437&date=2019/2/1&url_lang=ko_KR"
171,"제주어울림감귤체험농장"," 노지 조생 감귤 따기 체험",21/10/14,22/02/28,"n",""
156,"스카이 온 파이브 다이닝 ","[발렌타인 디너 / 로맨틱 뷰를 보며 누리는 4코스 디너(2/13 ~ 2/17)]",19/02/13,19/02/17,"n","https://www.shinhwaworld.com/promotions.php?pmid=460&date=2019/2/1&url_lang=ko_KR"
140,"솔로게스트하우스 앤 두루두루펜션","리뉴얼 오픈기념 숙박비 대할인 행사! 숙박비 50% 할인중",18/09/10,18/09/30,"n","https://booking.naver.com/booking/5/bizes/182506?area=pll"
143,"월정플레이스","연박할인",00/01/01,99/12/31,"y",""
