"콘텐츠명","추천인ID","생성일"
"소암현중화기념관","USR_00000001012",16/07/07
"제주민속오일시장","USR_00000001181",16/07/07
"제주빅볼랜드","USR_00000001181",16/07/07
"가이아호텔","USR_00000000387",16/07/08
"갓전시관[임시휴관중]","USR_00000000387",16/07/08
"핀크스 골프클럽","USR_00000000387",16/07/08
"밝은오름","USR_00000001181",16/07/07
"서귀포 궁도장(천지정)","USR_00000000387",16/07/08
"건강과성박물관","USR_00000000387",16/07/08
"한림민속오일시장","USR_00000000387",16/07/08
"아라고나이트 온천(디아넥스호텔)","USR_00000000387",16/07/08
"우도(해양도립공원)","USR_00000000387",16/07/11
"제주 카카오캠핑","USR_00000001279",16/07/12
"제주보성시장","USR_00000001307",16/07/12
"제주국제컨벤션센터 icc","USR_00000000387",16/07/12
"재밋섬파크","USR_00000000387",16/07/12
"삼다도횟집","USR_00000000396",16/07/13
"새끼오름 (샛기오름)","USR_00000001267",16/07/13
"해오름정육식당","USR_00000001267",16/07/13
"메모리 인 제주 펜션","USR_00000000001",16/07/13
"제주관광공사 시내면세점(외국인)","USR_00000000408",16/07/15
"제주관광공사 중문면세점 (내국인)","USR_00000001522",16/07/15
"제주관광공사 시내면세점(외국인)","USR_00000001522",16/07/15
"제주관광공사 시내면세점(외국인)","USR_00000001523",16/07/15
"제주관광공사 중문면세점 (내국인)","USR_00000001343",16/07/15
"제주관광공사 시내면세점(외국인)","USR_00000001257",16/07/15
"제주관광공사 시내면세점(외국인)","USR_00000000396",16/07/15
"제주관광공사 시내면세점(외국인)","USR_00000001526",16/07/15
"제주관광공사 중문면세점 (내국인)","USR_00000001526",16/07/15
"삼양해수욕장","USR_00000000789",16/07/15
"삼양해수욕장","USR_00000000370",16/07/15
"이어도식당","USR_00000001175",16/07/20
"이어도식당","USR_00000001748",16/07/20
"이호테우해수욕장_old","USR_00000001350",16/08/02
"가이아호텔","USR_00000000001",16/09/21
"한라승마장","USR_00000002705",16/10/17
"화순금모래해수욕장담수수영장","USR_00000002705",16/10/17
"한라산국립공원","USR_00000001169",16/10/24
"방일봉 (방일이동산)","USR_00000000001",16/11/16
"제주 카카오캠핑","USR_00000000001",16/11/16
"월정리해변","USR_00000006220",16/11/30
"협재해수욕장","USR_00000001257",16/12/24
"성산·오조 지질트레일","USR_00000002317",16/12/26
"김녕금속공예벽화마을","USR_00000001258",16/12/26
"김녕 지질트레일","USR_00000002317",16/12/27
"카멜리아힐","USR_00000008928",16/12/27
"용연","USR_00000002303",16/12/27
"해비치호텔앤드리조트","USR_00000002303",16/12/27
"두 발이 닿는 곳은 어디든지 <송악산 둘레길과 올레길 걷기 >","USR_00000006219",16/12/27
"한라산국립공원","USR_00000008928",16/12/27
"제주돌문화공원","USR_00000008928",16/12/27
"제주불교성지 순례길 절로 가는길 - 보시의 길","USR_00000008987",16/12/28
"제주불교성지 순례길 절로가는길 - 선정의 길","USR_00000008987",16/12/28
"우도소라축제","USR_00000008987",16/12/28
"제주김녕미로공원","USR_00000009021",16/12/28
"헤이브라더","USR_00000001258",16/12/29
"젠하이드어웨이","USR_00000001258",16/12/29
"우도(해양도립공원)","USR_00000001258",16/12/29
"카멜리아힐","USR_00000001258",16/12/29
"아이비테라스","USR_00000009071",16/12/29
"아이비테라스","USR_00000009083",16/12/29
"아이비테라스","USR_00000009123",16/12/30
"언제나 아름다운 제주?<1월에 더 반짝이는 제주>","USR_00000002317",17/01/03
"제주관광공사 중문면세점 (내국인)","USR_00000002303",17/01/06
"제주항공우주박물관","USR_00000009713",17/01/09
"언제나 아름다운 제주?<1월에 더 반짝이는 제주>","USR_00000009714",17/01/09
"제주김녕미로공원","USR_00000009728",17/01/09
"제주김녕미로공원","USR_00000009732",17/01/09
"제주관광공사 시내면세점(외국인)","USR_00000001991",17/01/12
"메이즈랜드","USR_00000009900",17/01/14
"2017~18 한국관광 100선에 선정된 <제주가 품은 한국의 대표 관광지 12>","USR_00000002317",17/01/17
"꽃하루방게스트하우스","USR_00000010302",17/01/23
"2017~18 한국관광 100선에 선정된 <제주가 품은 한국의 대표 관광지 12>","USR_00000007933",17/01/24
"언제나 아름다운 제주?<1월에 더 반짝이는 제주>","USR_00000007933",17/01/24
"2월 제주 관광 추천 <신들과 함께 봄맞을 채비를 하는 제주>","USR_00000007933",17/01/24
"봄날카페","USR_00000010317",17/01/25
"제주하이킹 INN(구덕게스트하우스)","USR_00000010392",17/01/26
"갤러리앤카페고팡","USR_00000010572",17/02/05
"플레이케이팝","USR_00000010587",17/02/06
"천지연폭포","USR_00000008579",17/02/07
"제주하나호텔","USR_00000010617",17/02/08
"이호테우해수욕장_old","USR_00000002048",17/02/08
"제주김만복(만복이네김밥집)","USR_00000010641",17/02/08
"한라산국립공원","USR_00000010641",17/02/08
"이호테우해수욕장_old","USR_00000010641",17/02/08
"용두암","USR_00000010641",17/02/08
"델문도","USR_00000010641",17/02/08
"카페공작소","USR_00000010641",17/02/08
"명진전복","USR_00000010641",17/02/08
"한라산국립공원","USR_00000010682",17/02/10
"2017~18 한국관광 100선에 선정된 <제주가 품은 한국의 대표 관광지 12>","USR_00000010687",17/02/10
"어머, 이런 음식 처음이야 <제주 이색 푸드트립>","USR_00000013805",17/05/28
"명진전복","USR_00000013823",17/05/28
"연미정","USR_00000013823",17/05/28
"구좌상회","USR_00000013823",17/05/28
"붉은제주","USR_00000013823",17/05/28
"수두리보말칼국수","USR_00000013823",17/05/28
"골목집갈치와고등어","USR_00000013823",17/05/28
"쇠소깍","USR_00000013823",17/05/28
"외돌개","USR_00000013823",17/05/28
"제주민속촌","USR_00000013823",17/05/28
"성읍마을","USR_00000013823",17/05/28
"차귀도","USR_00000001012",16/07/07
"1080칼국수","USR_00000001012",16/07/07
"섭지코지","USR_00000013823",17/05/28
"월정리해변","USR_00000013823",17/05/28
"비자림","USR_00000013823",17/05/28
"동문재래시장","USR_00000013823",17/05/28
"애월해안도로","USR_00000013823",17/05/28
"리치망고","USR_00000013823",17/05/28
"피어22","USR_00000013823",17/05/28
"덕승식당(구관)","USR_00000013823",17/05/28
"옥돔식당 ","USR_00000013823",17/05/28
"제주김만복(만복이네김밥집)","USR_00000013823",17/05/28
"돈사돈","USR_00000013823",17/05/28
"바다동굴","USR_00000013848",17/05/29
"제주오성","USR_00000013823",17/05/29
"마레보 리조트","USR_00000014453",17/06/07
"우도(해양도립공원)","USR_00000014046",17/06/09
"쇠소깍","USR_00000014564",17/06/09
"현대미술을 만나다 <제주 미술관 여행>","USR_00000014638",17/06/12
"함덕해수욕장","USR_00000014728",17/06/13
"사려니숲길","USR_00000014809",17/06/16
"월정리해변","USR_00000014809",17/06/16
"낭만 제주에 가을 감성 더하기 <제주 책방 여행>","USR_00000013563",17/05/23
"김녕해수욕장","USR_00000014809",17/06/16
"세화해변","USR_00000014809",17/06/16
"명진전복","USR_00000014809",17/06/16
"봄날카페","USR_00000014809",17/06/16
"곽지해수욕장","USR_00000014809",17/06/16
"리치망고","USR_00000014809",17/06/16
"협재해수욕장","USR_00000014809",17/06/16
"환상숲 곶자왈공원","USR_00000014809",17/06/16
"부두식당 (모슬포)","USR_00000014809",17/06/16
"쇠소깍","USR_00000014809",17/06/16
"와랑와랑카페","USR_00000014809",17/06/16
"표선해수욕장","USR_00000014809",17/06/16
"만덕이네","USR_00000014809",17/06/16
"가시아방","USR_00000014809",17/06/16
"우도(해양도립공원)","USR_00000014841",17/06/16
"겨울 제주 별자리 <동서남북을 꿈과 낭만으로 수놓다>","USR_00000014564",17/06/22
"2017년 7월에 놓치지 말아야 할 10선 <물 좋은 곳에서 제대로 놀아보자!>","USR_00000011182",17/06/23
"여미지식물원","USR_00000015246",17/06/24
"천제연폭포","USR_00000015002",17/06/30
"해녀박물관","USR_00000015272",17/07/02
"이호테우해수욕장_old","USR_00000016653",17/07/02
"명당양과","USR_00000016738",17/07/04
"명당양과","USR_00000016748",17/07/04
"제주조천스위스마을","USR_00000014290",17/07/07
"제주해물밥","USR_00000016966",17/07/08
"제주특별자치도 도립미술관","USR_00000016996",17/07/09
"쇠소깍","USR_00000017129",17/07/12
"2017년 7월에 놓치지 말아야 할 10선 <물 좋은 곳에서 제대로 놀아보자!>","USR_00000017153",17/07/14
"2017년 7월에 놓치지 말아야 할 10선 <물 좋은 곳에서 제대로 놀아보자!>","USR_00000017216",17/07/15
"제주하늘을날다(패러글라이딩)","USR_00000017231",17/07/16
"제주 패러글라이딩 스쿨","USR_00000017231",17/07/16
"쇠소깍","USR_00000017283",17/07/17
"마방목지","USR_00000017268",17/07/19
"제주국제공항","USR_00000017426",17/07/21
"표선이레하우스","USR_00000017422",17/07/23
"제주절물자연휴양림","USR_00000017615",17/07/24
"우진해장국","USR_00000018303",17/08/04
"천지연폭포","USR_00000018302",17/08/04
"서귀포매일올레시장","USR_00000018303",17/08/04
"현사포구","USR_00000016587",17/08/09
"협재해수욕장","USR_00000018811",17/08/16
"제주절물자연휴양림","USR_00000018989",17/08/18
"섭지코지","USR_00000019184",17/08/27
"어머, 이런 음식 처음이야 <제주 이색 푸드트립>","USR_00000019543",17/08/28
"순옥이네 명가","USR_00000019382",17/08/28
"도다모","USR_00000019626",17/08/29
"도다모","USR_00000019627",17/08/29
"포레스트 판타지아","USR_00000014189",17/09/02
"떡볶이 바다에 퐁당 <제주 서쪽 떡볶이 투어>","USR_00000019815",17/09/03
"협재해수욕장","USR_00000018739",17/09/04
"제주를 닮은 간식 먹어봤수꽈 <제주의 통통 튀는 간식들>","USR_00000020135",17/09/13
"연동국수가게","USR_00000020327",17/09/17
"캠핑트리펜션","USR_00000020338",17/09/17
"2017~18 한국관광 100선에 선정된 <제주가 품은 한국의 대표 관광지 12>","USR_00000020342",17/09/17
"2017년 9월에 놓치지 말아야 할 관광 10선 <제주의 속살, 중산간을 탐닉하다>","USR_00000021059",17/09/21
"파크 선샤인 제주","USR_00000021135",17/09/22
"서연의집(영화 건축학개론)","USR_00000019813",17/09/22
"붉은오름 자연휴양림","USR_00000021652",17/09/30
"외돌개","USR_00000004091",17/10/02
