"콘텐츠명","평일오픈시간","평일클로즈시간","주말오픈시간","주말클로즈시간","휴식시작시간","휴식종료시간","택배배송여부"
"아꼬화","09:00","20:00","","","","",""
"바이제주","09:00","21:00","09:00","21:00","","",""
"윌로우씨  제주캔들공방 ","10:30","19:30","11:00","19:00","","","y"
"모이소","10:00","22:00","10:00","22:00","","",""
"큰손상회","11:00","19:00","11:00","19:00","","",""
"옥수카페","11:00","19:00","11:00","19:00","","",""
"아워키친","11:00","19:00","12:00","19:00","","",""
"탐라동주","10:00","18:00","10:00","18:00","","","y"
"수망912","09:30","19:00","09:00","19:00","","","y"
"펠롱잡화점","10:30","20:00","10:30","20:00","","","y"
"뜨개생활","11:00","17:00","11:00","15:00","","","y"
"보미다","11:00","18:00","11:00","18:00","","","y"
"제주 중앙지하상가","10:00","22:00","10:00","22:00","","",""
"화북종합시장","","","","","","",""
"소소한담","10:00","19:00","10:00","19:00","","",""
"웰컴쇼핑센터","01:00","04:00","07:30","07:00","","","y"
"성산-고성오일시장","08:00","14:00","08:00","14:00","","",""
"제일토산품","","","","","","",""
"천마명","09:00","18:00","09:00","18:00","","",""
"제주보성시장","09:00","20:00","09:00","20:00","","",""
"서귀포매일올레시장","07:00","21:00","07:00","21:00","","",""
"삼다농수산","","","","","","",""
"올레바다","","","","","","",""
"자연이야기","10:00","19:00","10:00","19:00","","",""
"동문수산시장","07:00","20:00","07:00","20:00","","",""
"동문재래시장","08:00","23:59","08:00","23:59","","",""
"제주민속오일시장","08:00","20:00","08:00","20:00","","",""
"중문농수산 직판장","09:00","21:00","09:00","21:00","","",""
"표선오일시장","08:00","14:00","08:00","14:00","","",""
"한림매일시장","08:00","20:00","08:00","20:00","","",""
"명품수산","06:00","21:00","06:00","21:00","","",""
"바당의물질","","","","","","",""
"서문공설시장","09:00","20:00","09:00","20:00","","",""
"제주중앙지하상가","10:00","22:00","10:00","22:00","","",""
"지소울","10:00","20:00","10:00","20:00","","",""
"한림민속오일시장","08:00","17:00","08:00","17:00","","",""
"제주창고","13:00","19:00","13:00","19:00","","",""
"디자인에이비","10:00","18:00","10:00","18:00","","",""
"라온명품관","10:30","19:30","10:30","19:30","","",""
"제주칠성로상가","","","","","","",""
"제주시농협농산물직거래센터","","","","","","",""
"삼다닷컴","10:00","19:00","10:00","19:00","","",""
"아코하루","","","","","","",""
"중문향토오일시장","09:00","17:00","09:00","17:00","","",""
"우생당","09:00","21:30","09:00","21:30","","",""
"동드레플리마켓","","","14:00","17:00","","",""
"B일상잡화점","10:00","17:00","10:00","17:00","","",""
"라바북스","11:00","18:00","11:00","18:00","","",""
"제주관광공사 중문면세점 (내국인)","10:00","19:00","10:00","19:00","","",""
"모슬포중앙시장","08:00","20:00","08:00","20:00","","",""
"소심한책방","10:00","18:00","10:00","18:00","","",""
"딜다책방","10:00","18:00","10:00","18:00","","",""
"응스테이앤샵","11:00","17:00","11:00","17:00","","",""
"돌코롱","","","","","","",""
"미앤제주","","","","","","",""
"한마음한라봉","09:00","18:00","09:00","18:00","","",""
"오르고나이트","","","","","","",""
"당근가게","","","","","","",""
"제주민속식품","","","","","","",""
"야호농수산","09:00","20:00","09:00","20:00","","",""
"아름낭","10:00","20:00","10:00","20:00","","",""
"세화해녀민속오일시장","08:00","14:00","08:00","14:00","","",""
"바이올가 영어마을점","09:00","21:00","09:00","21:00","","",""
"사회복지법인 평화의마을","","","","","","",""
"서귀포향토오일시장","08:00","21:00","08:00","21:00","","",""
"한번해보장 플리마켓","","","11:00","14:00","","",""
"만춘서점","11:00","18:00","11:00","18:00","","",""
"2017년도 벨롱장","","","","","","",""
"본","","","","","","",""
"갈중이","09:00","19:00","09:00","19:00","","",""
"제주관광공사 시내면세점(외국인)","10:00","18:30","10:00","18:30","","",""
"(주)리코리스","","","","","","",""
"(주)메이드인제주","","","","","","",""
"대정 오일시장[미공개]","09:00","19:00","","","","",""
"어쩌다 여기가 요일가게","","","","","","",""
"트멍장터 플리마켓","","","12:00","20:00","","",""
"벨롱장","","","11:00","13:00","","",""
"우도아이","10:30","17:30","10:30","17:30","","",""
"더아일랜더","11:00","20:00","11:00","20:00","","",""
"베리제주","10:00","18:00","10:00","18:00","","",""
"제이어스","","","","","","",""
"현승이네농장","09:00","22:00","09:00","22:00","","",""
"뷰티풀제주","11:00","19:00","11:00","19:00","","",""
"샘스제주캔들","12:00","17:00","12:00","17:00","","",""
"1300k 에코브릿지","10:00","19:00","10:00","19:00","","",""
"산호상점","11:00","19:00","11:00","19:00","","",""
"그꽃","11:00","18:00","11:00","18:00","","",""
"하나로마트 구좌농협 우도점","07:30","20:30","07:30","20:30","","",""
"여름문구사","10:30","19:00","10:30","19:00","","",""
"함덕민속오일시장","08:00","14:00","08:00","14:00","","",""
"알로하서재","14:00","22:00","14:00","22:00","","",""
"김만덕 객주 호쏠장","","","","","","",""
"아라올레지꺼진장","","","","","","",""
"제주애퐁당","10:00","20:00","10:00","20:00","","",""
"한복쉐어","","","","","","",""
"아트앤제주","10:00","21:00","","","","",""
"이제주숍","09:00","19:00","09:00","19:00","","",""
"다나한한복 앤 러블리베베","11:00","20:00","11:00","20:00","","",""
"제주소랑","09:00","18:00","09:00","18:00","","",""
"곱은과일","09:00","19:00","09:00","19:00","","",""
"용연낚시","","","","","","",""
"인한복","","","","","","",""
"마켓오름","10:00","19:00","10:00","19:00","","",""
"몸냥공작소","10:00","19:00","","","","",""
"시티오브드림즈","10:30","22:00","10:30","22:00","","",""
"함덕 멘도롱장","","","13:00","17:00","","",""
"골목시장","","","","","","",""
"바다보석","11:00","19:00","11:00","19:00","","",""
"달리센트","","","","","","",""
"다시방프로젝트","11:00","17:00","11:00","17:00","","",""
"지극히 하나","10:00","18:00","","","","",""
"쓸모있는 생활잡화점","13:00","19:00","13:00","19:00","","",""
"대정오일시장[미공개]","08:00","14:00","08:00","14:00","","",""
"라이킷","12:00","19:00","12:00","19:00","","",""
"북타임","10:00","20:00","10:00","20:00","","",""
"수풀","11:00","18:00","11:00","18:00","","",""
"인연의숲","11:00","18:00","11:00","18:00","","",""
"선물고팡","09:00","20:00","09:00","20:00","","","y"
"미야즈클로젯 (해녀복 대여, 해녀 스냅사진 촬영)","10:00","19:00","10:00","19:00","","",""
"구름두리","11:00","21:00","11:00","21:00","","","y"
"시간여행자의집","10:30","18:00","10:30","18:00","","","y"
"동문시장(주)","07:00","20:00","07:00","20:00","","",""
"안나네꽃마을","08:30","20:00","08:30","20:00","","","y"
"얼리스프링플라워","11:00","19:00","11:00","19:00","","","y"
"프레쉬모먼트","11:00","19:00","","","","","y"
"마야블루","10:00","19:00","10:00","19:00","","",""
"승희상회","07:00","22:00","07:00","22:00","","",""
"제주i","10:30","19:00","","","","",""
"곱은달사진관","10:00","17:30","10:00","17:30","","",""
"천진낭만","09:00","17:30","09:00","17:30","","",""
"카카오프렌즈 스토어@제주","10:00","20:00","10:00","20:00","","",""
"솝쿡(Soap Cook)","09:00","18:00","09:00","18:00","","","y"
"책약방","","","","","","",""
"팰롱팰롱 빛나는","10:00","17:30","10:00","17:30","","",""
"HAN 컬렉션","00:00","00:00","00:00","00:00","","",""
"미카의달콤한작업실","11:00","18:00","01:00","18:00","","","y"
"제주그림","09:00","17:30","09:00","17:30","","",""
"신세계사이먼 제주 프리미엄 전문점","10:30","21:00","10:30","21:00","","",""
"대정오일시장","08:00","14:00","08:00","14:00","","",""
"바이맹 작업실","10:00","17:00","10:00","17:00","","","y"
"풍년상회","11:00","19:00","11:00","19:00","","",""
"더솜라탄","10:00","18:00","10:00","18:00","","",""
"한복담","10:30","19:30","","","","",""
"그림책방 & 카페노란우산","","","","","","",""
"사슴책방","","","","","","",""
"귤밭상점","","","","","","",""
"헤라다플라워","10:00","18:00","10:00","18:00","","","y"
"농업회사법인 나무와열매 주식회사","11:00","18:00","11:00","18:00","","","y"
"비젼안마원","08:00","23:30","08:00","23:30","","","n"
"하나로마트 서귀포점","","","","","","",""
"한라꽃방","09:00","21:00","","","","","y"
"선우스타일","11:00","19:00","11:00","19:00","","","y"
"수목원길 야시장","18:00","22:00","18:00","22:00","","",""
"차귀도 오징어","","","","","","","y"
"한복입는선흘집","11:00","18:00","11:00","18:00","","",""
"연필가게","11:00","19:00","11:00","19:00","","","y"
"폴개협동조합","08:00","19:00","08:00","19:00","","",""
"햇살맞이 플리마켓","10:00","14:00","10:00","14:00","","",""
"에브리바디빈티지","11:00","21:00","11:00","21:00","","",""
"도예시선","10:00","18:00","10:00","18:00","","",""
"서쪽가게","12:00","22:00","12:00","22:00","","",""
"기영상회","10:00","22:00","10:00","22:00","","",""
"제주허니와인","14:00","17:00","14:00","17:00","","","y"
"위로맨스","00:00","00:00","00:00","00:00","","",""
"캔북스","","","","","","",""
"언제라도 북스&리틀갤러리","","","","","","",""
"게른","12:00","20:00","12:00","18:00","","","y"
