"콘텐츠명","룸개수","애완동물동반허용여부","조식제공여부","금연여부","공항교통편","셔틀버스운행여부","등급","체크인시간","체크아웃시간","LATE체크인여부","장애인전용객실여부","부대시설기타","유아서비스기타"
"해피펜션",,"","","","","","","","","","","",""
"빠담빠담게스트하우스",,"","","","","","","","","","","",""
"골든튤립호텔",,"","","","","","","","","","","",""
"쇠소깍올레민박",,"","","","","","","","","","","",""
"제주필하우스",,"","","","","","","","","","","",""
"라메종베니 두지엠",,"","","","","","","","","","","",""
"로즈비치",,"","","","","","","","","","","",""
"비비엔다",,"","","","","","","","","","","",""
"동막골게스트하우스",,"","","","","","","","","","","",""
"제주베스트힐 펜션&글램핑",,"","","","","","","","","","","",""
"비오하우스",,"","","","","","","","","","","",""
"오름게스트하우스",,"","","","","","","","","","","",""
"펜션 에덴호스텔",,"","","","","","","","","","","",""
"달빛정원게스트하우스",,"","","","","","","","","","","",""
"너를만나행복해",,"","","","","","","","","","","",""
"동네형들게스트하우스",,"","","","","","","","","","","",""
"스테이지게스트하우스",,"","","","","","","","","","","",""
"단추스테이",,"","","","","","","","","","","",""
"제주펄관광호텔",88,"","1","1","","","","14:00","11:00","","","",""
"더캐슬",,"","","","","","","","","","","",""
"코시롱게스트하우스",,"","","","","","","","","","","",""
"선샤인호텔",,"","","","","","","","","","","",""
"펄리플러스",,"","","","","","","","","","","",""
"블랑게스트하우스",,"","","","","","","","","","","",""
"그랜드메르호텔",94,"n","1","1","공항 600번 버스 탑승 후  하예중동 하차. 도보로 10분 거리에 위치.","n","2","15:00","11:00","y","y","",""
"엘마르게스트하우스",,"","","","","","","","","","","",""
"팜핑제주",,"","","","","","","","","","","",""
"브릭216",,"","","","","","","","","","","",""
"바다올레",,"","","","","","","","","","","",""
"중문스테이",,"","","","","","","","","","","",""
"달달하우스",,"","","","","","","","","","","",""
"도일모텔",,"","","","","","","","","","","",""
"이쁜새이쁘게노래하고펜션",,"","","","","","","","","","","",""
"끄라비펜션",,"","","","","","","15:00","11:00","","","",""
"제주도유",,"","","","","","","","","","","",""
"범섬풍경",,"","","","","","","","","","","",""
"블라제리조트",,"","","","","","","","","","","",""
"섭지코지하우스",,"","","","","","","","","","","",""
"천상의노을",,"","","","","","","","","","","",""
"제주와요펜션",,"","","","","","","","","","","",""
"제주의시간은느리다",,"","","","","","","","","","","",""
"마당돌펜션",,"","","","","","","","","","","",""
"해변산책펜션",,"","","","","","","","","","","",""
"눈먼고래",,"","","","","","","","","","","",""
"제주올레펜션",,"","","","","","","","","","","",""
"디스이즈핫",,"","","","","","","","","","","",""
"로그밸리",,"","","","","","","","","","","",""
"킹스통나무",,"","","","","","","","","","","",""
"아림민박",,"","","","","","","","","","","",""
"하늘타리펜션",,"","","","","","","","","","","",""
"그린나래",,"","","","","","","","","","","",""
"제주성산아일랜드",,"","","","","","","","","","","",""
"종달스토리",,"","","","","","","","","","","",""
"뿌리게스트하우스",,"","","","","","","","","","","",""
"해변여행",,"","","","","","","","","","","",""
"갯바위펜션",,"","","","","","","","","","","",""
"달집게스트하우스",,"","","","","","","","","","","",""
"제주에살다",,"","","","","","","","","","","",""
"푸르미르 펜션",,"","","","","","","","","","","",""
"스톤성민박",,"","","","","","","","","","","",""
"제주 야원독채펜션",,"","","","","","","","","","","",""
"포지타노인제주",,"","","","","","","","","","","",""
"오랑제리펜션",,"","","","","","","","","","","",""
"제주를여행하는히치하이커를위한안내소",,"","","","","","","","","","","",""
"수앤수가족호텔",,"","","","","","","","","","","",""
"약천골민박",,"","","","","","","","","","","",""
"한라궁",,"","","","","","","","","","","",""
"구름비낭",,"","","","","","","","","","","",""
"슬리퍼게스트하우스",,"","","","","","","","","","","",""
"베이힐 풀앤빌라",,"","","","","","","15:00","11:00","","","",""
"파도봐 펜션",,"","","","","","","","","","","",""
"쉼표있는뜨락",,"","","","","","","","","","","",""
"아이리스호텔",,"","","","","","","","","","","",""
"봄그리고가을호텔&리조트",,"","","","","","","15:00","11:00","y","","",""
"송정게스트하우스",,"","","","","","","","","","","",""
"디오션힐",,"","","","","","","","","","","",""
"플레이스 캠프 제주",,"","","","","","","","","","","",""
"힐링 게스트하우스",,"","","","","","","","","","","",""
"제주스웨덴리조트펜션",,"","","","","","","","","","","",""
"이찌마루&잠비",,"","","","","","","","","","","",""
"소낭게스트하우스",,"","","","","","","","","","","",""
"비아 제주",,"","","","","","","","","","","",""
"파크빌리지",,"","","","","","","","","","","",""
"가파도상동펜션",,"","","","","","","","","","","",""
"블루오션",,"","","","","","","","","","","",""
"꿈꾸는섬 게스트하우스",,"","","","","","","","","","","",""
"돌담마을",,"","","","","","","","","","","",""
"루피게스트하우스",,"","","","","","","","","","","",""
"조이다이브 게스트하우스",,"","","","","","","","","","","",""
"엠버호텔 센트럴",,"","","","","","","","","","","",""
"더아름다운펜션",,"","","","","","","","","","","",""
"스토리빌",,"","","","","","","","","","","",""
"통나무파크",,"","","","","","","","","","","",""
"수상한집 광보네",3,"n","2","1","","n","0","15:00","11:00","y","n","",""
"민준채",,"","","","","","","16:00","11:00","","","",""
"폴라리스인제주",,"","","","","","","","","","","",""
"중문햇빛펜션",,"","","","","","","","","","","",""
"스토리하우스펜션",,"","","","","","","","","","","",""
"제주서울민박",,"","","","","","","","","","","",""
"애월해안누리펜션(구 하얀둥지펜션)",,"","","","","","","15:00","11:00","","","",""
"제주프렌즈펜션",,"","","","","","","","","","","",""
"귀덕리2723펜션",,"","","","","","","","","","","",""
"오렌지펜션",,"","","","","","","","","","","",""
"제주잔잔",,"","","","","","","","","","","",""
"몽돌바당",,"","","","","","","","","","","",""
"나비스호텔",,"","","","","","","","","","","",""
"리틀포레스트",,"","","","","","","","","","","",""
"가파도민박",,"","","","","","","","","","","",""
"소람민박",,"","","","","","","","","","","",""
"아델리아빌",,"","","","","","","","","","","",""
"저스트슬립제주",,"","","","","","","","","","","",""
"해피데이",,"","","","","","","","","","","",""
"제주올레캐슬휴양펜션",,"","","","","","","","","","","",""
"올레해오름펜션",,"","","","","","","","","","","",""
"그림같은풍경",,"","","","","","","","","","","",""
"블루펄",,"","","","","","","","","","","",""
"하워드존슨 제주 연동 호텔",,"","","","","","","","","","","",""
"롯데리조트아트빌라스",,"","","","","","","","","","","",""
"굿데이 펜션",,"","","","","","","","","","","",""
"글라라의집",,"","","","","","","","","","","",""
"노블레스호텔",,"","","","","","","","","","","",""
"여울목게스트하우스(월정리)",,"","","","","","","","","","","",""
"1915 지오하우스",,"","","","","","","","","","","",""
"파인비치",,"","","","","","","","","","","",""
"함덕삼다펜션",,"","","","","","","","","","","",""
"안나106",,"","","","","","","","","","","",""
"루하우스",,"","","","","","","","","","","",""
"호텔컬리넌제주",,"","","","","","","","","","","",""
"해호텔",,"","","","","","","","","","","",""
"일출봉관광호텔",,"","","","","","","","","","","",""
"늘바다통나무펜션",,"","","","","","","","","","","",""
"올레관광호텔",,"","","","","","","","","","","",""
"루스톤빌라앤호텔",,"","","","","","","","","","","",""
"제주락",,"","","","","","","","","","","",""
"온평가 민박",,"n","3","2","","n","0","15:00","11:00","y","","",""
"세화맨션",,"","","","","","","","","","","",""
"흰수염고래리조트",,"","","","","","","","","","","",""
"서귀포통나무집",,"","","","","","","","","","","",""
"유러하우스",,"","","","","","","","","","","",""
"란펜션",,"","","","","","","","","","","",""
"오션트리",,"","","","","","","","","","","",""
"라마다 앙코르 서귀포 이스트 호텔",,"","","","","","","","","","","",""
"바다애펜션",,"","","","","","","","","","","",""
"실크로드펜션",,"","","","","","","","","","","",""
"에띠에리조트",,"","","","","","","","","","","",""
"하늘고래",,"","","","","","","","","","","",""
"제주R호텔서귀포점",,"","","","","","","","","","","",""
"제주메이플호텔",,"","","","","","","","","","","",""
"아마레펜션",,"","","","","","","","","","","",""
"소라담하우스",,"","","","","","","","","","","",""
"비치스토리호텔",,"","","","","","","","","","","",""
"브리즈베이호텔",,"","","","","","","","","","","",""
"연이네다락방 게스트하우스",,"","","","","","","","","","","",""
"알로하민박",,"","","","","","","","","","","",""
"노을과 포도향기",,"","","","","","","","","","","",""
"메이저호텔",,"","","","","","","","","","","",""
"슴게스트하우스 제주공항점",,"","","","","","","","","","","",""
"웰리조트",,"","","","","","","","","","","",""
"허브펜션 오즈",,"","","","","","","","","","","",""
"로그하우스",,"","","","","","","","","","","",""
"메종드오조락",,"","","","","","","","","","","",""
"친친하우스",,"","","","","","","","","","","",""
"김녕한옥 용암정원",,"","","","","","","","","","","",""
"나미송 머무는 곳",,"","","","","","","","","","","",""
"제주KAL호텔",,"","","","","","5","","","","","",""
"제주솔향기펜션",,"","","","","","","","","","","",""
"제주야자원",,"","","","","","","","","","","",""
"호텔 더블유 신제주점(hotel W)",,"","","","","","","","","","","",""
"와락 게스트하우스",,"","","","","","","","","","","",""
"물메랑",,"","","","","","","","","","","",""
"드림캐슬",,"","","","","","","","","","","",""
"토끼섬게스트하우스",,"","","","","","","","","","","",""
"오션하우스",,"","","","","","","","","","","",""
"올리수펜션",,"","","","","","","","","","","",""
"메이더호텔",,"","","","","","","","","","","",""
"제주금산펜션",,"","","","","","","","","","","",""
"휘닉스 제주 섭지코지",,"","","","","","","","","","","",""
"보물섬",,"","","","","","","14:00","11:00","","","",""
"삼보민박",,"","","","","","","","","","","",""
"탱자탱자게스트하우스",,"","","","","","","","","","","",""
"제주스테이비우다",,"","","","","","","","","","","",""
"라오체리조트",,"","","","","","","","","","","",""
"고망난돌민박가든",,"","","","","","","","","","","",""
"제이드림호텔(jdream hotel)",,"","","","","","","","","","","",""
"도도펜션",,"","","","","","","","","","","",""
"발리호텔",,"","","","","","","","","","","",""
"호스텔린든(Hostel lyndon)",,"","","","","","","","","","","",""
"프라이빗리조트",,"","","","","","","","","","","",""
"에스케이핀크스 주식회사",43,"n","1","1","","n","0","15:00","11:00","y","y","테니스장, 북카페, 온천","유아전용 객실 완비"
"우진샘펜션",,"","","","","","","","","","","",""
"해오름민박",,"","","","","","","","","","","",""
"스머프하우스",,"","","","","","","","","","","",""
"뉴제주펜션",,"","","","","","","","","","","",""
"뉴경남관광호텔",,"","","","","","","","","","","",""
"아인피플호텔",,"","","","","","","","","","","",""
"부영CC관광호텔",,"","","","","","","","","","","",""
"그레이스관광호텔",,"","","","","","","","","","","",""
"골든파크호텔",38,"n","1","1","택시 7분, 버스 15분","n","1","15:00","11:00","y","y","조식식당",""
"차귀도게스트하우스",,"","","","","","","","","","","",""
"일성 제주비치콘도&리조트",,"","","","","","","","","","","",""
"탑팰리스호텔",,"","","","","","","","","","","",""
"해피휴펜션",,"","","","","","","","","","","",""
"비울채울펜션",,"","","","","","","","","","","",""
"해안풍경펜션",,"","","","","","","","","","","",""
"그림리조트",,"","","","","","","00:00","00:00","","","",""
"제주펜션향림원",,"","","","","","","","","","","",""
"파인빌",,"","","","","","","","","","","",""
"제주토브",,"","","","","","","","","","","",""
"게으른소나기",,"","","","","","","","","","","",""
"우도올레펜션",,"","","","","","","","","","","",""
"탐라누리",,"","","","","","","","","","","",""
"강정서부민박",,"","","","","","","","","","","",""
"올레요리조트",,"","","","","","","","","","","",""
"제주펜션오다",,"","","","","","","","","","","",""
"썬베이펜션",,"","","","","","","","","","","",""
"팜힐",,"","","","","","","","","","","",""
"서귀포귤림성",,"","","","","","","","","","","",""
"바다향기",,"","","","","","","","","","","",""
"돌고래하우스(캠핑장)",,"","","","","","","","","","","",""
"파인힐호텔",,"","","","","","","","","","","",""
"내도바당펜션",,"","","","","","","","","","","",""
"미소가펜션",,"","","","","","","","","","","",""
"아리스토캣펜션",,"","","","","","","","","","","",""
"몽마르뜨펜션",,"","","","","","","","","","","",""
"하니크라운호텔",,"","","","","","","","","","","",""
"제주해안휴양펜션(제주해안펜션)",,"","","","","","","15:00","11:00","","","",""
"제주카라반",,"","","","","","","","","","","",""
"아이랑키즈펜션",,"","","","","","","","","","","",""
"사계여행민박",,"","","","","","","","","","","",""
"디셈버호텔",,"","","","","","","","","","","",""
"나무사이로햇살이",,"","","","","","","","","","","",""
"아프리카게스트하우스",,"","","","","","","","","","","",""
"호텔빠레브",204,"","","","","","4","","","","","",""
"신라호텔제주",,"","","","","","","","","","","",""
"스위트호텔 제주",,"","","","","","","","","","","",""
"CS빌리지",,"","","","","","","","","","","",""
"북마크하우스&카페",,"","","","","","","","","","","",""
"플라마 펜션",,"","","","","","","","","","","",""
"다노이커플펜션",,"","","","","","","","","","","",""
"엠버리조트",,"","","","","","","","","","","",""
"달빛고운펜션",,"","","","","","","","","","","",""
"스토리인제주게스트하우스",,"","","","","","","","","","","",""
"아쿠아뷰티크",,"","","","","","","","","","","",""
"이린펜션",,"","","","","","","","","","","",""
"제주풍경하우스",,"","","","","","","","","","","",""
"뉴제주호텔",,"","","","","","","","","","","",""
"동원리조트제주",,"","","","","","","","","","","",""
"돌집조앤정",,"","","","","","","","","","","",""
"허브올레펜션",,"","","","","","","","","","","",""
"더포그레이스호텔앤리조트",144,"n","1","1","","","4","15:00","11:00","y","y","급속 전기차 충전소","침대 안전 가드"
"달콤한아침",,"","","","","","","","","","","",""
"라마다프라자제주호텔",,"","","","","","","","","","","",""
"바산올레펜션",,"","","","","","","","","","","",""
"난드르통나무집",,"","","","","","","","","","","",""
"바다스케치",,"","","","","","","","","","","",""
"마라도별장",,"","","","","","","","","","","",""
"제주이야기펜션",,"","","","","","","","","","","",""
"호텔난타",,"","","","","","","","","","","",""
"제주 벨루가",,"n","2","1","자가이용시 1시간거리","n","0","15:00","11:00","n","n","스튜디오카페, 노래방(파티룸), 오락실",""
"레이크힐스 제주 리조트",,"","","","","","","","","","","",""
"제주애",,"","","","","","","","","","","",""
"그림같은집",,"","","","","","","","","","","",""
"토리코티지카레클린트",,"","","","","","","","","","","",""
"씨엘블루호텔",,"","","","","","","","","","","",""
"씨앤관광호텔",,"","","","","","","","","","","",""
"패밀리아팬션",,"","","","","","","","","","","",""
"몽쉘게스트하우스",,"","","","","","","","","","","",""
"클로버비앤비",,"","","","","","","","","","","",""
"중문훼미리리조트",,"","","","","","","","","","","",""
"동해모텔",,"","","","","","","","","","","",""
"모두올레 애견펜션",,"","","","","","","","","","","",""
"베니키아호텔제주",,"","","","","","","","","","","",""
"재즈마을리조트",,"","","","","","","","","","","",""
"해성펜션",,"","","","","","","","","","","",""
"쏠레 민박",,"","","","","","","","","","","",""
"그린사이드펜션",,"","","","","","","","","","","",""
"뉴그린모텔",,"","","","","","","","","","","",""
"스프링데일골프앤리조트",,"","","","","","","","","","","",""
"호텔엘린",,"","","","","","","","","","","",""
