"콘텐츠명","노키즈존","예약가능여부","룸보유여부","유아서비스기타","평일오픈시간","평일클로즈시간","주말오픈시간","주말클로즈시간","휴식시작시간","휴식종료시간","대표메뉴기타"
"탐라 뚝배기","","","","","08:00","19:00","08:00","19:00","","",""
"토담골","","","","","10:00","22:00","10:00","22:00","","",""
"우유부단","","","","","10:00","18:00","10:00","18:00","","",""
"명당양과","","","","","07:00","00:30","07:00","00:30","","",""
"땅꼬분식 뷔페","","","","","11:00","20:00","11:00","20:00","","",""
"쉬림프박스","","","","","11:00","18:00","11:00","18:00","","",""
"좀녀마을뚝배기","","","","","08:00","20:00","08:00","20:00","","",""
"하와이새우트럭","","","","","11:30","22:00","11:30","22:00","","",""
"길벗식당","","","","","10:00","22:00","10:00","22:00","","",""
"다래향","","","","","09:00","20:30","09:00","20:30","","",""
"돌하르방식당","","","","","08:30","17:00","08:30","17:00","","",""
"킨포크","","","","","10:00","22:00","10:00","22:00","","",""
"키스더티라미수","","","","","","","","","","",""
"함덕밀면","","","","","11:00","20:00","10:00","21:00","","",""
"골막식당","","","","","06:30","18:00","06:30","18:00","","",""
"늘봄흑돼지","","","","","11:00","22:50","11:00","22:50","","",""
"치저스","","","","","11:00","16:00","11:00","16:00","","",""
"강정해녀의집","","","","","10:00","20:00","10:00","20:00","","",""
"한림로342쩜빵","","","","","11:00","21:30","11:00","16:00","","",""
"마중물삼계탕","","","","","10:00","22:00","10:00","22:00","","",""
"머루황토불갈비","","","","","10:00","22:00","10:00","22:00","","",""
"물금","","","","","08:00","23:00","08:00","23:00","","",""
"쉬림프봉봉&올레파머스","","","","","10:00","18:00","10:00","18:00","","",""
"대관원","","","","","11:00","21:00","11:00","21:00","","",""
"돌하르방 뚝배기","","y","","","08:00","19:00","08:00","19:00","","",""
"웅스키친","","","","","10:30","21:00","10:30","21:00","","",""
"바다위에코끼리","","","","","10:00","18:00","10:00","18:00","","",""
"돌토고리족욕카페","","","","","10:00","22:00","10:00","22:00","","",""
"라스또르따스","","","","","11:00","17:00","11:00","20:00","","",""
"라쁠라주","","","","","10:00","01:00","10:00","01:00","","",""
"채원일식","","","","","11:30","22:00","11:30","22:00","","",""
"민봉태중화요리","","","","","11:00","20:30","11:00","20:30","","",""
"저팔계깡통연탄구이","","","","","14:00","00:00","14:00","00:00","","",""
"살랑살랑샤브샤브","","","","","08:30","21:30","08:30","21:30","","",""
"세자매식당","","","","","08:30","19:30","08:30","19:30","","",""
"신옛촌","","","","","08:00","20:00","08:00","20:00","","",""
"이성필 커피볶는집","","","","","10:00","24:00","10:00","24:00","","",""
"미번베트남쌀국수","","","","","08:00","21:00","08:00","21:00","","",""
"월정리갈비밥","","","","","11:00","20:00","11:00","20:00","","",""
"고메아일랜드","","","","","11:30","21:00","11:30","21:00","","",""
"난드르깡통구이","","","","","12:00","22:00","12:00","22:00","","",""
"달에","","","","","19:00","23:00","19:00","23:00","","",""
"아랑","","","","","10:30","21:00","10:30","21:00","","",""
"동방양꼬치구이","","","","","04:00","02:00","04:00","02:00","","",""
"곽지식당","","","","","09:00","23:00","","","","",""
"버거307","","","","","10:00","01:00","10:00","01:00","","",""
"준반점","","","","","08:30","21:00","08:30","21:00","","",""
"용두암 바당회국수","","","","","08:00","22:00","08:00","22:00","","",""
"제주기정떡","","","","","10:00","17:00","","","","",""
"갤러리앤카페고팡","","","","","10:00","18:00","10:00","18:00","","",""
"앞돈지","","","","","09:30","22:00","09:30","22:00","","",""
"2093하우스","","","","","10:00","18:00","10:00","18:00","","",""
"땅땅치킨 봉개점","","","","","","","","","","",""
"카페공작소","","","","","08:00","21:00","08:00","21:00","","",""
"섭지향","","","","","12:00","23:00","12:00","23:00","","",""
"아뜰리에 제주명월","","","","","11:00","18:00","11:00","18:00","","",""
"숙이네보리빵","","","","","08:00","18:00","09:00","18:00","","",""
"연화키친","","","","","10:30","20:00","10:30","20:00","","",""
"대수길다방","","","","","10:00","18:00","10:00","18:00","","",""
"교래아름가든","","","","","10:00","19:30","10:00","19:30","","",""
"오데뜨","","","","","11:00","20:00","11:00","20:00","","",""
"산포식당","","","","","08:30","21:00","08:30","21:00","","",""
"카페 아트진","","","","","11:00","21:30","11:00","21:30","","",""
"치치퐁","","","","","10:30","17:30","10:30","17:30","","",""
"오르막가든","","","","","10:00","22:00","10:00","22:00","","",""
"금문도","","","","","11:00","22:00","11:00","22:00","","",""
"운해횟집","","","","","11:30","22:00","11:30","22:00","","",""
"자리돔횟집","","","","","11:00","21:30","11:00","21:30","","",""
"이익새양과점","","","","","10:00","18:00","10:00","18:00","","",""
"피쉬웍스","","","","","11:00","22;00","11:00","22:00","","",""
"탑동패밀리레스토랑","","","","","11:30","21:00","11:30","21:00","","",""
"촌촌해녀촌","","","","","09:00","19:00","09:00","19:00","","",""
"잠녀해녀촌","","","","","7","21","7","21","","",""
"제주오성","","y","","","09:00","21:00","09:00","21:00","","",""
"은희네해장국(일도점)","","","","","06:00","15:00","06:00","14:00","","",""
"두가시가든","","","","","11:00","22:00","11:00","22:00","","",""
"쫑이네해산물","","","","","11:00","19:00","11:00","19:00","","",""
"세이?","","","","","11:00","03:00","11:00","03:00","","",""
"그릴데미그라스","","","","","11:30","21:00","11:30","21:00","","",""
"대향연탄구이","","","","","15:00","24:00","15:00","24:00","","",""
"모퉁이스낵","","","","","17:00","24:00","17:00","24:00","","",""
"제주 어가","","","","","09:00","21:00","09:00","21:00","","",""
"숨비나리카페","","","","","10:30","19:00","10:30","19:00","","",""
"달리맨","","","","","11:00","21:00","11:00","21:00","","",""
"알마니","","","","","17:00","24:00","17:00","24:00","","",""
"카페 웰컴","","","","","","","","","","",""
"넘버 138","","","","","","","","","","",""
"곽지BAR다","","","","","11:30","22:00","11:30","22:00","","",""
"데미안","","","","","11:00","16:00","11:00","16:00","","",""
"현옥식당","","","","","07:30","22:00","09:00","18:00","","",""
"컴홈","","","","","11:00","20:00","11:00","20:00","","",""
"카페 도두","","","","","10:00","22:00","10:00","22:00","","",""
"보스코화덕피자","","","","","11:00","19:30","11:00","19:30","","",""
"키아스마","","","","","11:00","18:00","11:00","18:00","","",""
"범일분식","","","","","09:00","17:00","09:00","17:00","","",""
"꼬꼬닭한마리","","","","","11:00","21:00","11:00","21:00","","",""
"해금강횟집","","y","","","11:30","21:30","11:30","21:30","","",""
"정순화손두부","","","","","09:00","21:00","09:00","21:00","","",""
"황금어장","","","","","10:00","22:00","10:00","22:00","","",""
"바다동굴","","","","","11:30","18:00","","","","",""
"현기네식당","","","","","06:00","15:00","06:00","15:00","","",""
"명품진전복해물탕","","","","","11:00","21:00","11:00","21:00","","",""
"바다풍경횟집","","","","","11:00","23:00","11:00","23:00","","",""
"춤추는오병장의돼지꿈","","","","","15:00","23:00","15:00","23:00","","",""
"둥지식당","","","","","11:00","21:00","11:00","21:00","","",""
