,이름,purpose1,purpose2,purpose3,popularity,co2,loc1,loc2,주변관광지,주변음식점,주변숙박
0,성산일출봉(UNESCO 세계자연유산),0.7715646561448009,0.682662084259712,0.948563275370442,0.6925642601120781,7.606409026090909,15,13,"['성산일출봉(UNESCO 세계자연유산)', '광치기해변', '우도잠수함(제주씨월드)', '제주올레 1코스', '성산항', '성산 유채꽃재배단지', '오조포구', '성산포항', '쇠와꽃 승마장', '취다선리조트', '성산~세화 해안도로', '아일랜드에프', '터진목 & 성산면 4·3희생자 위령비', '성산초등학교 서청특별중대 주둔지']","['맛나식당', '성산회관', '경미네집(경미휴게소)', '바다의집', '그리운바다성산포', '복자씨연탄구이', '제주뚝배기', '성산해오름식당', '한성식당', '만조이천쌀밥', '일출봉쑥빵보리빵', '성산진미식당', '파리바게뜨 성산일출봉점', '돌섬', '코코마마', '오조해녀의 집', '돌하르방 뚝배기', '카페코지', '등경돌식당', '파파야 수제버거', '성산흑돼지두루치기', '둥지식당', '어머니닭집', '남양수산', '인더오조', '해뜰', '고가네', '백기해녀의 집', '성산 고등어쌈밥 김치찜', '어멍횟집', '문화통닭', '청운식당', '장승포식당', '선미식당', '착한마녀김밥', '새벽숯불가든', '복댕이', '호랑이해장국', '일출왕뚝배기', '해마루', '망고홀릭 성산일출봉점', '일탈흑돼지', '꽃담팥집카페', '해월향', '윌라라', '탐라흑돼지', '해뜨는식당', '짱아저씨', '모퉁이스낵', '망고봉봉', '삼수정', '성산일출봉 해송갈치전문점', '성산해녀짬뽕', '카페더라이트', '샤오츠']","['아름다운리조트', '플레이스 캠프 제주', '골든튤립 제주 성산호텔', '봄그리고가을호텔&리조트', '더포그레이스호텔앤리조트', '더클라우드호텔', '코델리아리조트', '성산우리집 펜션', '미도모텔', '1915 지오하우스', '보물섬', '썬레이크빌제주', '블루마운틴호텔', '쏠레 민박', '성산아침노을펜션', '브리즈베이호텔', '볕들이펜션', '푸르미르 펜션', '코시롱게스트하우스', '펠리스타운', '토마토하우스', '도시락게스트하우스', '오조리비앤비(Ojoribnb)', '해돋는마을', '호텔아로하', '일출썬 펜션', '핫플게스트하우스', '히든스테이']"
1,사려니숲길,0.3768594231669541,0.3258647530413921,0.3454208418699372,0.6931471805599453,4.831688882772544,1,0,"['사려니숲길', '제주돌문화공원', '노루생태관찰원', '샤이니숲길', '물찻오름', '개오리오름', '지그리오름']",[],[]
2,카멜리아힐,0.374966190165721,0.5688428673089742,0.3912099365743312,0.6890595836276285,3.68769097625,8,4,"['카멜리아힐', '아라고나이트 온천(디아넥스호텔)', '방주교회', '헬로키티아일랜드', '본태박물관', '귤밭76번지', '세계자동차 & 피아노박물관', '제주유리박물관', '피규어뮤지엄 제주', '뽀로로&타요 테마파크 제주', '대유ATV수렵사격랜드', '골프탕탕', '서광리 곶자왈생태탐방로', '큰넓궤', '소병악 (족은오름)', '무등이왓터', '한라의향기', '무민랜드']","['아뜰리에 제주명월', '숨비나리카페', '창천삼거리식당', '숨비나리', '헬로키티아일랜드카페', '춘심이네 본점', '바램목장&카페']","['디아넥스 호텔', '중문훼미리리조트', '서귀포호텔 카라반', '레이크힐스 제주 리조트', '테디밸리호텔', '중문햇빛펜션', '쉴띠펜션&게스트하우스']"
3,협재해수욕장,0.7409637858968999,0.4887541022640325,0.494227556691773,0.6896445500087434,1.639160513065761,5,4,"['협재해수욕장', '한림공원', '금능해수욕장', '비양도', '월령선인장군락지', '협재굴(한림공원)', '금능석물원', '쌍용굴(한림공원)', '한라산소주공장', '황금굴(한림공원)', '제주올레 14코스', '명월팽나무군락', '명월성지', '봉쥬르봉봉', '비양도등대', '협재포구', '기독교순례길 2코스(순교의길)', '바릇스파', '월령포구', '배령연대', '옹포포구', '옹포천', '썬플라워의원']","['명랑스낵', '피어22', '협재해녀의집', '앤트러사이트', '수우동', '명월국민학교', '독개물항', '키친오즈', '우무(umu)', '제갈양', '돌하르방식당', '카페쉼표', '한치앞도모를바다', '야자수 식당', '면뽑는선생 만두빚는아내', '도나토스', '성아시', '흑돼지촌', '삼일식당', '비올레제주', '호돌이식당', '카페헤밍웨이', '하몽인제주', '문쏘', '더꽃돈', '월령203', '알라스카인제주 협재점', '보말이야기', '비양도 올레카페', '옹포별장가든', '이익새양과점', '돼지굽는정원', '홍돈깡통연탄구이', '어애랑', '제주틈', '재게재게옵서 카페', 'And유Café', '협재삼춘네횟집', '블루밍제이', '봉끄랑횟집']","['inn jeju 인제주 게스트하우스', '객의하우스', '블루하와이리조트', '하늘고래', '나무처럼 게스트하우스', '라온호텔앤리조트', '달달하우스', '쫄깃센터', '민박바당집', '제주스웨덴리조트펜션', '제주해조대펜션', '민박하얀집', '카이리조트', '해바라기', '코코스펜션', '협재해오름펜션', '이쁜새이쁘게노래하고펜션', '오시록헌펜션', '알로하민박', '단추스테이', '라파로마휴양펜션', '안트레 펜션', '에너벨리민박', '민준채', '거드락지민박', '쉼게스트하우스', 'For 安(포안)', '민박집섶낭', '제주마로펜션', '우연히 행복해지다', '초록하우스', '해피데이 민박', '해피데이', '소낭재', '마레카펜션']"
4,월정리해변,0.6259394738037888,0.4774492261353696,0.4016144357632209,0.6878886233064783,1.639160513065761,16,13,"['만장굴', '월정리해변', '월정리 카약체험장', '해맞이해안로', '타보카 월정리투명카약', '제주올레 20코스', '월정리해안도로', '행원육상양식단지', '진빌레 밭담길', '한동환해장성', '공방:하루_반']","['구좌상회', '슬슬슬로우', '민경이네어등포해녀촌', '카페콧수염', '월정리에서브런치', '월정리갈비밥', '제주이야기', '모래비카페', '월정리로와', '우드스탁', '머문카페', '소곱에', '바당지기', '그초록', '떡하니', '월리월리', '타코마씸', '배롱개', '수카사', '이찌마루', '방긋스낵', '너는파라다이스길리', '봉쉡망고', '만월당', '월정해녀식당', '토끼문', '월정리LOWA']","['소풍(월정리)', '동박생이', '여울목게스트하우스(월정리)', '뒹글하우스', '소낭게스트하우스', '비오하우스', '달콤한아침', '월정에비뉴', '월정소랑', '월정플레이스', '제주올레하우스팬션', '오션스카이', '바람돌이하우스', '달빛고운펜션', '한모살', '이찌마루&잠비', '포비네오두막게스트하우스']"
5,함덕해수욕장,0.706769235934899,0.4205510219110432,0.4573559833544287,0.6884742748605529,9.37718565818182,1,0,"['함덕해수욕장', '너븐숭이 4.3기념관', '북촌돌하르방미술관', '조천함덕해안도로', '제주카약', '함덕카페거리', '연북정', '제주항일기념관', '함덕백사장 & 서우봉', '함덕야영장', '조천만세동산', '조함해안도로', '다려도', '로로 요가', '조천비석거리', '북촌포구', '단산과 방사탑', '팀케이', '북촌국민학교', '함덕잠수함(이고제주)', '북촌환해장성', '제주잠수함(국제리더스클럽)', '정주항', '북촌리 4.3길', '김택화미술관', '조천중학원 옛터']","['델문도', '북촌에가면', '잠녀해녀촌', '곱들락', '땅꼬분식 뷔페', '다래향', '숨어있는집', '오드랑베이커리', '망고레이 함덕점', '함덕밀면', '깡촌흑돼지', '피시야 카페', '햇살가득돌담집', '정순화손두부', '방모루', '바다어사또', '어멍', '준반점', '어머니몸국', '아따블르', '바캉스샤브샤브', '대성아귀찜', '달마야해물탕', '함덕카페h', '창흥식당', '서우봉가든', '함덕찜', '블랙포엠', '저팔계깡통연탄구이', '달사막', '호끌락다락', '하누가물애', '카페3535.1', '보노리미니', '달그락식탁', '함덕쉼팡', '그때그집 함덕', '함덕마당', '함덕해물라면오빠네', '회춘', '해녀김밥 본점', '두툼한고기돈돼지', '순옥이네명가 함덕점', '무거버거', '훈남횟집', '황제궁', '아라파파 북촌점', '백리향', '다니쉬']","['대명리조트 제주', '야호비치하우스', '라마다 제주 함덕 호텔', '선샤인호텔', '우리희망이 게스트하우스', '함덕삼다펜션', '북촌플레이스', '제주코기네', '조천스테이', '로즈비치', '유탑유블레스호텔', '아프리카게스트하우스', '꿈꾸는정원', '게으르게', '오션그랜드호텔 (함덕)', '마빈', '제주필하우스', '신흥소시민', '아침해변', '로지게스트하우스', '아이미 제주비치 호텔']"
6,산굼부리,0.6274486073308281,0.509631504365761,0.5712685808951127,0.6826022673833303,6.074776461454545,1,0,"['산굼부리', '렛츠런팜제주', '제주센트럴파크', '삼다수숲길 지질트레일', '교래자연휴양림', '샤이니숲길', '제주에코승마장(구.제주승마장)', '갓전시관[갓전수교육관]', '렛츠런팜 양귀비꽃', '바늘오름', '제주오름승마랜드', '토종닭유통특구교래삼다수마을', '까끄래기오름', '제주베스트힐']","['교래손칼국수', '2093하우스', '더로맨틱', '교래흑돼지', '성미가든', '손맛촌', '안다미로', '토계정', '금보가든', '카페스노우빈', '라포레사려니', '카페갤러리', '앙뚜아네트 삼다수마을점', '돌카롱 사려니숲길점', '산굼부리카페']","['제주베스트힐 펜션&글램핑', '더갤러리펜션']"
7,새별오름,0.8596031730298694,0.4403191599271453,0.5873865155642897,0.6902291744042311,4.831688882772544,3,0,"['새별오름', '제주빅볼랜드', '9.81 파크', '그리스신화박물관 / 트릭아이미술관', '큰바리메오름', '에버리스 골프리조트', '가메오름', '새별헤이요목장']","['새빌', '라운지엑스 애월점']",['타미우스골프앤빌리지']
8,오설록티뮤지엄,0.365641122585593,0.8237103191701833,0.4705887470789064,0.681423716863886,17.412188585250888,8,4,"['오설록티뮤지엄', '제주유리의성', '신화테마파크', '제주항공우주박물관', '노리매공원', '이니스프리제주하우스', '청수곶자왈', '신화워터파크', '제주올레 14-1코스', '그대, 나의 뮤즈 : 클림트 to 마티스', '서광승마장', '액트(AC.lll.T) 볼링장', '제주신화전설탐방로', '오페라 옴니아 : 라파엘로展']","['濟州膳제주선', '르 쉬느아 (Le Chinois)', '스카이 온 파이브 다이닝', '랜딩 다이닝(Landing dining)', '제주그림카페', '허파곶자왈화덕피자', '뉴저지카페', '명리동식당', '도희네칼국수', '탐라반상', '꼬꼬닭한마리', '엠 라운지 M Lounge', '디 아일렛 라운지', '랜딩 라운지', '카페 베트로(CAFÉ VETRO)', '성화정', '별난카페', '더 코브', '박장군', '제주선 더블랙', '토향', '신화테라스', '바온탑', '번개피자', 'S BAR', '제주신화월드 F&B', '신화돌담집', '제주신화월드 윤경양식당', '풀베개', '제주오일장반점 제주신화월드점', '미드나잇 제주', '리치망고 신화월드점', '벨라지다', '고래라면 신화역사점', '서유기마라탕']","['랜딩관 제주신화월드 호텔앤리조트', '서머셋 제주신화월드 호텔앤리조트', '메리어트관 제주신화월드 호텔앤리조트', '제주항공우주호텔', '신화관 제주신화월드 호텔 앤 리조트', '에덴통나무빌리지']"
9,한라산국립공원,0.5365156632362135,0.6408057810306442,0.6620049700921042,0.6873026285636622,16.413972332999997,2,0,"['한라산국립공원', '백록담', '사라오름', '수악 (물오름)', '삼각봉', '제주미래교육연구원 과학탐구체험장']",[],[]
