이름,지역,태그,주소,좋아요,찜하기,리뷰,방문했어요,조회,SNS공유,소개,상세정보,등급,편의시설,기타상세,상세텍스트,주변관광지개수,주변관광지,주변음식점개수,주변음식점,숙박업종
나미송 머무는 곳,제주시 > 애월,"#민박 #고향민박 #독채
#정원 #주방기구 #자연경관",제주특별자치도 제주시 애월읍 평화로 2476,25,27,159,59,"34,811",74,자연과 사람의 서정이 함께 흐르는 아름다운 민박집,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,경보 및 피난시설",,"상세정보
확장됨

애월읍 시인의 마을에 위치한 나미송 머무는 곳 민박은 요즘 찾아보기 힘든 '진짜' 민박집이다.
일찍이 제주도로 내려온 주인장이 가꿔온 삶의 터전으로 여행객들에게 관광이 아닌 여행의 길라잡이가 되어 조용하고 편히 쉴 수 있는 공간을 빌려준다.
한밤의 풀벌레 소리와 하늘을 수놓은 듯한 별밤은 오늘만큼 삶의 무거운 짐을 내려놓기를 권한다.
특히 제주시에서 탄소없는 제주시의 일환으로 선정한 '곱들락허게 잘 가꾼 집'에도 선정될 정도로 아기자기하고 아름답게 꾸며진 집과 정원은 보는 것만으로도 힐링이 된다.

나미송에서 여행자들이 머무는 곳은 누리채로 2층 독채이다. 기본적으로 1층과 2층은 따로 예약을 받고 있다.
1층은 방과 화장실이 2개씩, 그리고 주방이 갖춰져 있다. 2층은 원룸 구조로 간이 주방과 욕실을 갖추고 있다.
평소에는 2층으로 향하는 계단이 외부로 분리되어 있지만, 1층과 2층을 함께 예약하면 내부에서 이동할 수 있다.
주변 관광지로는 렛츠런파크, 항몽 유적지, 한라수목원 등이 있으며 제주 국제공항으로부터 승용차로 약 20분이 소요된다.


나미송에서는 '별에게서 온 소녀'가 기타를 타고 날아오신다는 날을 컨셉으로, '별에서 온 소녀와 함께하는 나.미.송. 음악회'라는 이름으로 잔잔한 제주 밤의 정취에 맞는 통기타와 노래를 함께 즐길 수 있는 음악회를 열고 있다.

 ",4,"['제주불빛정원 테마파크', '제주승마공원', '큰노꼬메오름', '족은노꼬메오름']",2,"['1950하우스', '참솔식당']",펜션/민박
해비치호텔앤드리조트,서귀포시 > 표선,"#휴식/치유 #5성급호텔 #호텔
#숙소 #리조트 #가족호텔 #공공와이파이존 #양식레스토랑 #수영장 #주차장 #어린이 #관광호텔",제주특별자치도 서귀포시 표선면 민속해안로 537,14,75,45,1,"37,922",39,제주의 푸른 바다와 자연을 만끽할 수 있는 표선에 위치한 호텔&리조트,,5성급,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,엘리베이터",,"상세정보
확장됨

해가 처음 비추는 곳이라는 뜻의 해비치 호텔&리조트는 에메랄드 빛 바다가 눈앞에 펼쳐지는 제주 동부해안에 위치해 있으며 골프장을 비롯해 최고 수준의 호텔과 리조트를 보유한 종합 휴양 리조트다. 호텔과 리조트 및 골프장, 렌터카, 항공에 이르는 모든 여행 서비스를 한번에 해결할 수 있는 원스톱 예약 서비스인 '해비치 익스프레스 센터'를 운영하고 있으며, 레저 전문팀 '익스플로러', 사계절 이용 가능한 실,내외 수영장이 갖춰진 '윈터가든', 건강한 라이프 스타일을 설계해주는 LS(Life Styling)팀 등 체류형 휴양 리조트의 선두적인 역할을 하고 있다.
회의 및 연회 행사가 가능한 총 6개의 대,소형 연회장은 제주에서 최대 규모를 자랑하며, 최대 14개로 연회장 개별 오픈이 가능하여 개관 이래 다양한 대규모 국제행사들을 치러내기도 했다. 호텔 288실, 리조트 215실로 총 503실의 규모와 9개의 식당과 바 외에 다양한 부대시설을 갖추고 있다. 제주국제공항과 호텔 간의 셔틀버스를 매일 운영하고 있으니 예약 후 이용할 수 있다. 공항으로부터 약 50분 정도 소요된다.

  ",12,"['제주민속촌', '제주허브동산', '표선해수욕장', '아이리스촬영지(하얀등대)', '대장금촬영지(제주민속촌)', '허브동산 미디어 파사드 (media facade)', '제주올레 3코스', '신천리 벽화마을', '매오름', '당케산물(당케포구)', '민속해안로', '한모살 (표선백사장)']",24,"['돌토고리족욕카페', '성신흑돼지', '골목집갈치와고등어', '탐라 뚝배기', '제주광어씨푸드레스토랑 표선점', '아모르키친', '밀리우', '까떼커피', '카페희상', '강해일횟집', '섭지향', '다미진', '커피가게쉬고가게', '황금무지개', '두가시가든', '백사장횟집(백사장회센터)', '돈돼지흑돼지', '홍삼흑돼지', '당케올레국수', '코코티에', '칠돈가 표선직영점', '옵써빵집', '해비치불턱', '커피가게&쉬고가게']",호텔
신라호텔제주,서귀포시 > 중문,"#최고급 #VIP #중문
#신라 #중문관광단지 #5성급호텔 #숙소 #게스트하우스 #호텔 #공공와이파이존 #양식레스토랑 #수영장 #주차장 #발렛파킹 #관광호텔",제주도 서귀포시 중문관광로 72번길 75,7,64,43,0,"25,150",12,"파스텔 톤의 인테리어, 세계 유명 작가들의 예술작품과 아열대 정원이 어우러진 리조트 호텔",,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,엘리베이터",,"상세정보
확장됨

중문관광단지에 위치한 제주 신라호텔은 90년 개관 이후 이국적인 분위기와 최고급 시설로 다양한 국제행사와 세계 국가 수반을 비롯한 많은 VIP들이 거쳐가며 국제적 명성을 쌓아온 리조트 호텔이다.

신라호텔은 사계절 체재형 리조트로서 레저 전문 직원인 G.A.O, 여행 전반 서비스를 책임지는 T.P.O 등 소프트웨어 적인 부분뿐만 아니라 문라이트 스위밍, 글램핑, 와이너리 투어 등 다양한 프로그램을 운영하고 있다. 총 429개의 객실과 6개의 식당과 바, 8개의 연회장, 카지노, 스파, 피트니스센터를 부대시설로 갖추고 있다.

제주국제공항으로부터 약 50분 정도의 거리에 위치했다. 주변 관광지로는 여미지 식물원, 테디베어박물관, 주상절리, 천지연폭포, 제주 컨텐션 센터 등이 있다.

 ",33,"['주상절리대(중문대포해안)', '천제연폭포', '제주실탄사격장', '중문색달해수욕장', '중문관광단지', '박물관은 살아있다', '여미지식물원', '퍼시픽 리솜 요트투어 샹그릴라', '테디베어뮤지엄제주', '시크릿가든촬영지', '제주올레 8코스', '초콜릿랜드', '엉덩물계곡', '아프리카박물관', '쉬리의언덕', '논짓물', '제주국제컨벤션센터 icc', '별내린전망대', '디스커버제주', '조안베어뮤지엄', '제주제트', '베릿네오름', '제주국제평화센터', '제주해양레저', '예래생태체험관', '중문색달해변(해산물)', '열리해안길', '중문컨트리클럽', '씨에스호텔 프라이빗스파', '중문골프장', '대포포구', '천제연폭포 & 제주4.3중문면희생자위령비', '롯데호텔 브이스파']",36,"['고집돌우럭(중문)', '바다다', '수두리보말칼국수', '흑돼지구이집 하영', '제주미향', '국수바다 본점', '중문어촌계해녀의집', '중문덤장', '몽키비치클럽 Monkey Beach', '더파크뷰(신라호텔)', '중문랜드프리미엄뷔페', '이드레국수', '중문신라원', '쉬는팡가든', '천제연토속음식점', '옐로우카페 (yellow cafe)', '제주오성', '중문수원음식점', '이조은식당', '중문대들보', '델리지아레스토랑', '예지원', '색달식당', '소울키친', '하나로국밥', '돈이랑', '제주중문수제맥주', '오르막가든', '사해방흑돼지', '어부와농부', '대기정', '중문솥뚜껑', '중화요리 사해방', '중문자연산횟집', '서민흑돼지', '신우성타운']",게스트하우스
롯데호텔 제주,서귀포시 > 중문,"#호텔 #5성급 #중문
#리조트 #숙소 #가족호텔 #수영장 #양식레스토랑 #자연경관 #공공와이파이존 #조식 #비즈니스센터 #주차장 #관광호텔",제주특별자치도 서귀포시 중문관광로72번길 35,9,47,38,1,"24,762",19,사계절 온수풀과 이국적인 풍경이 매혹적인 리조트형 호텔,,5성급,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,임산부 휴게시설,엘리베이터",,"상세정보
확장됨

푸른 제주바다와 하늘이 맞닿은 곳에 위치한 롯데호텔 제주는 천국 같은 휴식과 여행의 즐거움을 동시에 누릴 수 있는 대한민국 대표 호텔이다. 
총 500개의 객실 수와 제주의 따뜻한 바다를 닮은 사계절 온수풀 ‘해온(海溫)’, 멀티 놀이공간 ‘플레이토피아’, 헬로키티 캐릭터 룸과 풀빌라 스위트 룸, 연회장을 비롯해 미식 여행의 진수를 선사할 레스토랑까지 다채로운 시설들 보유하고 있다.


2020년 6월 신규 오픈한 '더 캔버스'는 제주 최대 규모 올데이 다이닝 레스토랑으로 전세계 각국의 풍미와 향토음식을 즐길 수 있다. 600여평의 공간에 420석의 규모, 5개의 별실을 갖췄으며, 푸른 바다가 어우러진 오션 뷰를 자랑한다.

특히나 '팜 투 테이블(Farm to table)’을 테마로 신선한 제주산 제철 식재료만을 엄선해 10개월에 걸쳐 개발한 시그니처 메뉴와 어린이를 위한 키즈스테이션으로 차별화된 다이닝을 경험할 수 있다.

키즈스테이션은 호텔업계 최초 '다이닝 프로젝션 맵핑' 기술을 도입하여 키즈 전용 음식 사이로 돌고래와 물고기가 헤엄치는 영상을 투영한다. 마치 바닷속에서 식사하는 듯한 느낌을 주며 동화책 영상을 테이블에 담아내어 아이의 호기심과 상상력을 자극한다.


롯데호텔 제주는 레저 전문 엔터테이너 ‘ACE(ACTIVE＆CREATIVE ENTERTAINER)'는 어린이를 위한 키즈 프로그램, 패밀리 프로그램까지 다양한 체험의 기회를 제공한다. 그 외에도 '헬로키티 캐릭터 룸', '키즈월드', '키즈랩'이 마련된 키즈플로어와 국내호텔 최대규모 놀이터 '플레이토피아'는 익스트림 어린이 스포츠 클럽 챔피언 R, 패밀리 락볼링장, VR체험&아케이드존 공간으로 구성되어 호텔을 방문한 가족 단위 고객에게 즐거운 추억을 선사한다.

2020년 1월 오픈한 'V SPA'는 프리미엄 안티에이징 스파 '발몽'과 프랑스 No.1 해양성 코스메틱 브랜드 '딸고' 테라피의 격조높은 서비스를 제공하며, 시즌에 따른 각종 패키지와 이벤트들이 마련되어 있다.

이 외에도 롯데호텔 제주의 랜드마크인 풍차라운지, 키즈 플로어, 해변 산책로, 피트니스 클럽, 쇼핑 등 즐거운 추억을 간직할 수 있는 기회를 제공하고 있다.

 ",34,"['주상절리대(중문대포해안)', '천제연폭포', '제주실탄사격장', '중문색달해수욕장', '중문관광단지', '박물관은 살아있다', '여미지식물원', '퍼시픽 리솜 요트투어 샹그릴라', '테디베어뮤지엄제주', '시크릿가든촬영지', '제주올레 8코스', '초콜릿랜드', '엉덩물계곡', '아프리카박물관', '쉬리의언덕', '논짓물', '제주국제컨벤션센터 icc', '별내린전망대', '디스커버제주', '그랑블루 요트투어', '조안베어뮤지엄', '제주제트', '베릿네오름', '제주국제평화센터', '제주해양레저', '예래생태체험관', '중문색달해변(해산물)', '열리해안길', '중문컨트리클럽', '푸른콩 방주영농조합법인', '씨에스호텔 프라이빗스파', '중문골프장', '대포포구', '천제연폭포 & 제주4.3중문면희생자위령비']",38,"['고집돌우럭(중문)', '바다다', '수두리보말칼국수', '흑돼지구이집 하영', '제주미향', '국수바다 본점', '중문어촌계해녀의집', '중문덤장', '몽키비치클럽 Monkey Beach', '더파크뷰(신라호텔)', '중문랜드프리미엄뷔페', '이드레국수', '중문신라원', '쉬는팡가든', '천제연토속음식점', '옐로우카페 (yellow cafe)', '제주오성', '중문수원음식점', '주상절리회국수', '이조은식당', '중문대들보', '대포횟집', '델리지아레스토랑', '운해횟집', '예지원', '색달식당', '소울키친', '하나로국밥', '돈이랑', '제주중문수제맥주', '오르막가든', '사해방흑돼지', '어부와농부', '대기정', '중문솥뚜껑', '중화요리 사해방', '중문자연산횟집', '서민흑돼지']",호텔
제주조천스위스마을게스트하우스,제주시 > 조천,"#숙박 #숙소 #게스트하우스
#마을관광 #올레길 #식당",제주특별자치도 제주시 조천읍 함와로 566-27,12,49,29,0,"51,343",50,조천읍 와산리에 위치한 농촌 관광 공동체 마을,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

조천읍 와산리에 위치한 제주조천스위스마을은 총 4개 단지, 66세대로 구성되어 있는 농촌 관광 공동체 마을이다. 빨간색, 노란색 페인트로 칠해진 아담한 마을을 걷다보면 또다른 방식으로 이국적인 제주를 만날 수 있다. 각 세대별 1층은 상가로 운영되어 마을 안에서 볼거리, 즐길거리, 먹거리, 숙박까지 한번에 해결할 수 있다. 또한 에코랜드를 비롯한 올레길 18~19코스, 함덕해수욕장, 미니랜드 등이 인접해있다. 제주국제공항으로부터 승용차로 약 20분 정도 소요된다.

  ",17,"['제주조천스위스마을', '선녀와나무꾼', '동굴의 다원 다희연', '제주라프 짚라인', '캐릭파크', '포레스트 사파리', '제라진 제주오프로드 사파리', '캔디원', '귤빛캠핑장', '알밤(알바매기, 알밤오름)', '세미오름(샘이오름)', '부대악오름', '웃밤(웃바매기,웃밤오름)', '낙선동 4.3성', '샘이오름', '종남마을', '제주햇살농원']",11,"['낭뜰에쉼팡', '카페동백', '샤라의정원', '고사리식당', '선흘방주할매식당', '카페선흘', '카페2085', '시나르', '동구미', '더 콘테나', '야원']",게스트하우스
비젠빌리지,제주시 > 구좌,"#휴식 #숙소 #펜션
#휴양펜션 #수영장 #체험 #해수욕장 #수상레저 #가족 #독채 #단체여행객 #바비큐",제주특별자치도 제주시 구좌읍 하도9길 72,2,10,20,0,"9,548",1,숙박을 넘어 복합 문화 공간을 제공하다,연중무휴,,"공용주차장,무료 WIFI",,"상세정보
확장됨


카페, 풀장, 공연장 등 한 공간에서 문화와 예술을 모두 즐길 수 있는 곳


올레길 21코스가 지나는 곳에 위치한 비젠 빌리지는 이름과 알맞게

하나의 작은 마을같이 게스트 하우스, 카페, 풀장, 공연장 등이 다양한 공간이 모여 있는 복합 문화 공간이다.

 숙박을 넘어 문화와 예술까지 즐길 수 있는 곳으로, 모든 것이 빠르게 지나가고 진화하는 요즘 시대에 걸 맞는 감각과 안목을 엿볼 수 있다.

 곳곳에 배치된 이곳의 멋을 더하는 감성적이고 빈티지스러운 인테리어와 소품들이 눈길을 사로잡는다.

 공간 하나하나 신경 써 정성과 멋이 담겨 있는 이곳은 이곳을 찾은 사람들에게 아주 흥미로운 곳이 될 것이다. 





도미토리, 2인실, 펜트 하우스, 캠핑 트레일러의 다양한 객실들이 마련되어 있어 상황에 맞는 객실을 택할 수 있다.

 카페에서 커피와 함께 조용한 휴식을 취할 수도 있고,

 빈티지한 소품들이 모여 있는 셀렉트샵도 있으니 이곳을 둘러보는 것 또한 의미 있는 추억이 될 것이다.

플리마켓 등 다양한 이벤트와 행사도 열리기 때문에 일정을 알아보고 찾아오는 것도 좋다. 

단조로운 여행이 아닌, 다양한 감성을 즐기고 영감을 얻고 싶다면 이곳을 찾아 신선하고 특별한 경험을 할 수 있길 바란다.",16,"['해녀박물관', '종달리수국길', '지미봉', '하도해변', '토끼섬', '별방진', '종달리전망대', '제주올레 21코스', '구좌 하도어촌계', '종달리해변', '세화해안도로', '하도리 철새도래지', '맬튼개 갯담', '이로이로공방', '굴동포구', '금붕사']",20,"['해월정', '산도롱맨도롱', '비어라운드(Be around)', '카페제주동네', '바다는안보여요', '술도가제주바당', '수다뜰', '벨롱', '종달리엔 엄마식당', '석다원', '달리다방', '종달해녀의집', '춘희', '아톰스낵', '풍미독서', '가비오타카페', '모뉴에트', '이스트포레스트', '카페한라산', '카페록록']",펜션/민박
제주도푸른산푸른바다,제주시 > 구좌,"#게스트하우스 #민박 #자연경관
#고향민박 #주방기구",제주특별자치도 제주시 구좌읍 일주동로 3421,0,5,19,0,"7,997",3,동부 여행의 길목에 있는 숙소,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

구좌읍 하도리에 위치한 푸른산푸른바다 게스트하우스는 날이 좋은 날 동쪽 바다로는 우도가, 서쪽으로는 한라산이 보이는 뛰어난 경치를 자랑한다.
또한 제주 동부 여행의 중간 길목에 위치해 여행자들의 시간계획에도 도움이 되는 곳이다.
객실은 2인실, 3인실, 4인실 세 종류가 있으며 모두 싱글침대로만 구성되어 있다.
공용공간으로는 컴퓨터, 여행관련 서적 등이 있는 거실과 발코니, 넓은 주방을 갖추고 있다.
주변관광지로는 우도, 세화해변, 토끼섬, 제주 해녀 항일운동기념관, 하도해변, 지미봉 등이 있으며 제주국제공항으로부터 승용차로 약 1시간이 소요된다.

 ",17,"['세화해변', '해녀박물관', '종달리수국길', '하도해변', '토끼섬', '표선세화해안도로', '별방진', '제주올레 21코스', '구좌 하도어촌계', '종달리해변', '세화해안도로', '하도리 철새도래지', '맬튼개 갯담', '이로이로공방', '굴동포구', '금붕사', '세화소품관']",28,"['카페공작소', '연미정', '비어라운드(Be around)', '얌얌돈까스', '나나이로 아코제주', '미엘드세화', '허벅식당', '말이', '부엌인세화', '에릭스에스프레소 카페', '벨롱', '석다원', '다래향2호점', '춘희', '아톰스낵', '종이비행기', '쇼디치카페', '맛좋은디', '풍미독서', '알마니', '청파식당횟집', '제주한잔, 세화', '세평맛집', '도도톳김밥', '카페한라산', '다래향 세화점', '카페 라라라', '카페록록']",게스트하우스
휘닉스 제주 섭지코지,서귀포시 > 성산,"#리조트 #성산 #4성급호텔
#수영장 #휴양콘도 #주차장 #공공와이파이존 #어린이놀이방 #교통 #양식레스토랑 #조식포함 #주방기구 #가족",제주특별자치도 서귀포시 성산읍 섭지코지로 107,2,46,19,2,"24,310",20,섭지코지 주변에 위치한 자연친화적인 해양종합리조트,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,엘리베이터",,"상세정보
확장됨

제주 동쪽바다와 맞닿은 섭지코지에 위치한 휘닉스 제주는 자연친화적인 해양종합리조트로, 숙박, 휴양, 레저, 문화가 공존하는 미래형 리조트다. 300객실의 콘도 벨라테라스와 50세대의 별장힐리우스로 구성된 휘닉스 제주는 해양종합리조트답게 다양한 해양레저를 즐길 수 있다. 바다 스노클링, 미니 스쿠버, 바다 스쿠버 다이빙, PADI 국제 스쿠버 다이빙 자격증 코스, 요트 체험 등이 있고 이외에도 섭지코지의 언덕 위로 달리는 전기카트, 전기자전거, 세그웨이, 꽃마차, 자전거 등을 이용할 수 있다. 제주국제공항으로부터 승용차로 약 50분 거리에 위치해있으며 무료 공항서틀도 운행하니 예약 시 참고할 것.

섭지코지의 언덕 위, 세계적인 건축 거장인 일본 출신 안도 타다오와 스위스 출신 마리오 보타가 만나 빚어진 아름다운 건축물들이 그 언덕을 조용하게 지키고 있다. 그들은 각자 자신의 방법으로 섭지코지의 자연에 스며들 수 있는 건축물을 지었고 그 결과 안도 다타오의 작품인 글라스하우스와 지니어스로사이와 마리오 보타의 아고라가 탄생했다. 지니어스로사이는 유민미술관으로 새롭게 탄생하여 현재는 1894년부터 약 20여년간 유럽 전역에서 일어났던 공예,디자인 운동인 아르누보의 유리공예 작품을 전시하고 있다. 주로 자연주의적인 소재와 영감을 표현한 프랑스 작가들의 작품을 만날 수 있다. 글라스하우스는 전망대와 카페테리아로, 아고라는 라운지, 수영장, 피트니스 센터로 이용되고 있다.

  ",22,"['섭지코지', '아쿠아플라넷 제주', '광치기해변', '제주커피박물관 바움 Baum', '신양섭지해수욕장', '유민미술관', '지포뮤지엄', '성산 유채꽃재배단지', '제주올레 2코스', '쇠와꽃 승마장', '제주쥬티클럽', '붉은오름(성산읍)', '대수산봉(큰물뫼,물미오름)', '신양해안도로', '협자연대', '온평리 환해장성', '소수산봉(족은물뫼)', '휘닉스 르쏠레이테라피', '터진목 & 성산면 4·3희생자 위령비', '올레캠프 본점 알파캠프', '신양포구', '빛의 벙커']",32,"['가시아방', '섭지코지 해녀밥상', '맛나식당', '섭지해녀의집', '마돈', '어머니닭집', '남양수산', '커피먹는 고냉이', '청호식당', '백기해녀의 집', '성산 고등어쌈밥 김치찜', '어멍횟집', '소라네집', '문화통닭', '장승포식당', '방듸', '착한마녀김밥', '복댕이', '해마루', '달리맨', '해월향', '삼수정', '서귀피안베이커리', '섭지코지화덕피자', '더비치하우스', '해왓', '성산 어멍횟집', '꽃가람', '보룡제과', '성산 호랑호랑', '도렐', '스피닝울프']",리조트/콘도
히든클리프 호텔 앤 네이쳐,서귀포시 > 서귀포시내,"#휴식 #5성급호텔 #숙소
#호텔 #공공와이파이존 #수영장 #주차장 #관광호텔",제주특별자치도 서귀포시 예래해안로 542,1,38,19,0,"9,474",2,원시림 속에 위치하는 국내 최장 인피니티풀이 있는 호텔,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨


2016년 7월에 개관한 히든클리프 호텔 앤 네이쳐는 제주의 원시적 생명력을 고스란히 담고 있는 예래 생태 보전지역에 있으며

호텔이 곧 목적지가 되는 'We are the Destination'을 가치로 내세워 수준 높은 서비스를 제공하는 호텔 앤 리조트다.

히든클리프는 지상에서 15m, 계곡에서 35m 떨어져 원시림과 맞닿은 듯한 수평선을 가진 국내 최장 47미터의 수영장인 인피니티 풀과

그곳에서 벌어지는 풀파티로 유명하다. 

또한 세계적인 코스메틱 브랜드 록시땅의 스파 브랜드인 릴 스파 바이 록시땅이 국내에서 유일하게 들어와 있다.





중문 호텔단지보다 20-30m 높은 곳에 위치한 히든클리프는 총 250개의 객실에 발코니와 욕조를 갖추고 있으며

방의 위치에 따라 다채로운 제주의 풍경을 감상할 수 있다.

자연스레 도드라진 석회암 외벽과 억새밭 오름정원, 벌집을 형상화한 주차장 등 자연친화적인 디자인이 돋보인다.

운영하고 있는 액티비티로는 왕복 4km의 히든 트레킹과 요트 투어, 감귤체험, 마술쇼, 캔들 만들기, 아트 클래스 등이 있다.

중문관광단지에 위치하여 제주국제공항으로부터 승용차로 약 50분 정도 소요된다.",33,"['주상절리대(중문대포해안)', '천제연폭포', '제주실탄사격장', '중문색달해수욕장', '중문관광단지', '박물관은 살아있다', '여미지식물원', '퍼시픽 리솜 요트투어 샹그릴라', '테디베어뮤지엄제주', '시크릿가든촬영지', '제주올레 8코스', '초콜릿랜드', '엉덩물계곡', '아프리카박물관', '쉬리의언덕', '논짓물', '제주국제컨벤션센터 icc', '별내린전망대', '중문미로파크', '베릿네오름', '제주국제평화센터', '제주해양레저', '예래생태체험관', '대유ATV수렵사격랜드', '중문색달해변(해산물)', '열리해안길', '중문컨트리클럽', '씨에스호텔 프라이빗스파', '중문골프장', '천제연폭포 & 제주4.3중문면희생자위령비', '롯데호텔 브이스파', '스위트호텔 아로마', '김서프제주']",36,"['고집돌우럭(중문)', '수두리보말칼국수', '흑돼지구이집 하영', '제주미향', '국수바다 본점', '중문어촌계해녀의집', '중문덤장', '몽키비치클럽 Monkey Beach', '더파크뷰(신라호텔)', '중문랜드프리미엄뷔페', '이드레국수', '중문신라원', '쉬는팡가든', '천제연토속음식점', '옐로우카페 (yellow cafe)', '제주오성', '중문수원음식점', '이조은식당', '중문대들보', '델리지아레스토랑', '예지원', '색달식당', '소울키친', '하나로국밥', '돈이랑', '제주중문수제맥주', '오르막가든', '사해방흑돼지', '어부와농부', '대기정', '중화요리 사해방', '중문자연산횟집', '서민흑돼지', '신우성타운', '황토기와집', '갈치 카페']",호텔
대명리조트 제주,제주시 > 조천,"#리조트 #숙소 #휴양콘도
#주차장 #대명리조트 #부대시설 #조식",제주특별자치도 제주시 조천읍 신북로 577,8,54,16,0,"26,785",8,함덕해수욕장 앞 자연과 하나되는 쉼터,비수기와 성수기 입실/퇴실 시간 전화문의 바랍니다.,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점",,"상세정보
확장됨

대명리조트 제주는 국제자유도시 함덕관광지구에 위치한 리조트로 호화유람선을 연상시키는 모습으로 양실 혹은 한실 중 선택이 가능한 총 390개의 객실로 구성된다. 객실은 취사여부에 따라 취사형과 클린형으로 나뉘고 그 안에 패밀리, 스위트, 골드 스위트 세가지가 있다. 10여가지의 부대시설과 5개의 연회장 및 세미나실이 갖춰져 있어 다양한 목적의 투숙객을 수용할 수 있다.

편안한 여행을 위해 렌트카 예약, 관광지 안내, 골프 예약, 투어 플래너 등의 서비스를 제공하고 있다. 주변관광지로는 함덕해수욕장, 삼양해수욕장, 에코랜드 테마파크, 선녀와나무꾼 테마파크 등이 있다.

 ",24,"['함덕해수욕장', '너븐숭이 4.3기념관', '북촌돌하르방미술관', '조천함덕해안도로', '제주카약', '함덕카페거리', '연북정', '제주항일기념관', '함덕백사장 & 서우봉', '함덕야영장', '조천만세동산', '다려도', '로로 요가', '북촌포구', '단산과 방사탑', '팀케이', '북촌국민학교', '함덕잠수함(이고제주)', '북촌환해장성', '제주잠수함(국제리더스클럽)', '정주항', '북촌리 4.3길', '김택화미술관', '조천중학원 옛터']",47,"['델문도', '북촌에가면', '잠녀해녀촌', '곱들락', '땅꼬분식 뷔페', '다래향', '숨어있는집', '오드랑베이커리', '망고레이 함덕점', '함덕밀면', '깡촌흑돼지', '피시야 카페', '햇살가득돌담집', '정순화손두부', '방모루', '바다어사또', '어멍', '준반점', '아따블르', '바캉스샤브샤브', '대성아귀찜', '달마야해물탕', '함덕카페h', '창흥식당', '서우봉가든', '함덕찜', '블랙포엠', '저팔계깡통연탄구이', '달사막', '호끌락다락', '하누가물애', '카페3535.1', '보노리미니', '달그락식탁', '함덕쉼팡', '그때그집 함덕', '함덕마당', '함덕해물라면오빠네', '회춘', '해녀김밥 본점', '두툼한고기돈돼지', '순옥이네명가 함덕점', '무거버거', '훈남횟집', '황제궁', '아라파파 북촌점', '다니쉬']",리조트/콘도
