,MCT_NM,naver_keyword,naver_map_url
0,젠,제주도%20젠,https://m.place.naver.com/restaurant/36333194/menu/list
1,3657,제주도%203657,https://m.place.naver.com/restaurant/37236930/menu/list
2,가치,제주도%20가치,https://m.place.naver.com/restaurant/1196572041/menu/list
3,곰막,제주도%20곰막,https://m.place.naver.com/restaurant/31204698/menu/list
4,너븐,제주도%20너븐,https://m.place.naver.com/restaurant/1274239322/menu/list
5,당당,제주도%20당당,https://m.place.naver.com/restaurant/1589162775/menu/list
6,도렐,제주도%20도렐,https://m.place.naver.com/restaurant/525595743/menu/list
7,먹돌,제주도%20먹돌,https://m.place.naver.com/restaurant/1131737857/menu/list
8,빵귿,제주도%20빵귿,https://m.place.naver.com/restaurant/320930171/menu/list
9,신관,제주도%20신관,https://m.place.naver.com/restaurant/31761975/menu/list
10,아리,제주도%20아리,https://m.place.naver.com/restaurant/1064483025/menu/list
11,연돈,제주도%20연돈,https://m.place.naver.com/restaurant/1152651433/menu/list
12,오라,제주도%20오라,https://m.place.naver.com/restaurant/1661243752/menu/list
13,우무,제주도%20우무,https://m.place.naver.com/restaurant/1537940586/menu/list
14,주비,제주도%20주비,https://m.place.naver.com/restaurant/1236752139/menu/list
15,치꼬,제주도%20치꼬,https://m.place.naver.com/restaurant/1249238360/menu/list
16,크림,제주도%20크림,https://m.place.naver.com/restaurant/1251032328/menu/list
17,풍로,제주도%20풍로,https://m.place.naver.com/restaurant/1818213544/menu/list
18,피즈,제주도%20피즈,https://m.place.naver.com/restaurant/1648347549/menu/list
19,하찌,제주도%20하찌,https://m.place.naver.com/restaurant/1840782568/menu/list
20,해왓,제주도%20해왓,https://m.place.naver.com/restaurant/1018684874/menu/list
21,홉히,제주도%20홉히,https://m.place.naver.com/restaurant/1018800146/menu/list
22,회심,제주도%20회심,https://m.place.naver.com/restaurant/1904590988/menu/list
23,88버거,제주도%2088버거,https://m.place.naver.com/restaurant/37698735/menu/list
24,갈치옥,제주도%20갈치옥,https://m.place.naver.com/restaurant/1876373893/menu/list
25,갈치왕,제주도%20갈치왕,https://m.place.naver.com/restaurant/1110806547/menu/list
26,감따남,제주도%20감따남,https://m.place.naver.com/restaurant/1540496129/menu/list
27,고요새,제주도%20고요새,https://m.place.naver.com/restaurant/1127426352/menu/list
28,고이정,제주도%20고이정,https://m.place.naver.com/restaurant/1418560385/menu/list
29,곱들락,제주도%20곱들락,https://m.place.naver.com/restaurant/37765917/menu/list
30,남또리,제주도%20남또리,https://m.place.naver.com/restaurant/11568548/menu/list
31,노라바,제주도%20노라바,https://m.place.naver.com/restaurant/37438036/menu/list
32,논짓물,제주도%20논짓물,https://m.place.naver.com/restaurant/31903042/menu/list
33,느루온,제주도%20느루온,https://m.place.naver.com/restaurant/1133943685/menu/list
34,대기정,제주도%20대기정,https://m.place.naver.com/restaurant/13444885/menu/list
35,델문도,제주도%20델문도,https://m.place.naver.com/restaurant/36859834/menu/list
36,도두몰,제주도%20도두몰,https://m.place.naver.com/restaurant/1514079190/menu/list
37,돈고팡,제주도%20돈고팡,https://m.place.naver.com/restaurant/890759830/menu/list
38,돈사돈,제주도%20돈사돈,https://m.place.naver.com/restaurant/11840561/menu/list
