,순번,코드명,코드값,코드값의미,폐지구분
2434,2435,법정동,5000000000,제주특별자치도,현존
2435,2436,법정동,5011000000,제주특별자치도 제주시,현존
2436,2437,법정동,5011010100,제주특별자치도 제주시 일도일동,현존
2437,2438,법정동,5011010200,제주특별자치도 제주시 일도이동,현존
2438,2439,법정동,5011010300,제주특별자치도 제주시 이도일동,현존
2439,2440,법정동,5011010400,제주특별자치도 제주시 이도이동,현존
2440,2441,법정동,5011010500,제주특별자치도 제주시 삼도일동,현존
2441,2442,법정동,5011010600,제주특별자치도 제주시 삼도이동,현존
2442,2443,법정동,5011010700,제주특별자치도 제주시 건입동,현존
2443,2444,법정동,5011010800,제주특별자치도 제주시 용담일동,현존
2444,2445,법정동,5011010900,제주특별자치도 제주시 용담이동,현존
2445,2446,법정동,5011011000,제주특별자치도 제주시 용담삼동,현존
2446,2447,법정동,5011011100,제주특별자치도 제주시 화북일동,현존
2447,2448,법정동,5011011200,제주특별자치도 제주시 화북이동,현존
2448,2449,법정동,5011011300,제주특별자치도 제주시 삼양일동,현존
2449,2450,법정동,5011011400,제주특별자치도 제주시 삼양이동,현존
2450,2451,법정동,5011011500,제주특별자치도 제주시 삼양삼동,현존
2451,2452,법정동,5011011600,제주특별자치도 제주시 봉개동,현존
2452,2453,법정동,5011011700,제주특별자치도 제주시 아라일동,현존
2453,2454,법정동,5011011800,제주특별자치도 제주시 아라이동,현존
2454,2455,법정동,5011011900,제주특별자치도 제주시 오라일동,현존
2455,2456,법정동,5011012000,제주특별자치도 제주시 오라이동,현존
2456,2457,법정동,5011012100,제주특별자치도 제주시 오라삼동,현존
2457,2458,법정동,5011012200,제주특별자치도 제주시 노형동,현존
2458,2459,법정동,5011012300,제주특별자치도 제주시 외도일동,현존
2459,2460,법정동,5011012400,제주특별자치도 제주시 외도이동,현존
2460,2461,법정동,5011012500,제주특별자치도 제주시 이호일동,현존
2461,2462,법정동,5011012600,제주특별자치도 제주시 이호이동,현존
2462,2463,법정동,5011012700,제주특별자치도 제주시 도두일동,현존
2463,2464,법정동,5011012800,제주특별자치도 제주시 도두이동,현존
2464,2465,법정동,5011012900,제주특별자치도 제주시 도남동,현존
2465,2466,법정동,5011013000,제주특별자치도 제주시 도련일동,현존
2466,2467,법정동,5011013100,제주특별자치도 제주시 도련이동,현존
2467,2468,법정동,5011013200,제주특별자치도 제주시 용강동,현존
2468,2469,법정동,5011013300,제주특별자치도 제주시 회천동,현존
2469,2470,법정동,5011013400,제주특별자치도 제주시 오등동,현존
2470,2471,법정동,5011013500,제주특별자치도 제주시 월평동,현존
2471,2472,법정동,5011013600,제주특별자치도 제주시 영평동,현존
2472,2473,법정동,5011013700,제주특별자치도 제주시 연동,현존
2473,2474,법정동,5011013800,제주특별자치도 제주시 도평동,현존
2474,2475,법정동,5011013900,제주특별자치도 제주시 해안동,현존
2475,2476,법정동,5011014000,제주특별자치도 제주시 내도동,현존
2476,2477,법정동,5011025000,제주특별자치도 제주시 한림읍,현존
2477,2478,법정동,5011025021,제주특별자치도 제주시 한림읍 귀덕리,현존
2478,2479,법정동,5011025022,제주특별자치도 제주시 한림읍 수원리,현존
2479,2480,법정동,5011025023,제주특별자치도 제주시 한림읍 대림리,현존
2480,2481,법정동,5011025024,제주특별자치도 제주시 한림읍 한림리,현존
2481,2482,법정동,5011025025,제주특별자치도 제주시 한림읍 금악리,현존
2482,2483,법정동,5011025026,제주특별자치도 제주시 한림읍 동명리,현존
2483,2484,법정동,5011025027,제주특별자치도 제주시 한림읍 명월리,현존
2484,2485,법정동,5011025028,제주특별자치도 제주시 한림읍 옹포리,현존
2485,2486,법정동,5011025029,제주특별자치도 제주시 한림읍 상대리,현존
2486,2487,법정동,5011025030,제주특별자치도 제주시 한림읍 상명리,현존
2487,2488,법정동,5011025031,제주특별자치도 제주시 한림읍 협재리,현존
2488,2489,법정동,5011025032,제주특별자치도 제주시 한림읍 월령리,현존
2489,2490,법정동,5011025033,제주특별자치도 제주시 한림읍 금능리,현존
2490,2491,법정동,5011025034,제주특별자치도 제주시 한림읍 월림리,현존
2491,2492,법정동,5011025035,제주특별자치도 제주시 한림읍 한수리,현존
2492,2493,법정동,5011025300,제주특별자치도 제주시 애월읍,현존
2493,2494,법정동,5011025301,제주특별자치도 제주시 애월읍 용흥리,현존
2494,2495,법정동,5011025302,제주특별자치도 제주시 애월읍 중엄리,현존
2495,2496,법정동,5011025305,제주특별자치도 제주시 애월읍 귀일리,폐지
2496,2497,법정동,5011025306,제주특별자치도 제주시 애월읍 어도리,폐지
2497,2498,법정동,5011025307,제주특별자치도 제주시 애월읍 동귀리,폐지
2498,2499,법정동,5011025321,제주특별자치도 제주시 애월읍 광령리,현존
2499,2500,법정동,5011025323,제주특별자치도 제주시 애월읍 상귀리,현존
2500,2501,법정동,5011025324,제주특별자치도 제주시 애월읍 구엄리,현존
2501,2502,법정동,5011025325,제주특별자치도 제주시 애월읍 수산리,현존
2502,2503,법정동,5011025326,제주특별자치도 제주시 애월읍 신엄리,현존
2503,2504,법정동,5011025327,제주특별자치도 제주시 애월읍 장전리,현존
2504,2505,법정동,5011025328,제주특별자치도 제주시 애월읍 소길리,현존
2505,2506,법정동,5011025329,제주특별자치도 제주시 애월읍 고성리,현존
2506,2507,법정동,5011025330,제주특별자치도 제주시 애월읍 하가리,현존
2507,2508,법정동,5011025331,제주특별자치도 제주시 애월읍 상가리,현존
2508,2509,법정동,5011025333,제주특별자치도 제주시 애월읍 고내리,현존
