,YR,MCT_NM,MCT_BRN,LG_CAT,LG_CAT_NM,MD_CAT,MD_CAT_NM,MCT_BSE_AR,ADDR_new,MNTH_SALES_PCTL,DAW_CCD,APV_TMT_CD,AGE_GP,SEX_CCD,UE_CT,SGNG_CD,LGDNG_CD
0,2021,오라,8984800471,1,요식/유흥,5,유흥,제주특별자치도 제주시 신대로16길 43,제주특별자치도 제주시 연동,5_75%~90%,6,8_21_24,4_35_39,M,42,50110,13700
1,2022,스카이,2312001014,1,요식/유흥,5,유흥,제주특별자치도 제주시 삼무로 48,제주특별자치도 제주시 연동,6_90%미만,4,1_00_03,4_35_39,F,42,50110,13700
2,2022,킹덤투,7771200229,1,요식/유흥,5,유흥,제주 제주시 연동7길 30,제주특별자치도 제주시 연동,6_90%미만,4,1_00_03,1_20_24,F,42,50110,13700
3,2022,뮤직박스,6161266983,1,요식/유흥,5,유흥,제주 제주시 다랑곶길 4,제주특별자치도 제주시 노형동,5_75%~90%,2,8_21_24,4_35_39,F,42,50110,12200
4,2022,뮤직박스,6161266983,1,요식/유흥,5,유흥,제주 제주시 다랑곶길 4,제주특별자치도 제주시 노형동,5_75%~90%,2,8_21_24,3_30_34,M,42,50110,12200
5,2022,뮤직박스,6161266983,1,요식/유흥,5,유흥,제주 제주시 다랑곶길 4,제주특별자치도 제주시 노형동,5_75%~90%,3,8_21_24,4_35_39,M,42,50110,12200
6,2022,뮤직타워,1560301282,1,요식/유흥,5,유흥,제주특별자치도 제주시 노연로 48,제주특별자치도 제주시 노형동,6_90%미만,2,8_21_24,3_30_34,M,42,50110,12200
7,2022,스타박스,6161936800,1,요식/유흥,5,유흥,제주 서귀포시 천제연로208번길 3,제주특별자치도 서귀포시 중문동,5_75%~90%,4,2_03_06,2_25_29,F,42,50130,11200
8,2022,협재타운,4562301384,1,요식/유흥,5,유흥,제주특별자치도 제주시 한림읍 협재1길 1,제주특별자치도 제주시 한림읍 협재리,6_90%미만,2,1_00_03,2_25_29,M,42,50110,25031
9,2022,협재타운,4562301384,1,요식/유흥,5,유흥,제주특별자치도 제주시 한림읍 협재1길 1,제주특별자치도 제주시 한림읍 협재리,6_90%미만,3,1_00_03,4_35_39,F,42,50110,25031
10,2022,협재타운,4562301384,1,요식/유흥,5,유흥,제주특별자치도 제주시 한림읍 협재1길 1,제주특별자치도 제주시 한림읍 협재리,6_90%미만,6,8_21_24,3_30_34,M,42,50110,25031
11,2022,뮤직앤뮤직,1726600373,1,요식/유흥,5,유흥,제주특별자치도 서귀포시 표선면 표선중앙로 89,제주특별자치도 서귀포시 표선면 표선리,6_90%미만,2,2_03_06,3_30_34,M,42,50130,32021
12,2021,중문마사지,7869100306,1,요식/유흥,5,유흥,제주특별자치도 서귀포시 중문관광로 348,제주특별자치도 서귀포시 중문동,5_75%~90%,5,6_15_18,2_25_29,M,42,50130,11200
13,2022,엔츠노래타운,7240800136,1,요식/유흥,5,유흥,제주 제주시 은남4길 46,제주특별자치도 제주시 연동,6_90%미만,4,8_21_24,3_30_34,M,42,50110,13700
14,2022,엔츠노래타운,7240800136,1,요식/유흥,5,유흥,제주 제주시 은남4길 46,제주특별자치도 제주시 연동,6_90%미만,5,3_06_09,3_30_34,M,42,50110,13700
15,2022,주식회사링크,7538702194,1,요식/유흥,5,유흥,제주특별자치도 제주시 신대로16길 44,제주특별자치도 제주시 연동,4_50%~75%,6,2_03_06,1_20_24,M,42,50110,13700
16,2022,주식회사링크,7538702194,1,요식/유흥,5,유흥,제주특별자치도 제주시 신대로16길 44,제주특별자치도 제주시 연동,4_50%~75%,6,8_21_24,3_30_34,M,42,50110,13700
17,2022,vip노래연습장,7600801602,1,요식/유흥,5,유흥,제주특별자치도 제주시 조천읍 조함해안로 496,제주특별자치도 제주시 조천읍 함덕리,5_75%~90%,3,7_18_21,4_35_39,M,42,50110,25924
18,2022,vip노래연습장,7600801602,1,요식/유흥,5,유흥,제주특별자치도 제주시 조천읍 조함해안로 496,제주특별자치도 제주시 조천읍 함덕리,5_75%~90%,3,8_21_24,4_35_39,M,42,50110,25924
19,2021,vip노래연습장,7600801602,1,요식/유흥,5,유흥,제주특별자치도 제주시 조천읍 조함해안로 496,제주특별자치도 제주시 조천읍 함덕리,5_75%~90%,5,8_21_24,4_35_39,M,42,50110,25924
20,2022,vip노래연습장,7600801602,1,요식/유흥,5,유흥,제주특별자치도 제주시 조천읍 조함해안로 496,제주특별자치도 제주시 조천읍 함덕리,5_75%~90%,5,8_21_24,3_30_34,M,42,50110,25924
21,2022,vip노래연습장,7600801602,1,요식/유흥,5,유흥,제주특별자치도 제주시 조천읍 조함해안로 496,제주특별자치도 제주시 조천읍 함덕리,5_75%~90%,7,8_21_24,2_25_29,F,42,50110,25924
22,2022,링코제주시청점,5994000898,1,요식/유흥,5,유흥,제주특별자치도 제주시 신성로13길 5,제주특별자치도 제주시 이도이동,6_90%미만,1,2_03_06,3_30_34,F,42,50110,10400
23,2021,제스타노래타운,5393900565,1,요식/유흥,5,유흥,제주특별자치도 서귀포시 김정문화로27번길 10-3,제주특별자치도 서귀포시 강정동,6_90%미만,6,8_21_24,4_35_39,M,42,50130,11600
24,2022,뉴박하 주식회사,5248801838,1,요식/유흥,5,유흥,제주특별자치도 제주시 연동10길 16,제주특별자치도 제주시 연동,4_50%~75%,7,8_21_24,4_35_39,M,42,50110,13700
25,2022,별밤지기노래타운,8086300205,1,요식/유흥,5,유흥,제주 서귀포시 중문관광로72번길 29-9,제주특별자치도 서귀포시 색달동,6_90%미만,2,8_21_24,3_30_34,F,42,50130,11900
26,2022,빠라빠빠노래타운,3721801419,1,요식/유흥,5,유흥,제주특별자치도 제주시 신광로 36,제주특별자치도 제주시 연동,5_75%~90%,4,8_21_24,2_25_29,M,42,50110,13700
27,2022,엔츠노래타운서귀점,6162834819,1,요식/유흥,5,유흥,제주 서귀포시 명동로 16,제주특별자치도 서귀포시 서귀동,6_90%미만,7,1_00_03,3_30_34,M,42,50130,10100
28,2022,(주)준코-제주시청점,4268500252,1,요식/유흥,5,유흥,제주 제주시 서광로32길 4,제주특별자치도 제주시 이도이동,5_75%~90%,3,8_21_24,1_20_24,M,42,50110,10400
29,2021,(주)준코-제주시청점,4268500252,1,요식/유흥,5,유흥,제주 제주시 서광로32길 4,제주특별자치도 제주시 이도이동,6_90%미만,7,1_00_03,3_30_34,M,42,50110,10400
30,2021,락휴노래타운서귀포점,5170800917,1,요식/유흥,5,유흥,제주특별자치도 서귀포시 중정로62번길 4,제주특별자치도 서귀포시 서귀동,6_90%미만,4,7_18_21,1_20_24,M,42,50130,10100
31,2022,락휴노래타운서귀포점,5170800917,1,요식/유흥,5,유흥,제주특별자치도 서귀포시 중정로62번길 4,제주특별자치도 서귀포시 서귀동,6_90%미만,4,8_21_24,1_20_24,M,42,50130,10100
32,2021,락휴노래타운서귀포점,5170800917,1,요식/유흥,5,유흥,제주특별자치도 서귀포시 중정로62번길 4,제주특별자치도 서귀포시 서귀동,6_90%미만,5,8_21_24,3_30_34,M,42,50130,10100
