,YR,MCT_NM,MCT_BRN,LG_CAT,LG_CAT_NM,MD_CAT,MD_CAT_NM,MCT_BSE_AR,ADDR_new,MNTH_SALES_PCTL,DAW_CCD,APV_TMT_CD,AGE_GP,SEX_CCD,UE_CT,SGNG_CD,LGDNG_CD
0,2022,와인#,7603900873,2,유통,9,기타유통,제주특별자치도 제주시 연북로 685,제주특별자치도 제주시 이도이동,6_90%미만,5,8_21_24,4_35_39,F,42,50110,10400
1,2021,와인씨,1344700574,2,유통,9,기타유통,제주특별자치도 서귀포시 안덕면 난드르로 13,제주특별자치도 서귀포시 안덕면 창천리,6_90%미만,6,7_18_21,2_25_29,F,42,50130,31022
2,2021,와인씨,1344700574,2,유통,9,기타유통,제주특별자치도 서귀포시 안덕면 난드르로 13,제주특별자치도 서귀포시 안덕면 창천리,6_90%미만,7,5_12_15,3_30_34,F,42,50130,31022
3,2021,아임와인,1181700430,2,유통,9,기타유통,제주 제주시 애월읍 학원동길 17-16,제주특별자치도 제주시 애월읍 하귀2리,6_90%미만,3,6_15_18,4_35_39,F,42,50110,25341
4,2022,아임와인,1181700430,2,유통,9,기타유통,제주 제주시 애월읍 학원동길 17-16,제주특별자치도 제주시 애월읍 하귀2리,6_90%미만,3,6_15_18,3_30_34,M,42,50110,25341
5,2021,아임와인,1181700430,2,유통,9,기타유통,제주 제주시 애월읍 학원동길 17-16,제주특별자치도 제주시 애월읍 하귀2리,6_90%미만,4,6_15_18,2_25_29,F,42,50110,25341
6,2022,아임와인,1181700430,2,유통,9,기타유통,제주 제주시 애월읍 학원동길 17-16,제주특별자치도 제주시 애월읍 하귀2리,6_90%미만,6,6_15_18,3_30_34,F,42,50110,25341
7,2022,낭만와인샵,2073061532,2,유통,9,기타유통,제주특별자치도 제주시 남성로 158-11,제주특별자치도 제주시 삼도이동,6_90%미만,4,5_12_15,1_20_24,F,42,50110,10600
8,2022,낭만와인샵,2073061532,2,유통,9,기타유통,제주특별자치도 제주시 남성로 158-11,제주특별자치도 제주시 삼도이동,6_90%미만,6,7_18_21,4_35_39,M,42,50110,10600
9,2022,낭만와인샵,2073061532,2,유통,9,기타유통,제주특별자치도 제주시 남성로 158-11,제주특별자치도 제주시 삼도이동,6_90%미만,7,7_18_21,1_20_24,F,42,50110,10600
10,2022,삐꼴라상점,3482800944,2,유통,9,기타유통,제주특별자치도 제주시 애월읍 하소로 769-58,제주특별자치도 제주시 애월읍 유수암리,4_50%~75%,4,6_15_18,2_25_29,F,42,50110,25342
11,2021,삐꼴라상점,3482800944,2,유통,9,기타유통,제주특별자치도 제주시 애월읍 하소로 769-58,제주특별자치도 제주시 애월읍 유수암리,3_25%~50%,6,6_15_18,3_30_34,F,70,50110,25342
12,2021,삐꼴라상점,3482800944,2,유통,9,기타유통,제주특별자치도 제주시 애월읍 하소로 769-58,제주특별자치도 제주시 애월읍 유수암리,3_25%~50%,7,5_12_15,3_30_34,M,42,50110,25342
13,2021,와인하우스,4863500792,2,유통,9,기타유통,제주특별자치도 서귀포시 천제연로 166,제주특별자치도 서귀포시 중문동,5_75%~90%,2,6_15_18,3_30_34,F,42,50130,11200
