,CL_NM,TRRSRT_NM,ADDR,ADDR_new,TEL_NO,TOT_ENTRN_NMPR_CO,SETLE_PRICE,ENTRN_DE,SGNG_CD,LGDNG_CD
0,숙박,토스카나호텔,제주 서귀포시 용흥로66번길 158-7,제주특별자치도 서귀포시 강정동,647357000.0,2,166650,20211103,50130,11600
1,숙박,토스카나호텔,제주 서귀포시 용흥로66번길 158-7,제주특별자치도 서귀포시 강정동,647357000.0,3,82500,20211104,50130,11600
2,숙박,토스카나호텔,제주 서귀포시 용흥로66번길 158-7,제주특별자치도 서귀포시 강정동,647357000.0,2,53350,20211104,50130,11600
3,숙박,토스카나호텔,제주 서귀포시 용흥로66번길 158-7,제주특별자치도 서귀포시 강정동,647357000.0,2,166650,20211104,50130,11600
4,숙박,토스카나호텔,제주 서귀포시 용흥로66번길 158-7,제주특별자치도 서귀포시 강정동,647357000.0,3,72300,20211106,50130,11600
5,숙박,토스카나호텔,제주 서귀포시 용흥로66번길 158-7,제주특별자치도 서귀포시 강정동,647357000.0,2,166650,20211111,50130,11600
6,숙박,토스카나호텔,제주 서귀포시 용흥로66번길 158-7,제주특별자치도 서귀포시 강정동,647357000.0,2,69200,20211112,50130,11600
7,숙박,토스카나호텔,제주 서귀포시 용흥로66번길 158-7,제주특별자치도 서귀포시 강정동,647357000.0,3,72300,20211113,50130,11600
8,숙박,토스카나호텔,제주 서귀포시 용흥로66번길 158-7,제주특별자치도 서귀포시 강정동,647357000.0,2,34600,20211114,50130,11600
9,숙박,토스카나호텔,제주 서귀포시 용흥로66번길 158-7,제주특별자치도 서귀포시 강정동,647357000.0,2,55000,20211114,50130,11600
10,숙박,토스카나호텔,제주 서귀포시 용흥로66번길 158-7,제주특별자치도 서귀포시 강정동,647357000.0,2,55000,20211114,50130,11600
11,숙박,토스카나호텔,제주 서귀포시 용흥로66번길 158-7,제주특별자치도 서귀포시 강정동,647357000.0,3,257700,20211114,50130,11600
12,숙박,토스카나호텔,제주 서귀포시 용흥로66번길 158-7,제주특별자치도 서귀포시 강정동,647357000.0,3,257700,20211114,50130,11600
13,숙박,토스카나호텔,제주 서귀포시 용흥로66번길 158-7,제주특별자치도 서귀포시 강정동,647357000.0,5,393500,20211118,50130,11600
14,숙박,토스카나호텔,제주 서귀포시 용흥로66번길 158-7,제주특별자치도 서귀포시 강정동,647357000.0,2,53350,20211119,50130,11600
15,숙박,토스카나호텔,제주 서귀포시 용흥로66번길 158-7,제주특별자치도 서귀포시 강정동,647357000.0,1,27500,20211120,50130,11600
16,숙박,토스카나호텔,제주 서귀포시 용흥로66번길 158-7,제주특별자치도 서귀포시 강정동,647357000.0,1,27500,20211120,50130,11600
17,숙박,토스카나호텔,제주 서귀포시 용흥로66번길 158-7,제주특별자치도 서귀포시 강정동,647357000.0,2,53350,20211120,50130,11600
18,숙박,토스카나호텔,제주 서귀포시 용흥로66번길 158-7,제주특별자치도 서귀포시 강정동,647357000.0,2,53350,20211121,50130,11600
19,숙박,토스카나호텔,제주 서귀포시 용흥로66번길 158-7,제주특별자치도 서귀포시 강정동,647357000.0,2,166650,20211122,50130,11600
20,숙박,토스카나호텔,제주 서귀포시 용흥로66번길 158-7,제주특별자치도 서귀포시 강정동,647357000.0,2,34600,20211124,50130,11600
21,숙박,토스카나호텔,제주 서귀포시 용흥로66번길 158-7,제주특별자치도 서귀포시 강정동,647357000.0,2,171800,20211125,50130,11600
22,숙박,토스카나호텔,제주 서귀포시 용흥로66번길 158-7,제주특별자치도 서귀포시 강정동,647357000.0,3,221700,20211125,50130,11600
