,Unnamed: 0,CL_NM,TRRSRT_NM,ADDR,ADDR_new,TEL_NO,TOT_ENTRN_NMPR_CO,SETLE_PRICE,ENTRN_DE,SGNG_CD,LGDNG_CD
0,131612,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,4,44000,20210902,50110,31030
1,131643,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,22000,20210906,50110,31030
2,131659,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,1,11000,20210908,50110,31030
3,131662,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,4,44000,20210908,50110,31030
4,131666,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,1,11000,20210908,50110,31030
5,131698,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,22000,20210911,50110,31030
6,131702,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,1,11000,20210911,50110,31030
7,131735,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,4,39000,20210914,50110,31030
8,131796,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,20000,20210920,50110,31030
9,131800,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,1,11000,20210920,50110,31030
10,131801,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,22000,20210920,50110,31030
11,131802,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,1,9000,20210920,50110,31030
12,131839,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,5,45000,20210921,50110,31030
13,131858,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,22000,20210923,50110,31030
14,131861,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,22000,20210924,50110,31030
15,131876,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,1,11000,20210926,50110,31030
16,131892,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,22000,20210928,50110,31030
17,131901,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,3,28000,20210930,50110,31030
18,131903,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,1,11000,20210930,50110,31030
19,131907,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,22000,20210930,50110,31030
20,314830,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,22000,20211002,50110,31030
21,314833,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,4,39000,20211002,50110,31030
22,314868,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,22000,20211005,50110,31030
23,314898,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,3,28000,20211007,50110,31030
24,314913,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,22000,20211009,50110,31030
25,314924,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,3,33000,20211010,50110,31030
26,314954,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,1,11000,20211012,50110,31030
27,314962,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,1,11000,20211012,50110,31030
28,314966,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,22000,20211012,50110,31030
