,Unnamed: 0,CL_NM,TRRSRT_NM,ADDR,ADDR_new,TEL_NO,TOT_ENTRN_NMPR_CO,SETLE_PRICE,ENTRN_DE,SGNG_CD,LGDNG_CD
0,131627,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,2,16200,20210903,50130,10700
1,131646,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,3,17100,20210906,50130,10700
2,131647,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,3,17100,20210906,50130,10700
3,131649,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,2,16200,20210906,50130,10700
4,131650,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,2,16200,20210906,50130,10700
5,131773,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,4,32400,20210918,50130,10700
6,131779,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,3,24300,20210918,50130,10700
7,131781,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,2,16200,20210918,50130,10700
8,131790,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,4,32400,20210919,50130,10700
9,131791,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,3,22500,20210919,50130,10700
10,131797,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,4,30600,20210920,50130,10700
11,131811,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,3,20700,20210920,50130,10700
12,131883,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,3,20700,20210926,50130,10700
13,131888,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,2,16200,20210928,50130,10700
14,131897,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,4,32400,20210929,50130,10700
15,314819,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,1,8100,20211001,50130,10700
16,314825,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,5,29700,20211002,50130,10700
17,314845,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,4,32400,20211004,50130,10700
18,314854,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,1,8100,20211004,50130,10700
19,314855,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,4,25200,20211004,50130,10700
20,314875,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,2,16200,20211006,50130,10700
21,314895,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,2,16200,20211007,50130,10700
22,314897,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,2,16200,20211007,50130,10700
23,314915,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,4,32400,20211009,50130,10700
24,314921,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,5,36000,20211010,50130,10700
25,314928,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,5,40500,20211010,50130,10700
26,314937,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,5,33300,20211010,50130,10700
27,314941,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,2,16200,20211011,50130,10700
28,315004,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,2,16200,20211014,50130,10700
29,315006,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,2,16200,20211014,50130,10700
30,315016,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,2,16200,20211014,50130,10700
31,315064,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,3,24300,20211017,50130,10700
32,315082,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,2,15720,20211018,50130,10700
33,315094,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,2,16200,20211019,50130,10700
34,315149,자연,상효원,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동,647332200.0,2,16200,20211024,50130,10700
