,CL_NM,TRRSRT_NM,ADDR,ADDR_new,TEL_NO,TOT_ENTRN_NMPR_CO,SETLE_PRICE,ENTRN_DE,SGNG_CD,LGDNG_CD
0,기타,봄그리고가을리조트,제주 서귀포시 성산읍 해맞이해안로 2660 시흥근생및주택,제주특별자치도 서귀포시 성산읍 시흥리,647842211.0,2,18000,20220301,50130,25923
1,기타,토스카나호텔,제주 서귀포시 용흥로66번길 158-7,제주특별자치도 서귀포시 강정동,647357000.0,2,57230,20220301,50130,11600
2,기타,산방산탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,제주특별자치도 서귀포시 안덕면 사계리,647928300.0,5,37500,20220301,50130,31025
3,기타,해비치호텔앤드리조트(섬모라),제주 서귀포시 표선면 민속해안로 537,제주특별자치도 서귀포시 표선면 표선리,647808322.0,1,30600,20220301,50130,32021
4,기타,산방산탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,제주특별자치도 서귀포시 안덕면 사계리,647928300.0,4,40800,20220301,50130,31025
5,기타,그림카페,제주 서귀포시 안덕면 녹차분재로 218,제주특별자치도 서귀포시 안덕면 서광리,647949224.0,2,18800,20220301,50130,31027
6,기타,망고홀릭종달점,제주 제주시 구좌읍 종달논길 18,제주특별자치도 제주시 구좌읍 종달리,647847709.0,3,0,20220301,50110,25632
7,기타,산방산탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,제주특별자치도 서귀포시 안덕면 사계리,647928300.0,2,20400,20220301,50130,31025
8,기타,그림카페,제주 서귀포시 안덕면 녹차분재로 218,제주특별자치도 서귀포시 안덕면 서광리,647949224.0,2,18800,20220301,50130,31027
9,기타,더힐링타임,제주 제주시 서해안로 652,제주특별자치도 제주시 용담삼동,647458700.0,2,0,20220304,50110,11000
10,기타,본초족욕 수목원테마파크,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647493370.0,4,32000,20220301,50110,13700
11,기타,해비치호텔앤드리조트(섬모라),제주 서귀포시 표선면 민속해안로 537,제주특별자치도 서귀포시 표선면 표선리,647808322.0,4,171000,20220301,50130,32021
12,기타,오설록 티뮤지엄,제주 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리,18993929.0,2,8730,20220301,50130,31027
13,기타,본초족욕 수목원테마파크,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647493370.0,2,35800,20220301,50110,13700
14,기타,해비치호텔앤드리조트(섬모라),제주 서귀포시 표선면 민속해안로 537,제주특별자치도 서귀포시 표선면 표선리,647808322.0,4,187200,20220301,50130,32021
15,기타,해비치호텔앤드리조트(섬모라),제주 서귀포시 표선면 민속해안로 537,제주특별자치도 서귀포시 표선면 표선리,647808322.0,2,84800,20220301,50130,32021
16,기타,오설록 티뮤지엄,제주 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리,18993929.0,5,112000,20220301,50130,31027
17,기타,오설록 티뮤지엄,제주 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리,18993929.0,5,0,20220301,50130,31027
18,기타,본초족욕 수목원테마파크,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647493370.0,10,0,20220301,50110,13700
19,기타,본초족욕 수목원테마파크,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647493370.0,2,16000,20220301,50110,13700
20,기타,산방산탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,제주특별자치도 서귀포시 안덕면 사계리,647928300.0,1,10200,20220301,50130,31025
21,기타,오설록 티뮤지엄,제주 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리,18993929.0,2,0,20220301,50130,31027
22,기타,본초족욕 수목원테마파크,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647493370.0,2,16000,20220301,50110,13700
23,기타,본초족욕 수목원테마파크,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647493370.0,4,32000,20220301,50110,13700
24,기타,본초족욕 수목원테마파크,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647493370.0,2,16000,20220301,50110,13700
25,기타,산방산탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,제주특별자치도 서귀포시 안덕면 사계리,647928300.0,2,20400,20220301,50130,31025
26,기타,산방산탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,제주특별자치도 서귀포시 안덕면 사계리,647928300.0,2,20400,20220301,50130,31025
27,기타,바다의향기,제주 제주시 도두항서길 71,제주특별자치도 제주시 도두일동,647136006.0,4,124160,20220301,50110,12700
28,기타,본초족욕 수목원테마파크,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647493370.0,2,16000,20220301,50110,13700
29,기타,봄그리고가을리조트,제주 서귀포시 성산읍 해맞이해안로 2660 시흥근생및주택,제주특별자치도 서귀포시 성산읍 시흥리,647842211.0,2,34540,20220301,50130,25923
30,기타,해비치호텔앤드리조트(섬모라),제주 서귀포시 표선면 민속해안로 537,제주특별자치도 서귀포시 표선면 표선리,647808322.0,2,185000,20220301,50130,32021
31,기타,산방산탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,제주특별자치도 서귀포시 안덕면 사계리,647928300.0,1,10200,20220302,50130,31025
32,기타,봄그리고가을리조트,제주 서귀포시 성산읍 해맞이해안로 2660 시흥근생및주택,제주특별자치도 서귀포시 성산읍 시흥리,647842211.0,3,27000,20220302,50130,25923
33,기타,봄그리고가을리조트,제주 서귀포시 성산읍 해맞이해안로 2660 시흥근생및주택,제주특별자치도 서귀포시 성산읍 시흥리,647842211.0,1,9000,20220302,50130,25923
34,기타,해비치호텔앤드리조트(섬모라),제주 서귀포시 표선면 민속해안로 537,제주특별자치도 서귀포시 표선면 표선리,647808322.0,1,30600,20220302,50130,32021
35,기타,산방산탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,제주특별자치도 서귀포시 안덕면 사계리,647928300.0,2,20400,20220302,50130,31025
36,기타,본초족욕 수목원테마파크,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647493370.0,3,24000,20220302,50110,13700
37,기타,해비치호텔앤드리조트(섬모라),제주 서귀포시 표선면 민속해안로 537,제주특별자치도 서귀포시 표선면 표선리,647808322.0,2,93600,20220302,50130,32021
38,기타,해비치호텔앤드리조트(섬모라),제주 서귀포시 표선면 민속해안로 537,제주특별자치도 서귀포시 표선면 표선리,647808322.0,2,93600,20220302,50130,32021
39,기타,산방산탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,제주특별자치도 서귀포시 안덕면 사계리,647928300.0,2,20400,20220302,50130,31025
40,기타,그림카페,제주 서귀포시 안덕면 녹차분재로 218,제주특별자치도 서귀포시 안덕면 서광리,647949224.0,3,28200,20220302,50130,31027
41,기타,본초족욕 수목원테마파크,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647493370.0,4,32000,20220302,50110,13700
42,기타,그림카페,제주 서귀포시 안덕면 녹차분재로 218,제주특별자치도 서귀포시 안덕면 서광리,647949224.0,2,18800,20220302,50130,31027
43,기타,테라피샹그릴라,제주 서귀포시 태평로439번길 44 2층,제주특별자치도 서귀포시 서귀동,647388339.0,1,50000,20220302,50130,10100
44,기타,산방산탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,제주특별자치도 서귀포시 안덕면 사계리,647928300.0,1,10200,20220302,50130,31025
45,기타,본초족욕 수목원테마파크,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647493370.0,2,16000,20220302,50110,13700
46,기타,테라피샹그릴라,제주 서귀포시 태평로439번길 44 2층,제주특별자치도 서귀포시 서귀동,647388339.0,2,100000,20220302,50130,10100
47,기타,본초족욕 수목원테마파크,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647493370.0,2,16000,20220302,50110,13700
48,기타,본초족욕 수목원테마파크,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647493370.0,3,24000,20220302,50110,13700
49,기타,본초족욕 수목원테마파크,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647493370.0,3,24000,20220302,50110,13700
50,기타,산방산탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,제주특별자치도 서귀포시 안덕면 사계리,647928300.0,3,30600,20220302,50130,31025
51,기타,산방산탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,제주특별자치도 서귀포시 안덕면 사계리,647928300.0,1,10200,20220302,50130,31025
52,기타,봄그리고가을리조트,제주 서귀포시 성산읍 해맞이해안로 2660 시흥근생및주택,제주특별자치도 서귀포시 성산읍 시흥리,647842211.0,2,34540,20220302,50130,25923
53,기타,봄그리고가을리조트,제주 서귀포시 성산읍 해맞이해안로 2660 시흥근생및주택,제주특별자치도 서귀포시 성산읍 시흥리,647842211.0,1,9000,20220303,50130,25923
54,기타,봄그리고가을리조트,제주 서귀포시 성산읍 해맞이해안로 2660 시흥근생및주택,제주특별자치도 서귀포시 성산읍 시흥리,647842211.0,2,18000,20220303,50130,25923
55,기타,봄그리고가을리조트,제주 서귀포시 성산읍 해맞이해안로 2660 시흥근생및주택,제주특별자치도 서귀포시 성산읍 시흥리,647842211.0,2,18000,20220303,50130,25923
56,기타,그림카페,제주 서귀포시 안덕면 녹차분재로 218,제주특별자치도 서귀포시 안덕면 서광리,647949224.0,1,9400,20220303,50130,31027
57,기타,본초족욕 수목원테마파크,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647493370.0,4,32000,20220303,50110,13700
58,기타,산방산탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,제주특별자치도 서귀포시 안덕면 사계리,647928300.0,1,10200,20220303,50130,31025
59,기타,오설록 티뮤지엄,제주 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리,18993929.0,2,9000,20220303,50130,31027
60,기타,산방산탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,제주특별자치도 서귀포시 안덕면 사계리,647928300.0,2,0,20220304,50130,31025
61,기타,2월22일,제주 제주시 오라로18길 10-1,제주특별자치도 제주시 오라일동,1068509095.0,1,8730,20220303,50110,11900
