,CL_NM,TRRSRT_NM,ADDR,ADDR_new,TEL_NO,TOT_ENTRN_NMPR_CO,SETLE_PRICE,ENTRN_DE,SGNG_CD,LGDNG_CD
0,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,2,21000,20220301,50130,31024
1,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,1,17500,20220301,50130,31024
2,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,3,38500,20220301,50130,31024
3,키즈,돈키쥬쥬,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647555920.0,3,18000,20220301,50110,13700
4,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,2,21000,20220301,50130,31024
5,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,1,17500,20220301,50130,31024
6,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,3,38500,20220301,50130,31024
7,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,3,67300,20220301,50130,31024
8,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,3,38500,20220301,50130,31024
9,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,3,38500,20220302,50130,31024
10,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,5,0,20220302,50130,31024
11,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,3,38500,20220302,50130,31024
12,키즈,공룡랜드,제주 제주시 애월읍 광령평화2길 1,제주특별자치도 제주시 애월읍 광령리,647463060.0,2,15140,20220303,50110,25321
13,키즈,돈키쥬쥬,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647555920.0,2,12000,20220303,50110,13700
14,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,3,38500,20220303,50130,31024
15,키즈,돈키쥬쥬,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647555920.0,3,18000,20220303,50110,13700
16,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,3,38500,20220304,50130,31024
17,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,3,38500,20220305,50130,31024
18,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,4,56000,20220305,50130,31024
19,키즈,돈키쥬쥬,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647555920.0,2,71800,20220305,50110,13700
20,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,3,38500,20220305,50130,31024
21,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,3,0,20220307,50130,31024
22,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,3,38500,20220306,50130,31024
23,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,3,38500,20220306,50130,31024
24,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,2,81800,20220306,50130,31024
25,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,1,17500,20220306,50130,31024
26,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,3,38500,20220306,50130,31024
27,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,1,17500,20220306,50130,31024
28,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,1,17500,20220306,50130,31024
29,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,2,81800,20220306,50130,31024
30,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,2,81800,20220306,50130,31024
31,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,1,10500,20220306,50130,31024
32,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,1,17500,20220306,50130,31024
33,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,1,10500,20220306,50130,31024
34,키즈,뽀로로앤타요 테마파크,제주 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리,647428555.0,3,38500,20220307,50130,31024
