,AREA_NM,주소,태그,주요목적,주요목적기타,co2,lg_cat,md_cat
0,성산일출봉(UNESCO 세계자연유산),제주특별자치도 서귀포시 성산읍 일출로 284-12,"#일출 #오름 #경관/포토
#부모 #자연경관 #포토스팟 #유네스코",등산,산책로. 올레코스. 오름,7.606409026090909,자연,산
2,카멜리아힐,제주특별자치도 서귀포시 안덕면 병악로 166,"#경관/포토 #커플 #아이
#맑음 #겨울 #힐링 #자연경관 #포토스팟 #어린이 #어트랙션 #동백 #수국","공연/전시,포토스팟",,3.68769097625,자연,
5,함덕해수욕장,제주특별자치도 제주시 조천읍 조함해안로 519-10,"#해수욕장 #액티비티 #아이
#맑음 #여름 #자연경관 #체험 #레저/체험 #해변 #물놀이 #어린이 #수상레저",,,9.37718565818182,자연,바다
6,산굼부리,제주특별자치도 제주시 조천읍 비자림로 768,"#오름 #걷기/등산 #친구
#맑음 #가을 #우수관광사업체 #자연경관 #억새",등산,"산책로, 등산로",6.074776461454545,자연,산
8,섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107,"#일출 #해변 #경관/포토
#커플 #맑음 #가을 #자연경관 #포토스팟 #봄꽃 #유채꽃","등산,기타",산책로,1.6391605130657607,자연,바다
10,한라산국립공원,제주특별자치도 제주시 1100로 2070-61,"#산 #걷기/등산 #경관/포토
#친구 #사계절 #자연경관 #포토스팟 #한라산 #언택트 #단풍 #유네스코",,,16.413972332999997,자연,산
11,성산일출봉(UNESCO 세계자연유산),제주특별자치도 서귀포시 성산읍 일출로 284-12,"#일출 #오름 #경관/포토
#부모 #자연경관 #포토스팟 #유네스코",등산,산책로. 올레코스. 오름,7.606409026090909,자연,산
14,비자림,제주특별자치도 제주시 구좌읍 비자숲길 55,"#걷기/등산 #아이 #흐림
#여름 #힐링 #자연경관 #어린이 #수국",기타,산책로,4.532504911181818,자연,산
15,천지연폭포,제주특별자치도 서귀포시 남성중로 2-15,"#폭포 #밤 #경관/포토
#부모 #맑음 #여름 #자연경관 #포토스팟 #유네스코",,,7.058098555300001,자연,산
17,광치기해변,제주특별자치도 서귀포시 성산읍 섭지코지로 63,"#일출 #해변 #경관/포토
#흐림 #봄 #자연경관 #포토스팟 #봄꽃 #유채꽃",,,1.216786385,자연,바다
18,김녕해수욕장,제주특별자치도 제주시 구좌읍 구좌해안로 237,"#해수욕장 #액티비티 #아이
#맑음 #여름 #자연경관 #체험 #레저/체험 #해변 #물놀이 #어린이 #수상레저",,,0.1354669344545454,자연,바다
21,쇠소깍,제주특별자치도 서귀포시 쇠소깍로 128,"#계곡 #휴식/힐링 #액티비티
#커플 #맑음 #여름 #자연경관 #체험 #레저/체험 #수상레저 #어트랙션 #물놀이",체험,,4.4755842147,자연,바다
22,제주4.3평화공원,제주특별자치도 제주시 명림로 430,"#테마공원 #부모 #커플
#혼자 #친구 #아이 #맑음 #흐림 #미술/박물관 #실내 #실내관광지 #어트랙션 #봄꽃 #벚꽃",,,23.250042445454547,테마파크/테마관광지,유적지외
28,정방폭포,제주특별자치도 서귀포시 칠십리로214번길 37,"#폭포 #경관/포토 #커플
#여름 #자연경관 #포토스팟","포토스팟,기타",전망 관람,1.4288709758,자연,산
29,용두암,제주특별자치도 제주시 용두암길 15,"#일출 #해변 #경관/포토
#맑음 #자연경관 #포토스팟","기타,포토스팟",전망 관람,0.7282364999,자연,바다
30,제주절물자연휴양림,제주특별자치도 제주시 명림로 584,"#휴양림 #걷기/등산 #휴식/힐링
#친구 #커플 #흐림 #여름 #자연경관 #수국",기타,"산책로, 휴양림",4.831688882772545,자연,산
33,한림공원,제주특별자치도 제주시 한림읍 한림로 300,"#휴식/힐링 #테마공원 #아이
#맑음 #봄 #우수관광사업체 #동굴 #어린이 #매화 #수국 #안전여행스탬프","포토스팟,기타",,20.802554221,테마파크/테마관광지,유적지외
34,금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10,"#일몰 #해수욕장 #액티비티
#아이 #맑음 #여름 #자연경관 #체험 #레저/체험 #해변 #물놀이 #어린이 #수상레저",,,0.4378091255,자연,바다
36,천제연폭포,제주특별자치도 서귀포시 천제연로 132,"#폭포 #경관/포토 #커플
#아이 #맑음 #여름 #포토스팟 #어린이 #봄꽃 #벚꽃",,,3.0365489801,자연,산
37,방주교회,제주특별자치도 서귀포시 안덕면 산록남로762번길 113,"#부모 #커플 #친구
#아이 #맑음 #사계절 #문화관광 #어린이 #어트랙션",포토스팟,"종교시설, 건축물",3.2762144017272727,공연/전시,
38,이호테우말등대,제주특별자치도 제주시 서해안로 58,"#등대 #일몰 #경관/포토
#커플 #맑음 #가을 #포토스팟",포토스팟,산책,0.0822508092727273,레저/체험,전망대
39,중문색달해수욕장,제주특별자치도 서귀포시 중문관광로72번길 29-51,"#해수욕장 #액티비티 #친구
#맑음 #여름 #자연경관 #체험 #레저/체험 #해변 #물놀이 #수상레저",,,0.3444191705,자연,바다
40,신창~차귀해안도로,제주특별자치도 제주시 한경면 한경해안로 470,"#일몰 #드라이브 #커플
#맑음 #가을 #자연경관",,,0.5387311439999999,레저/체험,드라이브
41,제주김녕미로공원,제주특별자치도 제주시 구좌읍 만장굴길 122,"#테마공원 #아이 #맑음
#봄 #우수관광사업체 #자연경관 #어린이","포토스팟,기타",산책로,1.976604991181818,자연,
42,성이시돌목장,제주특별자치도 제주시 한림읍 산록남로 53,"#목장 #경관/포토 #커플
#우유 #자연경관 #포토스팟",,,11.1388619299,레저/체험,체험농장
43,휴애리 자연생활공원,제주특별자치도 서귀포시 남원읍 신례동로 256,"#휴식/힐링 #아이 #맑음
#봄 #우수관광사업체 #자연경관 #어린이 #동백 #매화 #수국 #안전여행스탬프","체험,공연/전시,포토스팟",,5.153974308090909,자연,
44,"더럭초등학교(구, 더럭분교)",제주특별자치도 서귀포시 이어도로 36-30,"#해변 #경관/포토 #친구
#커플 #맑음 #자연경관 #포토스팟 #유네스코","공연/전시,기타",전망 관람,3.940095630300001,자연,바다
45,만장굴,제주특별자치도 제주시 구좌읍 만장굴길 182,"#동굴 #경관/포토 #아이
#흐림 #여름 #자연경관 #포토스팟 #어린이 #유네스코",,,2.367661917636364,자연,
48,노리매공원,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15,"#경관/포토 #테마공원 #커플
#맑음 #봄 #자연경관 #포토스팟 #매화",포토스팟,산책,5.2668111442,자연,
50,보롬왓,제주특별자치도 서귀포시 표선면 번영로 2350-104,"#경관/포토 #휴식/힐링 #친구
#커플 #맑음 #봄 #여름 #가을 #자연경관 #포토스팟 #수국",,,1.8583808444,자연,
52,메이즈랜드,제주특별자치도 제주시 구좌읍 비자림로 2134-47,"#부모 #아이 #테마공원
#미술/박물관 #경관/포토 #전시와행사 #우수관광사업체 #실내관광지 #포토스팟 #어린이 #어트랙션",공연/전시,,10.926959602363638,테마파크/테마관광지,유적지외
55,주상절리대(중문대포해안),제주특별자치도 서귀포시 성산읍 삼달로 137,"#예술 #실내 #미술/박물관
#커플 #흐림 #겨울 #문화관광 #어트랙션",공연/전시,,1.1747814623636363,공연/전시,
56,중문관광단지,제주특별자치도 서귀포시 중문관광로72번길 35,"#부모 #커플 #아이
#체험관광 #쇼핑 #어린이 #어트랙션",,,5.907151951990955,테마파크/테마관광지,유적지외
63,선녀와나무꾼,제주특별자치도 제주시 조천읍 선교로 267,"#실내 #테마공원 #커플
#아이 #흐림 #사계절 #실내관광지 #어린이 #어트랙션",,,5.7729005211818185,테마파크/테마관광지,유적지외
64,제주돌문화공원,제주특별자치도 제주시 조천읍 남조로 2023,"#테마공원 #커플 #흐림
#겨울 #실내관광지 #어트랙션","기타,포토스팟,공연/전시",,26.89446750454545,테마파크/테마관광지,유적지외
67,아침미소목장,제주특별자치도 제주시 첨단동길 160-20,"#체험관광 #아이 #맑음
#봄 #체험 #어린이 #어트랙션",,,4.267589911,레저/체험,체험농장
68,용담/용두암 해안도로,제주특별자치도 제주시 서해안로 687-8,"#밤 #해변 #드라이브
#커플 #맑음 #가을 #자연경관",,,0.5063479343,레저/체험,드라이브
71,너븐숭이 4.3기념관,제주특별자치도 제주시 조천읍 북촌3길 3,"#4.3 #실내 #미술/박물관
#부모 #비.눈 #봄 #자연경관 #문화관광 #제주4.3 #역사유적 #어트랙션","공연/전시,기타",문화관광,1.464322960727273,테마파크/테마관광지,유적지
75,제주유리의성,제주특별자치도 제주시 한경면 녹차분재로 462,"#테마공원 #커플 #흐림
#가을 #우수관광사업체 #실내관광지 #어트랙션 #안전여행스탬프","포토스팟,기타,공연/전시",,23.45409057636364,테마파크/테마관광지,유적지외
78,함덕백사장 & 서우봉,제주특별자치도 제주시 조천읍 조함해안로 519-10,"#부모 #커플 #혼자
#친구 #아이 #맑음 #여름 #해변 #문화유적지 #오름 #자연경관 #역사유적 #어린이 #봄꽃 #유채꽃",,,1.0705070975864834,테마파크/테마관광지,유적지
79,소인국테마파크,제주특별자치도 서귀포시 안덕면 중산간서로 1878,"#테마공원 #아이 #봄
#실내관광지 #어린이 #어트랙션","공연/전시,기타",,0.9544145687272728,테마파크/테마관광지,유적지외
80,렛츠런팜제주,제주특별자치도 제주시 조천읍 남조로 1660,"#테마공원 #아이 #꽃
#어린이 #해바라기",,,0.195189372,테마파크/테마관광지,유적지외
82,제주민속촌,제주특별자치도 서귀포시 표선면 민속해안로 631-34,"#문화유적지 #아이 #흐림
#가을 #우수관광사업체 #역사유적 #안전여행스탬프",포토스팟,,1.0705070975864834,테마파크/테마관광지,유적지
84,수월봉 지질트레일,제주특별자치도 제주시 한경면 노을해안로 1013-70,"#지질트레일 #걷기/등산 #친구
#맑음 #가을 #자연경관 #언택트 #유네스코",,,11.438139585545455,자연,산
85,안덕계곡,제주특별자치도 서귀포시 안덕면 일주서로 1524,"#계곡 #액티비티 #커플
#흐림 #봄 #자연경관 #체험 #레저/체험 #어트랙션 #물놀이",,,0.913554079181818,자연,산
