"DL","DL_GD_LCLS_NM","DL_GD_LCLS_CD","DL_GD_MCLS_NM","DL_GD_MCLS_CD","DL_GD_SCLS_NM","DL_GD_SCLS_CD","DL_GD_DCLS_NM","DL_GD_DCLS_CD","SEND_CTPV_NM","SEND_CTPV_CD","SEND_CTGG_NM","SEND_CTGG_CD","SEND_EMD_NM","SEND_LGDNG_CD","INVC_COUNT"
"20210911",식품,"15",가공식품,"1510",누룽지,"151010",누룽지,"15101001",제주특별자치도,"50",제주시,"50110",노형동,"5011012200",4
"20210911",식품,"15",가공식품,"1510",누룽지,"151010",누룽지,"15101001",제주특별자치도,"50",제주시,"50110",회천동,"5011013300",11
"20210911",식품,"15",가공식품,"1510",누룽지,"151010",누룽지,"15101001",제주특별자치도,"50",제주시,"50110",구좌읍 김녕리,"5011025634",22
"20210911",식품,"15",가공식품,"1510",누룽지,"151010",누룽지,"15101001",제주특별자치도,"50",제주시,"50110",조천읍,"5011025900",3
"20210911",식품,"15",가공식품,"1510",누룽지,"151010",누룽지,"15101001",제주특별자치도,"50",제주시,"50110",조천읍 함덕리,"5011025924",173
"20210911",식품,"15",가공식품,"1510",누룽지,"151010",누룽지,"15101001",제주특별자치도,"50",서귀포시,"50130",중문동,"5013011200",3
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",일도일동,"5011010100",2980
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",일도이동,"5011010200",84
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",이도일동,"5011010300",11
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",이도이동,"5011010400",354
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",삼도일동,"5011010500",3
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",건입동,"5011010700",21
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",용담일동,"5011010800",12
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",용담이동,"5011010900",138
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",용담삼동,"5011011000",210
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",화북일동,"5011011100",7
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",화북이동,"5011011200",4
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",삼양일동,"5011011300",40
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",삼양이동,"5011011400",15
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",봉개동,"5011011600",151
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",아라일동,"5011011700",52
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",오라이동,"5011012000",383
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",노형동,"5011012200",107
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",외도일동,"5011012300",3
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",이호일동,"5011012500",26
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",이호이동,"5011012600",38
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",도남동,"5011012900",66
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",오등동,"5011013400",4
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",월평동,"5011013500",2696
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",연동,"5011013700",6066
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",한림읍,"5011025000",50
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",한림읍 한림리,"5011025024",15
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",한림읍 금악리,"5011025025",5
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",한림읍 협재리,"5011025031",76
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",애월읍 광령리,"5011025321",4
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",애월읍 상귀리,"5011025323",3
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",애월읍 소길리,"5011025328",13
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",애월읍 하가리,"5011025330",50
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",애월읍 애월리,"5011025334",104
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",구좌읍 덕천리,"5011025624",10
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",구좌읍 김녕리,"5011025634",47
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",조천읍,"5011025900",129
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",조천읍 신촌리,"5011025921",6673
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",조천읍 와흘리,"5011025922",105
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",조천읍 조천리,"5011025923",7
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",조천읍 함덕리,"5011025924",19
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",조천읍 대흘리,"5011025926",5
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",제주시,"50110",한경면 저지리,"5011031030",8
"20210911",식품,"15",가공식품,"1510",떡,"151011",떡,"15101101",제주특별자치도,"50",서귀포시,"50130",서귀동,"5013010100",8
