LSP_RID,MCT_NM,SEX_CCD,CLN_AGE,AVI_CO_CD_VL,DPF_AOT_CD_VL,ARV_AOT_CD_VL,CNT
20211103,주)대한항공,F,24,KE,GMP,CJU,6
20210920,주)대한항공,F,25,KE,GMP,CJU,6
20220314,주)대한항공,F,25,KE,GMP,CJU,6
20220503,주)대한항공,F,25,KE,GMP,CJU,6
20211015,주)대한항공,M,26,KE,GMP,CJU,6
20211018,주)대한항공,F,26,KE,GMP,CJU,6
20211030,주)대한항공,F,26,KE,GMP,CJU,6
20211117,주)대한항공,M,26,KE,GMP,CJU,6
20220326,주)대한항공,F,26,KE,GMP,CJU,6
20220328,주)대한항공,F,26,KE,GMP,CJU,6
20211103,주)대한항공,F,27,KE,GMP,CJU,6
20211104,주)대한항공,F,27,KE,GMP,CJU,6
20211118,주)대한항공,F,27,KE,GMP,CJU,6
20220302,주)대한항공,F,27,KE,GMP,CJU,6
20220425,주)대한항공,F,27,KE,GMP,CJU,6
20220504,주)대한항공,F,27,KE,GMP,CJU,6
20220516,주)대한항공,F,27,KE,GMP,CJU,6
20220519,주)대한항공,F,27,KE,GMP,CJU,6
20220526,주)대한항공,F,27,KE,GMP,CJU,6
20210906,주)대한항공,F,28,KE,GMP,CJU,6
20210908,주)대한항공,F,28,KE,GMP,CJU,6
20211004,주)대한항공,F,28,KE,GMP,CJU,6
20211027,주)대한항공,F,28,KE,GMP,CJU,6
20211030,주)대한항공,F,28,KE,GMP,CJU,6
20211124,주)대한항공,F,28,KE,GMP,CJU,6
20220317,주)대한항공,F,28,KE,GMP,CJU,6
20220321,주)대한항공,F,28,KE,GMP,CJU,6
20220330,주)대한항공,F,28,KE,GMP,CJU,6
20220331,주)대한항공,F,28,KE,GMP,CJU,6
20220429,주)대한항공,F,28,KE,GMP,CJU,6
20220430,주)대한항공,F,28,KE,GMP,CJU,6
20220503,주)대한항공,F,28,KE,GMP,CJU,6
20220511,주)대한항공,F,28,KE,GMP,CJU,6
20210906,주)대한항공,M,29,KE,GMP,CJU,6
20210909,주)대한항공,F,29,KE,GMP,CJU,6
20211015,주)대한항공,F,29,KE,GMP,CJU,6
20211018,주)대한항공,F,29,KE,GMP,CJU,6
20211019,주)대한항공,M,29,KE,GMP,CJU,6
20211023,주)대한항공,F,29,KE,GMP,CJU,6
20211030,주)대한항공,F,29,KE,GMP,CJU,6
20211104,주)대한항공,M,29,KE,GMP,CJU,6
20211108,주)대한항공,F,29,KE,GMP,CJU,6
20211109,주)대한항공,F,29,KE,GMP,CJU,6
20211122,주)대한항공,F,29,KE,GMP,CJU,6
20220325,주)대한항공,M,29,KE,GMP,CJU,6
20220406,주)대한항공,F,29,KE,GMP,CJU,6
20220407,주)대한항공,F,29,KE,GMP,CJU,6
20220420,주)대한항공,M,29,KE,GMP,CJU,6
20220420,주)대한항공,F,29,KE,GMP,CJU,6
20220526,주)대한항공,F,29,KE,GMP,CJU,6
20220530,주)대한항공,F,29,KE,GMP,CJU,6
20210903,주)대한항공,F,30,KE,GMP,CJU,6
20210904,주)대한항공,M,30,KE,GMP,CJU,6
20210906,주)대한항공,F,30,KE,GMP,CJU,6
20210907,주)대한항공,M,30,KE,GMP,CJU,6
20210925,주)대한항공,F,30,KE,GMP,CJU,6
20210929,주)대한항공,F,30,KE,GMP,CJU,6
20211005,주)대한항공,F,30,KE,GMP,CJU,6
20211011,주)대한항공,F,30,KE,GMP,CJU,6
20211014,주)대한항공,M,30,KE,GMP,CJU,6
20211016,주)대한항공,F,30,KE,GMP,CJU,6
20211019,주)대한항공,F,30,KE,GMP,CJU,6
20211025,주)대한항공,M,30,KE,GMP,CJU,6
20211108,주)대한항공,F,30,KE,GMP,CJU,6
20211113,주)대한항공,F,30,KE,GMP,CJU,6
20211118,주)대한항공,F,30,KE,GMP,CJU,6
20211122,주)대한항공,M,30,KE,GMP,CJU,6
20211123,주)대한항공,F,30,KE,GMP,CJU,6
20211125,주)대한항공,M,30,KE,GMP,CJU,6
20220304,주)대한항공,F,30,KE,GMP,CJU,6
20220317,주)대한항공,F,30,KE,GMP,CJU,6
20220318,주)대한항공,F,30,KE,GMP,CJU,6
20220319,주)대한항공,F,30,KE,GMP,CJU,6
20220322,주)대한항공,F,30,KE,GMP,CJU,6
20220323,주)대한항공,F,30,KE,GMP,CJU,6
20220326,주)대한항공,F,30,KE,GMP,CJU,6
20220411,주)대한항공,M,30,KE,GMP,CJU,6
20220418,주)대한항공,F,30,KE,GMP,CJU,6
20220420,주)대한항공,F,30,KE,GMP,CJU,6
20220421,주)대한항공,F,30,KE,GMP,CJU,6
20220504,주)대한항공,F,30,KE,GMP,CJU,6
20220509,주)대한항공,M,30,KE,GMP,CJU,6
20220519,주)대한항공,F,30,KE,GMP,CJU,6
20220525,주)대한항공,F,30,KE,GMP,CJU,6
20220530,주)대한항공,F,30,KE,GMP,CJU,6
20210901,주)대한항공,F,31,KE,GMP,CJU,6
20210906,주)대한항공,M,31,KE,GMP,CJU,6
20210913,주)대한항공,M,31,KE,GMP,CJU,6
20210920,주)대한항공,M,31,KE,GMP,CJU,6
20211007,주)대한항공,M,31,KE,GMP,CJU,6
20211015,주)대한항공,F,31,KE,GMP,CJU,6
20211016,주)대한항공,F,31,KE,GMP,CJU,6
20211102,주)대한항공,F,31,KE,GMP,CJU,6
20211115,주)대한항공,F,31,KE,GMP,CJU,6
20211119,주)대한항공,M,31,KE,GMP,CJU,6
20220307,주)대한항공,M,31,KE,GMP,CJU,6
20220307,주)대한항공,F,31,KE,PUS,CJU,6
20220315,주)대한항공,F,31,KE,GMP,CJU,6
20220319,주)대한항공,F,31,KE,GMP,CJU,6
20220324,주)대한항공,F,31,KE,GMP,CJU,6
20220331,주)대한항공,F,31,KE,GMP,CJU,6
20220405,주)대한항공,F,31,KE,GMP,CJU,6
20220406,주)대한항공,F,31,KE,GMP,CJU,6
20220408,주)대한항공,F,31,KE,GMP,CJU,6
20220412,주)대한항공,F,31,KE,GMP,CJU,6
20220414,주)대한항공,M,31,KE,GMP,CJU,6
20220425,주)대한항공,M,31,KE,GMP,CJU,6
20220426,주)대한항공,M,31,KE,GMP,CJU,6
20220428,주)대한항공,F,31,KE,GMP,CJU,6
20220505,주)대한항공,F,31,KE,GMP,CJU,6
20220509,주)대한항공,F,31,KE,GMP,CJU,6
20220530,주)대한항공,M,31,KE,GMP,CJU,6
20210906,주)대한항공,F,32,KE,GMP,CJU,6
20210908,주)대한항공,F,32,KE,GMP,CJU,6
20210914,주)대한항공,M,32,KE,GMP,CJU,6
20210917,주)대한항공,M,32,KE,GMP,CJU,6
20211016,주)대한항공,M,32,KE,GMP,CJU,6
20211102,주)대한항공,F,32,KE,GMP,CJU,6
20211106,주)대한항공,F,32,KE,GMP,CJU,6
20220302,주)대한항공,F,32,KE,GMP,CJU,6
20220310,주)대한항공,F,32,KE,GMP,CJU,6
20220312,주)대한항공,F,32,KE,GMP,CJU,6
20220316,주)대한항공,F,32,KE,GMP,CJU,6
20220317,주)대한항공,F,32,KE,GMP,CJU,6
20220321,주)대한항공,M,32,KE,GMP,CJU,6
20220324,주)대한항공,M,32,KE,GMP,CJU,6
20220328,주)대한항공,M,32,KE,GMP,CJU,6
20220401,주)대한항공,F,32,KE,GMP,CJU,6
20220413,주)대한항공,M,32,KE,GMP,CJU,6
20220511,주)대한항공,F,32,KE,GMP,CJU,6
20220516,주)대한항공,F,32,KE,GMP,CJU,6
20220528,주)대한항공,F,32,KE,GMP,CJU,6
20210902,주)대한항공,F,33,KE,GMP,CJU,6
20210906,주)대한항공,M,33,KE,GMP,CJU,6
20210913,주)대한항공,F,33,KE,GMP,CJU,6
20210915,주)대한항공,F,33,KE,GMP,CJU,6
20210920,주)대한항공,M,33,KE,GMP,CJU,6
20210927,주)대한항공,M,33,KE,GMP,CJU,6
20211009,주)대한항공,F,33,KE,GMP,CJU,6
20211021,주)대한항공,F,33,KE,GMP,CJU,6
20211023,주)대한항공,F,33,KE,GMP,CJU,6
20211025,주)대한항공,M,33,KE,GMP,CJU,6
20211110,주)대한항공,F,33,KE,GMP,CJU,6
20211117,주)대한항공,F,33,KE,GMP,CJU,6
20211125,주)대한항공,M,33,KE,GMP,CJU,6
20211125,주)대한항공,F,33,KE,GMP,CJU,6
20220305,주)대한항공,F,33,KE,GMP,CJU,6
20220309,주)대한항공,F,33,KE,GMP,CJU,6
20220325,주)대한항공,F,33,KE,GMP,CJU,6
20220330,주)대한항공,F,33,KE,GMP,CJU,6
20220331,주)대한항공,F,33,KE,GMP,CJU,6
20220331,주)대한항공,M,33,KE,GMP,CJU,6
20220404,주)대한항공,F,33,KE,GMP,CJU,6
20220407,주)대한항공,M,33,KE,GMP,CJU,6
20220423,주)대한항공,F,33,KE,GMP,CJU,6
20220427,주)대한항공,F,33,KE,GMP,CJU,6
20220428,주)대한항공,M,33,KE,GMP,CJU,6
20220504,주)대한항공,M,33,KE,GMP,CJU,6
20210913,주)대한항공,M,34,KE,GMP,CJU,6
20210925,주)대한항공,F,34,KE,GMP,CJU,6
20210927,주)대한항공,F,34,KE,GMP,CJU,6
20211016,주)대한항공,F,34,KE,GMP,CJU,6
20211018,주)대한항공,M,34,KE,GMP,CJU,6
20211023,주)대한항공,F,34,KE,GMP,CJU,6
20211027,주)대한항공,M,34,KE,GMP,CJU,6
20211108,주)대한항공,M,34,KE,GMP,CJU,6
20211110,주)대한항공,F,34,KE,GMP,CJU,6
20211115,주)대한항공,F,34,KE,GMP,CJU,6
20211125,주)대한항공,F,34,KE,GMP,CJU,6
20220310,주)대한항공,F,34,KE,GMP,CJU,6
20220318,주)대한항공,F,34,KE,GMP,CJU,6
20220322,주)대한항공,F,34,KE,GMP,CJU,6
20220324,주)대한항공,F,34,KE,GMP,CJU,6
20220325,주)대한항공,F,34,KE,GMP,CJU,6
20220326,주)대한항공,F,34,KE,GMP,CJU,6
20220405,주)대한항공,F,34,KE,GMP,CJU,6
20220416,주)대한항공,F,34,KE,GMP,CJU,6
20220423,주)대한항공,F,34,KE,GMP,CJU,6
20220505,주)대한항공,F,34,KE,GMP,CJU,6
20220506,주)대한항공,F,34,KE,GMP,CJU,6
20220509,주)대한항공,F,34,KE,GMP,CJU,6
20220519,주)대한항공,F,34,KE,GMP,CJU,6
20220520,주)대한항공,F,34,KE,GMP,CJU,6
20220523,주)대한항공,F,34,KE,GMP,CJU,6
20210903,주)대한항공,M,35,KE,GMP,CJU,6
20210917,주)대한항공,F,35,KE,GMP,CJU,6
20210918,주)대한항공,F,35,KE,GMP,CJU,6
20210920,주)대한항공,M,35,KE,GMP,CJU,6
20211008,주)대한항공,M,35,KE,GMP,CJU,6
20211009,주)대한항공,F,35,KE,GMP,CJU,6
20211026,주)대한항공,F,35,KE,GMP,CJU,6
20211028,주)대한항공,F,35,KE,GMP,CJU,6
20211029,주)대한항공,F,35,KE,GMP,CJU,6
20211103,주)대한항공,F,35,KE,GMP,CJU,6
20211106,주)대한항공,F,35,KE,GMP,CJU,6
20211113,주)대한항공,M,35,KE,GMP,CJU,6
20211122,주)대한항공,F,35,KE,GMP,CJU,6
20211124,주)대한항공,F,35,KE,GMP,CJU,6
20211129,주)대한항공,M,35,KE,GMP,CJU,6
20220307,주)대한항공,F,35,KE,GMP,CJU,6
20220308,주)대한항공,F,35,KE,GMP,CJU,6
20220315,주)대한항공,M,35,KE,GMP,CJU,6
20220316,주)대한항공,M,35,KE,GMP,CJU,6
20220323,주)대한항공,F,35,KE,GMP,CJU,6
20220324,주)대한항공,M,35,KE,GMP,CJU,6
20220330,주)대한항공,F,35,KE,GMP,CJU,6
20220331,주)대한항공,F,35,KE,GMP,CJU,6
20220402,주)대한항공,F,35,KE,GMP,CJU,6
20220405,주)대한항공,F,35,KE,GMP,CJU,6
20220413,주)대한항공,F,35,KE,GMP,CJU,6
20220505,주)대한항공,M,35,KE,GMP,CJU,6
20220510,주)대한항공,F,35,KE,GMP,CJU,6
20220511,주)대한항공,M,35,KE,GMP,CJU,6
20210901,주)대한항공,M,36,KE,GMP,CJU,6
20210904,주)대한항공,M,36,KE,GMP,CJU,6
20210910,주)대한항공,F,36,KE,GMP,CJU,6
20210923,주)대한항공,M,36,KE,GMP,CJU,6
20210927,주)대한항공,M,36,KE,GMP,CJU,6
20211004,주)대한항공,M,36,KE,GMP,CJU,6
20211009,주)대한항공,F,36,KE,GMP,CJU,6
20211016,주)대한항공,F,36,KE,GMP,CJU,6
20211020,주)대한항공,M,36,KE,GMP,CJU,6
20211020,주)대한항공,F,36,KE,GMP,CJU,6
20211030,주)대한항공,M,36,KE,GMP,CJU,6
20211101,주)대한항공,F,36,KE,GMP,CJU,6
20211112,주)대한항공,M,36,KE,GMP,CJU,6
20211119,주)대한항공,F,36,KE,GMP,CJU,6
20211123,주)대한항공,F,36,KE,GMP,CJU,6
20211125,주)대한항공,F,36,KE,GMP,CJU,6
20220303,주)대한항공,F,36,KE,GMP,CJU,6
20220304,주)대한항공,M,36,KE,GMP,CJU,6
20220305,주)대한항공,F,36,KE,GMP,CJU,6
20220315,주)대한항공,M,36,KE,GMP,CJU,6
20220325,주)대한항공,F,36,KE,GMP,CJU,6
20220330,주)대한항공,F,36,KE,GMP,CJU,6
20220402,주)대한항공,F,36,KE,GMP,CJU,6
20220407,주)대한항공,M,36,KE,GMP,CJU,6
20220418,주)대한항공,M,36,KE,GMP,CJU,6
20220423,주)대한항공,M,36,KE,GMP,CJU,6
20220427,주)대한항공,F,36,KE,GMP,CJU,6
20220427,주)대한항공,M,36,KE,GMP,CJU,6
20220428,주)대한항공,F,36,KE,GMP,CJU,6
20220429,주)대한항공,M,36,KE,GMP,CJU,6
20220502,주)대한항공,M,36,KE,GMP,CJU,6
20220504,주)대한항공,F,36,KE,GMP,CJU,6
20220509,주)대한항공,F,36,KE,GMP,CJU,6
20220519,주)대한항공,M,36,KE,GMP,CJU,6
20210906,주)대한항공,M,37,KE,GMP,CJU,6
20210908,주)대한항공,F,37,KE,GMP,CJU,6
20210914,주)대한항공,F,37,KE,GMP,CJU,6
20210915,주)대한항공,M,37,KE,GMP,CJU,6
20211004,주)대한항공,M,37,KE,GMP,CJU,6
20211016,주)대한항공,F,37,KE,GMP,CJU,6
20211020,주)대한항공,M,37,KE,GMP,CJU,6
20211106,주)대한항공,F,37,KE,GMP,CJU,6
20211110,주)대한항공,M,37,KE,GMP,CJU,6
20211112,주)대한항공,F,37,KE,GMP,CJU,6
20211112,주)대한항공,M,37,KE,GMP,CJU,6
20211125,주)대한항공,F,37,KE,GMP,CJU,6
20211129,주)대한항공,F,37,KE,GMP,CJU,6
20211130,주)대한항공,F,37,KE,GMP,CJU,6
20220316,주)대한항공,F,37,KE,GMP,CJU,6
20220322,주)대한항공,F,37,KE,GMP,CJU,6
20220325,주)대한항공,M,37,KE,PUS,CJU,6
20220325,주)대한항공,M,37,KE,GMP,CJU,6
20220326,주)대한항공,F,37,KE,GMP,CJU,6
20220328,주)대한항공,M,37,KE,PUS,CJU,6
20220329,주)대한항공,M,37,KE,GMP,CJU,6
20220406,주)대한항공,F,37,KE,GMP,CJU,6
20220407,주)대한항공,M,37,KE,GMP,CJU,6
20220408,주)대한항공,M,37,KE,GMP,CJU,6
20220411,주)대한항공,F,37,KE,GMP,CJU,6
20220413,주)대한항공,M,37,KE,GMP,CJU,6
20220419,주)대한항공,M,37,KE,GMP,CJU,6
