LG_CAT,MD_CAT,SM_CAT,FUEL_TYPE,FUEL_COST,SCALE,FACTOR
대중교통,버스,시내버스,CNG,,kgCO2/km,0.03030607
대중교통,버스,시내버스,경유,,kgCO2/km,0.03462043
대중교통,버스,시외버스,경유,,kgCO2/km,0.0456443
대중교통,버스,고속버스,경유,,kgCO2/km,0.0456443
대중교통,택시,택시,,,kgCO2/km,0.19430008
항공,항공,국내선,,,kgCO2/km,0.12773818
기타,킥보드,,,,kgCO2/km,0.00436661
기타,따릉이등 자전거,,,,kgCO2/km,0
기타,선박,,,,kgCO2/km,0.37760536
자동차,BMW,1시리즈 M135i x드라이브(2022),Gasoline,10,kgCO2/km,0.2198072
자동차,BMW,1시리즈 120i 어드밴티지(2022),Gasoline,11,kgCO2/km,0.199824727
자동차,BMW,1시리즈 120i 스포츠(2022),Gasoline,11,kgCO2/km,0.199824727
자동차,BMW,1시리즈 120i M 스포츠 패키지(2022),Gasoline,11,kgCO2/km,0.199824727
자동차,BMW,1시리즈 118d 조이(2021),Diesel,14.3,kgCO2/km,0.1855776
자동차,BMW,1시리즈 118d 스포츠 라인(2021),Diesel,14.3,kgCO2/km,0.1855776
자동차,BMW,1시리즈 118d M 스포츠 패키지(2021),Diesel,14.3,kgCO2/km,0.1855776
자동차,BMW,1시리즈 M135i x드라이브(2021),Gasoline,10,kgCO2/km,0.2198072
자동차,BMW,1시리즈 120i 어드밴티지(2021),Gasoline,11,kgCO2/km,0.199824727
자동차,BMW,1시리즈 120i 스포츠(2021),Gasoline,11,kgCO2/km,0.199824727
자동차,BMW,1시리즈 120i M 스포츠 패키지(2021),Gasoline,11,kgCO2/km,0.199824727
자동차,BMW,1시리즈 118d M 스포츠 퍼스트 에디션(2020),Diesel,14.3,kgCO2/km,0.1855776
자동차,BMW,1시리즈 118d 조이 퍼스트 에디션(2020),Diesel,14.3,kgCO2/km,0.1855776
자동차,BMW,1시리즈 118d 스포츠(2020),Diesel,14.3,kgCO2/km,0.1855776
자동차,BMW,1시리즈 118d M 스포츠(2020),Diesel,14.3,kgCO2/km,0.1855776
자동차,BMW,1시리즈 118d 조이(2019),Diesel,13.9,kgCO2/km,0.190917963
자동차,BMW,1시리즈 118d 스포츠 라인(2019),Diesel,13.9,kgCO2/km,0.190917963
자동차,BMW,2시리즈 220d 그란 쿠페 럭셔리 라인(2022),Diesel,13.9,kgCO2/km,0.190917963
자동차,BMW,2시리즈 220d 그란 쿠페 어드밴티지(2022),Diesel,13.9,kgCO2/km,0.190917963
자동차,BMW,2시리즈 218d 그란 쿠페 어드벤티지(2022),Diesel,14.3,kgCO2/km,0.1855776
자동차,BMW,2시리즈 218d 그란 쿠페 M 스포츠 패키지(2022),Diesel,14.3,kgCO2/km,0.1855776
자동차,BMW,2시리즈 M240i x드라이브 쿠페 퍼스트 에디션(2022),Gasoline,9.6,kgCO2/km,0.228965833
자동차,BMW,2시리즈 M235i x드라이브 그란 쿠페 M 퍼포먼스 에디션(2022),Gasoline,10.4,kgCO2/km,0.211353077
자동차,BMW,2시리즈 M235i x드라이브 그란 쿠페(2022),Gasoline,10.4,kgCO2/km,0.211353077
자동차,BMW,2시리즈 220i 그란 쿠페 어드밴티지(2022),Gasoline,11.2,kgCO2/km,0.196256429
자동차,BMW,2시리즈 220i 그란 쿠페 M 스포츠 패키지(2022),Gasoline,11.2,kgCO2/km,0.196256429
자동차,BMW,2시리즈 220d 그란 쿠페 럭셔리 라인(2021),Diesel,13.9,kgCO2/km,0.190917963
자동차,BMW,2시리즈 220d 그란 쿠페 어드밴티지(2021),Diesel,13.9,kgCO2/km,0.190917963
자동차,BMW,2시리즈 218d 그란 쿠페 어드벤티지(2021),Diesel,14.3,kgCO2/km,0.1855776
자동차,BMW,2시리즈 218d 그란 쿠페 M 스포츠 패키지(2021),Diesel,14.3,kgCO2/km,0.1855776
