DL,DL_GD_LCLS_NM,DL_GD_LCLS_CD,DL_GD_MCLS_NM,DL_GD_MCLS_CD,DL_GD_SCLS_NM,DL_GD_SCLS_CD,SEND_CTPV_NM,SEND_CTPV_CD,SEND_CTGG_NM,SEND_CTGG_CD,SEND_EMD_NM,SEND_LGDNG_CD,INVC_COUNT
20210911,가구/인테리어,11,DIY자재/용품,1111,가구부속품,111111,제주특별자치도,50,제주시,50110,용담이동,5011010900,18
20210911,가구/인테리어,11,DIY자재/용품,1111,가구부속품,111111,제주특별자치도,50,제주시,50110,노형동,5011012200,5
20210911,가구/인테리어,11,DIY자재/용품,1111,가구부속품,111111,제주특별자치도,50,제주시,50110,연동,5011013700,15
20210911,가구/인테리어,11,DIY자재/용품,1111,가구부속품,111111,제주특별자치도,50,서귀포시,50130,대정읍 보성리,5013025029,6
20210911,가구/인테리어,11,DIY자재/용품,1111,벽지/시트지,111114,제주특별자치도,50,제주시,50110,이도이동,5011010400,3
20210911,가구/인테리어,11,DIY자재/용품,1111,벽지/시트지,111114,제주특별자치도,50,제주시,50110,애월읍 신엄리,5011025326,5
20210911,가구/인테리어,11,DIY자재/용품,1111,타일/바닥재,111116,제주특별자치도,50,서귀포시,50130,서귀동,5013010100,4
20210911,가구/인테리어,11,DIY자재/용품,1111,기타DIY자재/용품,111199,제주특별자치도,50,제주시,50110,노형동,5011012200,7
20210911,가구/인테리어,11,DIY자재/용품,1111,기타DIY자재/용품,111199,제주특별자치도,50,제주시,50110,애월읍 애월리,5011025334,4
20210911,가구/인테리어,11,거실가구,1112,의자/소파,111212,제주특별자치도,50,제주시,50110,이도이동,5011010400,10
20210911,가구/인테리어,11,거실가구,1112,의자/소파,111212,제주특별자치도,50,제주시,50110,아라일동,5011011700,5
20210911,가구/인테리어,11,거실가구,1112,의자/소파,111212,제주특별자치도,50,제주시,50110,노형동,5011012200,10
20210911,가구/인테리어,11,거실가구,1112,의자/소파,111212,제주특별자치도,50,제주시,50110,연동,5011013700,7
20210911,가구/인테리어,11,거실가구,1112,의자/소파,111212,제주특별자치도,50,제주시,50110,해안동,5011013900,3
20210911,가구/인테리어,11,거실가구,1112,의자/소파,111212,제주특별자치도,50,제주시,50110,내도동,5011014000,19
20210911,가구/인테리어,11,거실가구,1112,의자/소파,111212,제주특별자치도,50,서귀포시,50130,동홍동,5013010500,8
20210911,가구/인테리어,11,거실가구,1112,테이블,111214,제주특별자치도,50,제주시,50110,이도이동,5011010400,14
20210911,가구/인테리어,11,거실가구,1112,테이블,111214,제주특별자치도,50,제주시,50110,화북일동,5011011100,3
20210911,가구/인테리어,11,거실가구,1112,테이블,111214,제주특별자치도,50,제주시,50110,오라이동,5011012000,3
20210911,가구/인테리어,11,거실가구,1112,테이블,111214,제주특별자치도,50,제주시,50110,노형동,5011012200,13
20210911,가구/인테리어,11,거실가구,1112,테이블,111214,제주특별자치도,50,서귀포시,50130,성산읍 오조리,5013025922,3
20210911,가구/인테리어,11,거실가구,1112,기타거실가구,111299,제주특별자치도,50,제주시,50110,일도일동,5011010100,3
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,제주시,50110,일도일동,5011010100,3
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,제주시,50110,일도이동,5011010200,8
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,제주시,50110,이도일동,5011010300,5
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,제주시,50110,이도이동,5011010400,8
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,제주시,50110,삼도일동,5011010500,5
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,제주시,50110,건입동,5011010700,4
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,제주시,50110,화북일동,5011011100,6
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,제주시,50110,삼양이동,5011011400,4
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,제주시,50110,아라일동,5011011700,4
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,제주시,50110,오라이동,5011012000,5
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,제주시,50110,노형동,5011012200,23
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,제주시,50110,외도일동,5011012300,4
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,제주시,50110,도남동,5011012900,4
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,제주시,50110,연동,5011013700,14
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,제주시,50110,한림읍 한림리,5011025024,3
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,제주시,50110,애월읍 광령리,5011025321,5
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,제주시,50110,구좌읍 세화리,5011025628,3
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,제주시,50110,한경면 조수리,5011031026,3
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,서귀포시,50130,서귀동,5013010100,4
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,서귀포시,50130,법환동,5013010200,4
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,서귀포시,50130,동홍동,5013010500,4
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,서귀포시,50130,서홍동,5013010600,4
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,서귀포시,50130,중문동,5013011200,5
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,서귀포시,50130,강정동,5013011600,4
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,서귀포시,50130,성산읍 오조리,5013025922,3
20210911,가구/인테리어,11,거실인테리어,1113,카페트/러그,111311,제주특별자치도,50,서귀포시,50130,표선면 표선리,5013032021,3
20210911,가구/인테리어,11,거실인테리어,1113,커튼/블라인드,111312,제주특별자치도,50,제주시,50110,일도일동,5011010100,141
20210911,가구/인테리어,11,거실인테리어,1113,커튼/블라인드,111312,제주특별자치도,50,제주시,50110,일도이동,5011010200,5
20210911,가구/인테리어,11,거실인테리어,1113,커튼/블라인드,111312,제주특별자치도,50,제주시,50110,이도이동,5011010400,6
20210911,가구/인테리어,11,거실인테리어,1113,커튼/블라인드,111312,제주특별자치도,50,제주시,50110,삼도일동,5011010500,3
20210911,가구/인테리어,11,거실인테리어,1113,커튼/블라인드,111312,제주특별자치도,50,제주시,50110,화북일동,5011011100,4
20210911,가구/인테리어,11,거실인테리어,1113,커튼/블라인드,111312,제주특별자치도,50,제주시,50110,아라일동,5011011700,3
20210911,가구/인테리어,11,거실인테리어,1113,커튼/블라인드,111312,제주특별자치도,50,제주시,50110,노형동,5011012200,19
20210911,가구/인테리어,11,거실인테리어,1113,커튼/블라인드,111312,제주특별자치도,50,제주시,50110,외도일동,5011012300,5
20210911,가구/인테리어,11,거실인테리어,1113,커튼/블라인드,111312,제주특별자치도,50,제주시,50110,연동,5011013700,9
