이름,지역,태그,주소,좋아요,찜하기,리뷰,방문했어요,조회,SNS공유,소개,상세정보,이용시간,편의시설,기타상세,상세텍스트,tag_lst,회,흑돼지,초밥,돈카츠,고기국수,생선,이탈리안,햄버거,한식,뚝배기,칼국수,오메기,라면,카페,술,기타,cat_num,cluster_num,co2
봄날카페,제주시 > 애월,"#카페 #커피 #음료
#음식 #콜드브루 #아메리카노 #바닐라라떼 #카페라떼 #아인슈페너 #카푸치노 #카페모카 #카라멜마끼아또 #아이스티",제주특별자치도 제주시 애월읍 애월로1길 25,46,644,141,2,"63,495",62,드라마 '맨도롱 또똣'의 주인공이 일하던 카페,,"평일 : 09:00 ~ 21:30 , 주말 : 09:00 ~ 21:30","현금결제,카드결제,화장실,무료 WIFI,음료대",,"상세정보
확장됨

드라마의 주인공이 일하던 카페라서 유명해졌다.
해변을 바라보며 차 한잔의 여유를 즐기기에 좋으며 제주 돌담의 정취를 느낄 수 있다.


카페견 웰시코키 네마리가 반겨주는데 애견인들에게는 반가운 소식이 아닐 수 없다.
근처 한담해변을 산책하거나 올레길을 걷다가 카페에 들러 휴식을 취할 수 있다.

자가용 이용시 주차장이 혼잡하니 큰 길에 세우고 걸어 내려 가는게 좋다. 대중교통을 이용한다면 한담동 정류장에서 하차해  3분거리에 위치해있다.
 ","['카페', '커피', '음료', '음식', '콜드브루', '아메리카노', '바닐라라떼', '카페라떼', '아인슈페너', '카푸치노', '카페모카', '카라멜마끼아또', '아이스티']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.35
서연의집(영화 건축학개론),서귀포시 > 남원,"#카페 #커피 #아메리카노
#음식 #디저트 #빵 #와플 #에스프레소 #카페모카 #한류 #k-movie #드라마영화촬영지",제주특별자치도 서귀포시 남원읍 위미해안로 86,14,252,68,2,"40,283",21,영화 '건축학개론' 속 서연의 집을 리모델링하여 오픈한 카페&갤러리,연중무휴,"평일 : 10:00 ~ 19:00 , 주말 : 10:00 ~ 19:00","공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

위미 포구 근처 가정을 영화 때문에 리모델링한 세트장이었지만 안전상의 문제로 개보수한 뒤 카페&갤러리에 오픈했다..
카페 내부 이곳저곳에 영화의 추억을 느낄 수 있는 사진이나 도구가 있다. 첫사랑의 향수를 새삼 느끼고 싶은 이들에게 좋은 추억을 주고 있다.

영화 속의 남자 주인공이 누워서 낮잠을 잤던 2층에는 잔디가 있다.
그러나 잔디에는 출입을 금지하고 있으며, 영화의 주인공처럼 누워볼 수 없다.
건물의 바로 앞에 바다가 있어 차 한잔과 함께 아름다운 경치를 즐길 수 있다.

t","['카페', '커피', '아메리카노', '음식', '디저트', '빵', '와플', '에스프레소', '카페모카', '한류', 'k-movie', '드라마영화촬영지']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.35
명진전복,제주시 > 구좌,"#전복 #돌솥밥 #회
#음식 #전복해물탕 #전복죽 #전복뚝배기 #전복버터구이 #전복물회",제주특별자치도 제주시 구좌읍 해맞이해안로 1282,32,640,66,0,"49,310",33,제주도 대표 전복요리 전문점 2016 KOREAT JEJU TOP10 선정,"화요일 휴무, 라스트오더 20:30","평일 : 09:30 ~ 21:30 , 주말 : 09:30 ~ 21:30","공용주차장,현금결제,카드결제,화장실,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

수요미식회 TV프로그램을 통해 소개된 적이 있는 명진전복은 전복돌솥밥, 전복구이, 전복죽 등을 판매하는 인기 맛집이다. 
오도독 씹히는 전복 식감에 달짝지근함을 더한 영양만점 전복돌솥밥과 제주산 전복으로 만든 요리의 처음과 끝을 여기서 만날 수 있다.

바로 옆 양식장에서 키운 전복으로 구이, 죽, 회, 돌솥밥 등을 차린다. 대표 메뉴는 전복돌솥밥과 전복구이. 돌솥밥은 전복 내장인 ‘게웃’을 섞은 밥에 단호박, 고구마, 당근을 올렸다. 
밥 위에 전복 살과 고구마를 올려 한 숟갈 먹으면 고소하고 쌉싸래한 게웃의 향과 고구마의 단맛이 절묘하게 어우러진다.

 ","['전복', '돌솥밥', '회', '음식', '전복해물탕', '전복죽', '전복뚝배기', '전복버터구이', '전복물회']",1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,4,2.23
몽상드애월(몽상),제주시 > 애월,"#카페 #커피 #음료
#디저트 #음식 #아메리카노 #에스프레소 #카페모카 #카라멜마끼아또 #밀크티 #에이드 #2022고메페스타",제주특별자치도 제주시 애월읍 애월북서길 56-1,21,492,66,1,"48,176",33,제주 애월 한담에 위치하여 멋진 바다경관을 감상할 수 있는 해안로의 카페,,"평일 : 10:30 ~ 20:30 , 주말 : 10:30 ~ 20:30","공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

애월에 위치한 봄날카페와 인접하여 많은 관광객들이 찾으며, 통유리로 만들어진 벽면으로 따뜻한 제주의 햇살, 푸르른 제주 바다를 전망할 수 있어 인기가 많다.
젊은이들에게는 SNS인증샷을 찍는 곳으로 유명해서 좋은 자리를 차지하기가 쉽지 않다.
주차공간이 협소한 편이어서 공용주차장을 이용하고 해안가로 걸어 이동하는 것이 좋다. 5천원대부터 시작하는 커피 메뉴, 디저트류가 준비되어있다.

 ","['카페', '커피', '음료', '디저트', '음식', '아메리카노', '에스프레소', '카페모카', '카라멜마끼아또', '밀크티', '에이드', '2022고메페스타']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.35
제주김만복(만복이네김밥집),제주시 > 제주시내,"#전복김밥 #통전복주먹밥 #미역국
#음식 #해물라면 #라면",제주특별자치도 제주시 오라로 41,75,"1,182",60,1,"77,618",123,"전복내장으로 만든 김밥, 심플한 메뉴로 많은 여행객들에게 사랑받는 곳","수요일 휴무, 브레이크타임:13:30 - 15:30(포장만 가능)","평일 : 08:00 ~ 20:30 , 주말 : 08:00 ~ 20:30","공용주차장,현금결제,카드결제,화장실,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

제주공항과 가까운 전복김밥이 유명한 분식집이다. 본점은 포장만 가능하며 본점에서 멀지 않은 곳에 앉아서 즐길 수 있는 라운지점이 있다. 강정동에 오픈하여 서귀포에서도 방문할 수 있다. 전복김밥은 전복내장을 잘 섞은 밥과 계란지단이 만나 고소하고 달콤한 맛이 특징이다. 전복김밥 이외에도 전복이 통째로 올라간 통전복주먹밥과 미역국 등이 있으며 새콤달콤하게 무쳐낸 오징어 무침과 함께 먹으면 잘 어울린다. 비교적 착한 가격으로 전복김밥을 먹을 수 있다는 점과 전복내장이 주는 고소한 맛의 조화로 많은 관광객의 사랑을 받고 있다.","['전복김밥', '통전복주먹밥', '미역국', '음식', '해물라면', '라면']",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,3,2.1966666666666668
리치망고,제주시 > 애월,"#스페셜망고쉐이크 #망고라떼 #수제망고코코넛잽
#망고코코넛쿠키 #카페 #망고 #음식 #망고스무디 #망고에이드 #망고주스",제주특별자치도 제주시 애월읍 애월해안로 272,32,520,59,1,"28,620",22,제주 애월에 런칭하여 제주 전역으로 확장한 망고음료카페,동절기(10월~3월) 매일 10:00 - 18:30 / 하절기(4월~9월) 매일 10:00 - 20:00,"평일 : 10:00 ~ 18:30 , 주말 : 10:00 ~ 18:30","공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설",착한가격 업소,"상세정보
확장됨

제주에서 런칭한 리치망고는 프렌차이즈로 현재 우도, 모슬포 성산 등 제주전역으로 확장하였다.
100% 리얼 망고가 들어간 스페셜망고쉐이크는 물론 망고라떼, 수제 망고 코코넛 잼, 망고 코코넛 쿠키 등 망고로 만든 다양한 제품을 만날 수 있다.
대기자에게 번호표 대신 연예인 이름이 적힌 대기표를 주는 것이 특징이다.

 ","['스페셜망고쉐이크', '망고라떼', '수제망고코코넛잽', '망고코코넛쿠키', '카페', '망고', '음식', '망고스무디', '망고에이드', '망고주스']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.35
르 쉬느아 (Le Chinois),서귀포시 > 안덕,"#중국음식 #딤섬 #북경오리
#불도장 #음식 #오리고기 #오리로스 #제주신화월드",제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 메리어트관 제주신화월드 호텔앤리조트 G층,47,66,53,3,"17,523",15,"2018제주 푸드 앤 와인 페스티벌, 고메위크 선정된 제주신화월드 시그니쳐 중식 레스토랑","운영시간 런치 12:00 – 15:00, 디너 17:30 – 21:00","평일 : 12:00 ~ 21:00 , 주말 : 12:00 ~ 21:00","공용주차장,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

현지 셰프가 빚어내는 정통과 품격이 살아있는 광둥요리

중국 광둥의 현지 셰프가 선보이는 정통과 품격이 살아있는 광둥식 요리를 만나보자. 특별한 가족 외식에 잘 어울리는 메뉴인 북경오리부터 육즙과 풍미 가득한 샤오롱바오와 다채로운 딤섬까지, 제주에서 맛볼 수 없었던 품격 있는 중식을 선보이며 도민에게 사랑받는 레스토랑으로 거듭나고 있다.","['중국음식', '딤섬', '북경오리', '불도장', '음식', '오리고기', '오리로스', '제주신화월드']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.69
카페공작소,제주시 > 구좌,"#카페 #수제케이크 #에이드
#제주음료 #음식 #아메리카노 #카페라떼 #감귤 #주스 #청귤차 #에스프레소 #케이크",제주특별자치도 제주시 구좌읍 해맞이해안로 1446,10,203,51,0,"15,615",6,아름다운 세화 바다를 바라보면서 커피 한 잔의 여유를 즐길 수 있는 카페,연중무휴,"평일 : 08:00 ~ 21:00 , 주말 : 08:00 ~ 21:00","공용주차장,현금결제,카드결제,화장실,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨
구좌읍 세화리에 위치한 차와 다양한 제주관련 소품을 함께 판매하는 카페다..
북적거리는 분위기 보다는 쉬고 싶은 다른 사람들을 존중하는 분위기가 지배적이다.
메뉴판 위에도 '조용한 힐링카페를 지향한다'는 캘리그라피 문구가 쓰여 있다.
구좌읍 당근으로 만든 수제 케이크와 제주 영귤, 댕유자로 만든 에이드 음료가 있고 따뜻한 차와 커피는 언제든 맛볼 수 있다.

카페 앞 바다에 유명한 포토존이 있어서 반짝이는 에메랄드 바다와 제주 감성의 스냅사진을 찍고 싶다면 들러볼만한 곳이다.
.","['카페', '수제케이크', '에이드', '제주음료', '음식', '아메리카노', '카페라떼', '감귤', '주스', '청귤차', '에스프레소', '케이크']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.35
濟州膳제주선,서귀포시 > 안덕,"#한식 #흑돼지 #한우
#갈치 #고소리술 #음식 #제주신화월드",제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,35,148,45,9,"24,646",18,메리어트관 제주신화월드에 위치한 한식 전문점,"운영시간 런치 12:00-14:30, 디너 17:00-21:30(연중무휴)","평일 : 12:00 ~ 21:30 , 주말 : 12:00 ~ 21:30","공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

제주 고유의 맛을 담아낸 정갈한 한상차림, 濟州膳제주선

신선한 제철 식재료와 특산물로 정성껏 차린 한 상에 제주 자연과 계절을 고스란히 담았습니다. 미식가들의 입맛을 사로잡는 제주 성게 미역국, 통갈치구이 등 해산물 밥상부터, 삼계탕, 비빔밥, 등 다양한 한식메뉴가 정갈하게 차려집니다. 김병은 셰프의 시그니처 '배 백김치'는 시원하고 깔끔한 맛이 일품입니다. 고소리술, 오메기술 등 다양한 제주 전통주가 마련되어 있어, 특별한 날을 위한 레스토랑으로 제격입니다.","['한식', '흑돼지', '한우', '갈치', '고소리술', '음식', '제주신화월드']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,3,1.49
하하호호(HAHAHOHO),섬 속의 섬 > 우도,"#흑돼지수제버거 #수제버거 #땅콩아이스크림
#음식 #햄버거 #아메리카노 #감자튀김 #에이드 #레몬에이드 #아이스크림",제주특별자치도 제주시 우도면 우도해안길 532,4,190,43,0,"17,229",5,"우도 북쪽, 우도 본연의 분위기가 살아있는 흑돼지 수제 햄버거집","연중무휴, 계절별 마감시간이 상이함.","평일 : 11:00 ~ 17:30 , 주말 : 11:00 ~ 17:30","공용주차장,현금결제,카드결제,화장실,흡연구역",,"상세정보
확장됨

하하호호는 하우목동항 북측에 위치한 간이음식점이다.
두툼한 흑돼지 패티위에 우도 땅콩이나 마늘칩이 뿌린 수제버거가 대표적인 메뉴로 성인남자가 배부를 정도인 1.5인분의 양이다.
야채 등의 재료를 아낌없이 넣어 양이 푸짐하여 많은 여행객의 호감을 얻고 있다.
인기메뉴인 제주딱새우버거는 매일 소량만 준비하여 못먹고 오는 경우도 있을 정도다.
땅콩아이스크림과 마늘아이스크림도 인기가 많다.
주문한 음식은 실내나 바다가 보이는 야외에서 즐길 수 있다. 우도의 마지막 배시간에 맞춰 마지막 주문 시간이 달라질 수 있다.

 ","['흑돼지수제버거', '수제버거', '땅콩아이스크림', '음식', '햄버거', '아메리카노', '감자튀김', '에이드', '레몬에이드', '아이스크림']",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,3,1.5899999999999999
